Aggregation_12_Sectors,Emissao_Absoluta,Demanda Total,eco
Agriculture,4190107360.1177816,2292293.4687,1827.910526
Business services,2832747.7026770287,9718403.0648,0.29148283764204275
Construction,282.07731382635745,603302.9565,0.0004675549999999999
Financial services,0.0,821532.1244,0.0
Govt services,30803820.097889423,1991883.1289,15.464672425284592
Manufacturing,705029198.7987571,12023513.20594,58.63753685989633
Mining,136987732.35511684,554123.88408,247.21499341713928
Other services,1351631.6590541836,3828364.035,0.353057245
Real estate,0.0,681221.4608,0.0
Trade services,9254235.389199033,1417571.3956,6.528232311912653
Transport services,1313477121.106237,2445293.5752,537.1449606
Utilities,633865137.536795,1027970.4932,616.6180272
