ap_orig,ap_dest,enmu_base,enmu_nec,ours_current,unreached_current,ours_base,unreached_base,ours_nec,unreached_nec
3170404003003,3170404003003,0.3051579391808203,0.25744872068860447,,,,,,
3170404003003,3109451001001,44.70383241678199,44.725103010552225,,,,,,
3170404003003,5206206003002,193.23030766353455,142.80646282711646,,,,,,
3170404003003,5206206003001,193.02808450564456,142.7906446957028,,,,,,
3170404003003,5205497003001,128.22946865500396,128.44991024596936,,,,,,
3170404003003,5212501003007,154.8525926984138,135.51508400278263,,,,,,
3170404003003,5300108005050,165.3847538483448,184.7329522965521,,,,,,
3109451001001,3170404003003,44.7626850802159,44.75794326640464,,,,,,
3109451001001,3109451001001,0.33342044204939997,0.3435832145850217,,,,,,
3109451001001,5206206003002,152.17753009741978,162.85995424102424,,,,,,
3109451001001,5206206003001,151.97652410956644,162.6336909250541,,,,,,
3109451001001,5205497003001,109.79987885543672,110.05100420173375,,,,,,
3109451001001,5212501003007,115.85764980922156,125.66544706793343,,,,,,
3109451001001,5300108005050,297.7131229648277,294.2819815802283,,,,,,
5206206003002,3170404003003,129.25672296092245,129.25668375617227,,,,,,
5206206003002,3109451001001,129.46374625842975,142.22637196258881,,,,,,
5206206003002,5206206003002,0.26255014011588806,0.22149794884572602,,,,,,
5206206003002,5206206003001,0.352981444950739,0.308906144871904,0.0,0.0,0.0,0.0,0.0,0.0
5206206003002,5205497003001,33.433752426368514,30.633861959541804,,1.0,,1.0,,1.0
5206206003002,5212501003007,14.270078173478385,12.794810110827022,,1.0,,1.0,,1.0
5206206003002,5300108005050,150.1902851191956,135.08610871803106,,1.0,,1.0,,1.0
5206206003001,3170404003003,129.30416075377735,129.30371078894316,,,,,,
5206206003001,3109451001001,129.4642990955324,142.19457159948385,,,,,,
5206206003001,5206206003002,0.3927431647463491,0.3100173903247077,0.0,0.0,0.0,0.0,0.0,0.0
5206206003001,5206206003001,0.4821464641546653,0.3966380677782504,,,,,,
5206206003001,5205497003001,33.306008084765864,30.522408922478608,,1.0,,1.0,,1.0
5206206003001,5212501003007,14.233160516306096,12.769080915800139,,1.0,,1.0,,1.0
5206206003001,5300108005050,150.2168164023758,135.05744897706347,,1.0,,1.0,,1.0
5205497003001,3170404003003,128.40753311351514,128.62178128790208,,,,,,
5205497003001,3109451001001,128.5736092773246,128.8147448534196,,,,,,
5205497003001,5206206003002,61.05462751601521,30.635902954983486,,1.0,,1.0,,1.0
5205497003001,5206206003001,60.819284149475784,30.530704945713662,,1.0,,1.0,,1.0
5205497003001,5205497003001,1.5999770011760295,1.9500025753011943,129.68798935051274,0.9981099298017402,129.68798935051274,0.9981099298017402,129.68798935051274,0.9981099298017402
5205497003001,5212501003007,27.649183011598545,23.366623381572662,102.99821691746311,0.9999044091357823,102.99821691746311,0.9999044091357823,89.74381123939722,0.9998374098777998
5205497003001,5300108005050,147.20916238140742,115.9226277260742,158.07727123614075,0.999929857201008,158.07727123614075,0.999929857201008,172.30437185559128,0.9997306345766737
5212501003007,3170404003003,135.3133865409175,135.13531795957815,,,,,,
5212501003007,3109451001001,135.99844627627454,147.18937503618912,,,,,,
5212501003007,5206206003002,12.964297597254035,12.68064777676177,,1.0,,1.0,,1.0
5212501003007,5206206003001,12.938461523191128,12.66452651630045,,1.0,,1.0,,1.0
5212501003007,5205497003001,22.165616948582137,23.10175395168527,102.99821691746311,0.9999044091357823,102.99821691746311,0.9999044091357823,102.99821691746311,0.9999044091357823
5212501003007,5212501003007,1.7677133846289779,1.4488540728949824,149.0,0.9988783548745507,149.0,0.9988783548745507,149.0,0.9988783548745507
5212501003007,5300108005050,140.3647159747531,125.25423958121075,,1.0,,1.0,165.62698530824514,0.9953103049531782
5300108005050,3170404003003,236.72520538059834,223.0916835972997,,,,,,
5300108005050,3109451001001,266.47975600957346,258.1918105394002,,,,,,
5300108005050,5206206003002,170.52020782508004,140.60007202997846,,1.0,,1.0,,1.0
5300108005050,5206206003001,170.3560419764801,140.47389526510057,,1.0,,1.0,,1.0
5300108005050,5205497003001,121.13823293430022,102.23128622409655,150.22069926472824,0.9999573557761524,150.22069926472824,0.9999573557761524,150.22069926472824,0.9999573557761524
5300108005050,5212501003007,151.427722493753,125.94627797175205,,1.0,,1.0,169.552209680996,0.9941238511584312
5300108005050,5300108005050,117.86645514938704,100.86049802489184,116.38267568625986,0.7453936641529613,116.38267568625986,0.7453936641529613,116.05398763147113,0.7438226557494356
5219753003001,3170404003003,256.68375623315416,244.46263699664038,,,,,,
5219753003001,3109451001001,498.8486441064849,476.5764222587983,,,,,,
5219753003001,5206206003002,177.61558130004715,123.10084171430105,,1.0,,1.0,,1.0
5219753003001,5206206003001,177.57397352995417,123.1571658972365,,1.0,,1.0,,1.0
5219753003001,5205497003001,140.92196718532432,118.67455687313641,,1.0,,1.0,,1.0
5219753003001,5212501003007,156.54257870075452,115.15048625683679,,1.0,,1.0,,1.0
5219753003001,5300108005050,193.98195765882392,186.12315484615573,,1.0,,1.0,,1.0
5300108005051,3170404003003,243.11525794705156,237.40104702951072,,,,,,
5300108005051,3109451001001,412.7124811981741,382.09125069548185,,,,,,
5300108005051,5206206003002,161.352259301945,127.6090342335651,,1.0,,1.0,,1.0
5300108005051,5206206003001,161.28975402813705,127.59828700481125,,1.0,,1.0,,1.0
5300108005051,5205497003001,129.6793566372842,111.38510417828026,164.2947952897504,0.9999051768296391,164.2947952897504,0.9999051768296391,164.2947952897504,0.9999051768296391
5300108005051,5212501003007,140.23518360885265,118.85051860122483,,1.0,,1.0,158.84027354320378,0.988341404140552
5300108005051,5300108005050,168.6919063594745,140.8874023146064,163.2218299863324,0.8906029844005883,163.15716002217619,0.8910881934682927,162.05210632073621,0.8909403404951497
5200258003003,3170404003003,270.698755030901,255.78309739828956,,,,,,
5200258003003,3109451001001,501.4526734622019,414.4500376135147,,,,,,
5200258003003,5206206003002,218.35985794823438,155.91858944544066,,1.0,,1.0,,1.0
5200258003003,5206206003001,218.32318249819718,155.9119967227543,,1.0,,1.0,,1.0
5200258003003,5205497003001,184.49341373000485,137.52069867054078,,1.0,,1.0,,1.0
5200258003003,5212501003007,197.0478355661772,147.9633728882084,,1.0,,1.0,,1.0
5200258003003,5300108005050,193.00554712177023,135.22141607048275,,1.0,,1.0,,1.0
5200258003007,3170404003003,260.72330205617664,250.0239546483391,,,,,,
5200258003007,3109451001001,484.88550094940604,410.24009106447966,,,,,,
5200258003007,5206206003002,196.1131369541905,151.7310594060818,,1.0,,1.0,,1.0
5200258003007,5206206003001,196.070979197706,151.72160442476329,,1.0,,1.0,,1.0
5200258003007,5205497003001,161.0790168312866,131.83788089308666,,1.0,,1.0,,1.0
