level,outcome,mechanism,beta,se,t,p,stars,r2,r2_adj,n,n_cities
ACP,delta_gini,delta_house_price,-0.0001958872496995627,5.37616750285422e-05,-3.6436225172591015,0.00026882759898192663,***,0.052984338929467634,0.03334576531279754,1330,27
Capital,delta_regional_gini,delta_regional_house_values,-0.00017963109381492556,5.118636043111541e-05,-3.5093546855449125,0.00044919544266983346,***,0.046525896511227294,0.026753392060999248,1330,27
Periphery,delta_gini_periphery,delta_house_values_periphery,-0.00014442864168634097,8.982623168971536e-05,-1.6078670892622706,0.10786429109438488,,0.04789661440175863,0.028079893036421444,1080,22
