level,outcome,mechanism,beta,se,t,p,stars,r2,r2_adj,n,n_cities,group
All configs,delta_gini,delta_house_quality,-0.03384099665891831,0.022913238719163585,-1.4769189582359321,0.13969736238470434,,0.042738987118657756,0.022887952289321056,1330,27,All configs
Improvement ON only,delta_gini,delta_house_quality,-0.0636926030988404,0.033794433317123236,-1.8847069427427894,0.059469414508626334,*,0.05034760941646632,0.01704811000639439,798,27,Improvement ON only
Improvement OFF only,delta_gini,delta_house_quality,-0.04362415109170235,0.03953451993022869,-1.103444563603937,0.26983415320650117,,0.0682278746044831,0.01831151074400894,532,27,Improvement OFF only
