processing_acps,policy_config,interest_housing,policy_melhorias,seed,delta_gini_periphery,delta_house_values_periphery,delta_median_affordability_periphery,total_pop,n_municipalities
ARACAJU,high_active,high,True,0,-0.0030032409928844586,-3.0266216997770337,-0.002777076960654407,3647.733333333333,5
ARACAJU,high_active,high,True,1,0.017831455535173034,4.554977976275388,0.0028322906547387696,3388.883333333333,5
ARACAJU,high_active,high,True,2,-0.02312220211146908,-9.244490145597576,-0.008887091226857305,3471.5166666666664,5
ARACAJU,high_active,high,True,3,0.04117879223560038,-1.369465918325467,0.016582749395573547,3572.7166666666667,5
ARACAJU,high_active,high,True,4,0.015193088470264534,14.539162765923226,0.00025967238649576363,3626.5166666666664,5
ARACAJU,high_active,high,True,5,-0.004788962465520757,0.5036368192967019,0.0007302724886303326,3526.6833333333334,5
ARACAJU,high_active,high,True,6,0.0008263167961446903,-1.4099608244997808,-0.003130745287362585,3672.866666666667,5
ARACAJU,high_active,high,True,7,-0.0006388502898604898,-12.809232112420032,-0.0020451025780083803,3587.9333333333334,5
ARACAJU,high_active,high,True,8,-0.007053923412513595,0.7554824371215543,0.002153487698183514,3578.333333333333,5
ARACAJU,high_active,high,True,9,-0.00569721862130764,-4.984547698718961,-0.002822757917771143,3558.7666666666664,5
ARACAJU,high_inactive,high,False,0,-0.004079562452786468,4.27818217599362,0.0008556945077003667,3647.733333333333,5
ARACAJU,high_inactive,high,False,1,0.0022678712506086166,-3.9847875571107263,-0.00048463118644457583,3388.883333333333,5
ARACAJU,high_inactive,high,False,2,-0.012047582020666619,0.9188041765286793,-0.013159939896586998,3471.5166666666664,5
ARACAJU,high_inactive,high,False,3,0.019280390987872605,14.397595629687322,0.004741848556731646,3572.7166666666667,5
ARACAJU,high_inactive,high,False,4,0.012925005139612077,-1.553962360039401,-0.0090311600153499,3626.5166666666664,5
ARACAJU,high_inactive,high,False,5,0.013612285898144803,2.732962086190532,0.007981147021910735,3526.6833333333334,5
ARACAJU,high_inactive,high,False,6,-0.011647378440394731,-4.255141619095586,0.003060234655037843,3672.866666666667,5
ARACAJU,high_inactive,high,False,7,-0.016656792954161184,0.5833643939253216,-0.005696445102488585,3587.9333333333334,5
ARACAJU,high_inactive,high,False,8,0.011788679063809964,-9.997560815323705,0.007217773470889612,3578.333333333333,5
ARACAJU,high_inactive,high,False,9,0.002164997361757651,-4.318624738829598,-0.003397462589333385,3558.7666666666664,5
ARACAJU,low_active,low,True,0,0.01767644816720278,-0.2892834309586451,-0.00026802358884969263,3647.733333333333,5
ARACAJU,low_active,low,True,1,0.03078804484925383,-7.038118792735711,0.004122958844358759,3388.883333333333,5
ARACAJU,low_active,low,True,2,-0.010184644239709531,-4.971704107474628,-0.008054257487281415,3471.5166666666664,5
ARACAJU,low_active,low,True,3,0.03671457286627518,2.134845029848106,0.011532582060025902,3572.7166666666667,5
ARACAJU,low_active,low,True,4,0.020597144566334713,-1.3467873829799841,-0.0015087813317186838,3626.5166666666664,5
ARACAJU,low_active,low,True,5,0.007529568472423742,-0.8617261771762209,-0.0015004770687126506,3526.6833333333334,5
ARACAJU,low_active,low,True,6,-0.005068779435076431,2.8709270525142223,-0.002858075215847141,3672.866666666667,5
ARACAJU,low_active,low,True,7,0.03169592165406266,-5.585884091739596,0.0025742502870733487,3587.9333333333334,5
ARACAJU,low_active,low,True,8,-0.011706791259121224,-4.56655126734978,0.00036914699355690536,3578.333333333333,5
ARACAJU,low_active,low,True,9,0.00535908843263428,1.7354158415524976,-0.0019062982279285303,3558.7666666666664,5
ARACAJU,low_inactive,low,False,0,0.0020338695262812,2.144256377857182,-0.006934566649913495,3647.733333333333,5
ARACAJU,low_inactive,low,False,1,0.008160548484505734,-1.5013694710974792,-0.0006336014357400605,3388.883333333333,5
ARACAJU,low_inactive,low,False,2,-0.01790160290170966,-4.103721809631712,-0.013049818867113802,3471.5166666666664,5
ARACAJU,low_inactive,low,False,3,0.004913966332809307,9.777394762389022,0.004293019220823246,3572.7166666666667,5
ARACAJU,low_inactive,low,False,4,0.027904262936732982,0.5944787023973239,0.008210422165515421,3626.5166666666664,5
ARACAJU,low_inactive,low,False,5,-0.018147030188893225,-1.7783433270636573,-0.004837369484391217,3526.6833333333334,5
ARACAJU,low_inactive,low,False,6,0.00048575877758215343,-0.07413066988245745,0.00301403617852238,3672.866666666667,5
ARACAJU,low_inactive,low,False,7,0.00592586701877277,-6.257958880770123,-0.0022984528209523195,3587.9333333333334,5
ARACAJU,low_inactive,low,False,8,0.010158431299487661,-11.836050648657032,0.0018713271672100645,3578.333333333333,5
ARACAJU,low_inactive,low,False,9,0.012554944557883637,-5.398182221212711,-0.0010998239262041468,3558.7666666666664,5
ARACAJU,medium_active,medium,True,0,-0.01207176604344857,3.5098910974395023,-0.002830011796595142,3647.733333333333,5
ARACAJU,medium_active,medium,True,1,-0.014745995173762612,-1.6954104903450475,-0.0047955658311734945,3388.883333333333,5
ARACAJU,medium_active,medium,True,2,-0.003966936553507687,2.3224370987384733,-0.011919938342671237,3471.5166666666664,5
ARACAJU,medium_active,medium,True,3,0.02018631512901017,2.151517659530793,0.008194060622946428,3572.7166666666667,5
ARACAJU,medium_active,medium,True,4,0.019966585145218922,0.8311556619988874,-0.0033232915577850173,3626.5166666666664,5
ARACAJU,medium_active,medium,True,5,-0.004462002518891653,-3.369440386781412,-0.005770180665891625,3526.6833333333334,5
ARACAJU,medium_active,medium,True,6,0.0038399818261848372,1.116914061904402,-0.006439012976164547,3672.866666666667,5
ARACAJU,medium_active,medium,True,7,-0.016306482794180528,-4.470435391466453,-0.006042676876815491,3587.9333333333334,5
ARACAJU,medium_active,medium,True,8,-0.006172798462971567,-14.800044406769137,0.00040838924949542426,3578.333333333333,5
ARACAJU,medium_active,medium,True,9,-0.030829477034802932,13.542662278598394,-0.005460353627271001,3558.7666666666664,5
BELEM,high_active,high,True,0,-0.0003330170385440114,17.272666217915457,0.002922429629660129,6070.55,3
BELEM,high_active,high,True,1,9.781417520852357e-06,11.674522839533427,0.0045156425538367805,6035.733333333334,3
BELEM,high_active,high,True,2,0.015424956424780794,5.583056413472786,0.0009229609979435248,6337.700000000001,3
BELEM,high_active,high,True,3,0.012035098740599808,3.8650312525142745,-0.0010605910508290257,6131.666666666666,3
BELEM,high_active,high,True,4,0.0007003645918984704,8.177056271551448,0.008206197574230942,6384.916666666666,3
BELEM,high_active,high,True,5,-0.013087479136767081,2.044219059936013,-0.0009256298275534299,6166.483333333334,3
BELEM,high_active,high,True,6,-0.006913082487921189,11.337946269123899,0.00521268964691734,6628.916666666667,3
BELEM,high_active,high,True,7,-0.0054601084739150756,11.77268363942087,5.816200739952914e-07,6152.016666666666,3
BELEM,high_active,high,True,8,-0.01278729062529536,4.958989135577454,-0.0004419420581682673,6171.75,3
BELEM,high_active,high,True,9,0.0015815536509537135,17.632033624794637,0.003607589883710945,6016.616666666667,3
BELEM,high_inactive,high,False,0,0.008771148262238728,9.008001132928653,0.0018678859470448851,6070.55,3
BELEM,high_inactive,high,False,1,-0.0006045816857382594,1.593740548879253,-0.00034817059885018095,6035.733333333334,3
BELEM,high_inactive,high,False,2,0.0033053029490193414,-0.5839232750051401,0.002940988819287756,6337.700000000001,3
BELEM,high_inactive,high,False,3,-0.0027840553048835825,3.634349739784361,-0.0015776042962761614,6131.666666666666,3
BELEM,high_inactive,high,False,4,0.008334075068412166,-5.956883169753365,-0.0021075257981266597,6384.916666666666,3
BELEM,high_inactive,high,False,5,-0.0034020352271734453,4.212889982269728,-0.002523299487687476,6166.483333333334,3
BELEM,high_inactive,high,False,6,-0.010538364367397038,2.265929818053064,-0.0001127341083887495,6628.916666666667,3
BELEM,high_inactive,high,False,7,-0.013911031034990374,-0.26629504661072884,-0.001738069156906997,6152.016666666666,3
BELEM,high_inactive,high,False,8,-0.010089937011382534,-3.0906439364847675,-0.007522313229635036,6171.75,3
BELEM,high_inactive,high,False,9,0.013440786368492474,9.601221433234425,0.004470503960974744,6016.616666666667,3
BELEM,low_active,low,True,0,0.0009281701548184597,9.60221754673518,0.0024820691281404995,6070.55,3
BELEM,low_active,low,True,1,-0.008654474941827903,8.216865409385935,0.0034453775094989846,6035.733333333334,3
BELEM,low_active,low,True,2,0.008496887119933058,-3.0848797484366073,-0.0004951144187428682,6337.700000000001,3
BELEM,low_active,low,True,3,0.0003405241279333218,6.556084880311684,-0.0011699293650448482,6131.666666666666,3
BELEM,low_active,low,True,4,0.01055618012938482,4.6047302023431875,0.006041308362590656,6384.916666666666,3
BELEM,low_active,low,True,5,0.0007597171987996401,3.2091779535337466,0.0012827951847667518,6166.483333333334,3
BELEM,low_active,low,True,6,-0.006398272434325997,16.15410137599993,0.003468255080308918,6628.916666666667,3
BELEM,low_active,low,True,7,-0.015923280586402133,14.13823966070745,0.0024618918803499886,6152.016666666666,3
BELEM,low_active,low,True,8,-0.014933381347807884,5.888841710616947,0.00045494718785865754,6171.75,3
BELEM,low_active,low,True,9,0.011875064340331577,11.770681884013785,0.0010885936240467358,6016.616666666667,3
