processing_acps,mun_id,policy_config,interest_housing,policy_melhorias,seed,delta_regional_gini,regional_gini,regional_gini_base,delta_regional_house_values,regional_house_values,regional_house_values_base,delta_median_affordability,median_affordability,median_affordability_base,pop_base
BELEM,1501402,high_inactive,high,False,0,0.006248333333333356,0.37946833333333335,0.37322,8.164216666666647,150.78063333333333,142.61641666666668,0.001588550000000008,0.0639664,0.06237785,13688.883333333333
BELEM,1501402,high_inactive,high,False,1,-0.004725000000000035,0.36767833333333333,0.37240333333333336,0.8505999999999858,148.16108333333332,147.31048333333334,-0.0007290833333333316,0.059007449999999996,0.05973653333333333,13691.633333333333
BELEM,1501402,high_inactive,high,False,2,0.002870000000000039,0.376775,0.373905,-0.599000000000018,151.47406666666666,152.07306666666668,0.002256466666666665,0.06332435,0.061067883333333337,13665.6
BELEM,1501402,high_inactive,high,False,3,-0.012471666666666603,0.36614833333333335,0.37861999999999996,6.867850000000004,159.99485,153.127,-0.001780533333333334,0.06071831666666667,0.06249885,13682.633333333333
BELEM,1501402,high_inactive,high,False,4,0.005598333333333316,0.37592333333333333,0.370325,2.067949999999996,148.5466,146.47865000000002,0.0007046333333333363,0.061081633333333336,0.060377,13661.466666666667
BELEM,1501402,high_inactive,high,False,5,-0.003213333333333346,0.3737566666666667,0.37697,2.6702333333333286,145.08585,142.41561666666666,-0.0003656166666666655,0.0595373,0.05990291666666667,13678.483333333334
BELEM,1501402,high_inactive,high,False,6,-0.009136666666666682,0.36899166666666666,0.37812833333333334,4.3443499999999915,147.38018333333332,143.03583333333333,-0.0007024166666666637,0.05889266666666667,0.05959508333333333,13643.066666666668
BELEM,1501402,high_inactive,high,False,7,-0.007553333333333301,0.37151833333333334,0.37907166666666664,-0.4837833333333208,148.19666666666666,148.68044999999998,-0.00045263333333333405,0.0612821,0.06173473333333333,13680.916666666666
BELEM,1501402,high_inactive,high,False,8,-0.005088333333333361,0.37546166666666664,0.38055,-5.62478333333334,148.04841666666667,153.6732,-0.002678449999999999,0.0610807,0.06375915,13680.65
BELEM,1501402,high_inactive,high,False,9,0.008668333333333333,0.375635,0.36696666666666666,3.6212666666666564,150.45536666666666,146.8341,0.005896283333333328,0.06649141666666666,0.060595133333333336,13692.3
