processing_acps,mun_id,is_capital,capital_mun_id,policy_config,interest_housing,policy_melhorias,seed,delta_regional_gini,regional_gini,regional_gini_base,delta_regional_house_values,regional_house_values,regional_house_values_base,delta_median_affordability,median_affordability,median_affordability_base,pop_base
BELEM,1500800,False,1501402,high_inactive,high,False,0,0.007848333333333346,0.3891266666666667,0.38127833333333333,10.832566666666679,138.39423333333335,127.56166666666667,0.001994233333333331,0.05765605,0.05566181666666667,4410.7
BELEM,1501402,True,1501402,high_inactive,high,False,0,0.006248333333333356,0.37946833333333335,0.37322,8.164216666666647,150.78063333333333,142.61641666666668,0.001588550000000008,0.0639664,0.06237785,13688.883333333333
BELEM,1501501,False,1501402,high_inactive,high,False,0,0.015831666666666633,0.37144,0.35560833333333336,6.240583333333319,162.13594999999998,155.89536666666666,0.00662861666666667,0.06654903333333334,0.05992041666666667,553.95
BELEM,1504422,False,1501402,high_inactive,high,False,0,0.00891499999999995,0.38095666666666667,0.3720416666666667,3.1172333333333313,121.23438333333334,118.11715000000001,-0.0010206999999999994,0.04305566666666667,0.04407636666666667,1105.9
BELEM,1500800,False,1501402,high_inactive,high,False,1,0.0021533333333333404,0.38470333333333334,0.38255,2.8112999999999886,130.90895,128.09765000000002,-0.0002417499999999989,0.05368573333333333,0.05392748333333333,4363.416666666667
BELEM,1501402,True,1501402,high_inactive,high,False,1,-0.004725000000000035,0.36767833333333333,0.37240333333333336,0.8505999999999858,148.16108333333332,147.31048333333334,-0.0007290833333333316,0.059007449999999996,0.05973653333333333,13691.633333333333
BELEM,1501501,False,1501402,high_inactive,high,False,1,-0.011575000000000057,0.36913999999999997,0.380715,-10.304716666666707,150.06779999999998,160.37251666666668,0.00047286666666666866,0.060796133333333335,0.06032326666666667,581.8333333333334
BELEM,1504422,False,1501402,high_inactive,high,False,1,-0.005786666666666607,0.3733116666666667,0.3790983333333333,3.0703333333333234,109.70041666666665,106.63008333333333,-0.001212066666666671,0.03728078333333333,0.03849285,1090.4833333333333
BELEM,1500800,False,1501402,high_inactive,high,False,2,-0.0009916666666666685,0.37455,0.37554166666666666,-1.717000000000013,140.33601666666667,142.05301666666668,0.002366366666666668,0.06244765,0.06008128333333333,4637.1
BELEM,1501402,True,1501402,high_inactive,high,False,2,0.002870000000000039,0.376775,0.373905,-0.599000000000018,151.47406666666666,152.07306666666668,0.002256466666666665,0.06332435,0.061067883333333337,13665.6
