processing_acps,policy_config,interest_housing,policy_melhorias,seed,delta_gini,gini_index,gini_index_base,delta_house_price,house_price,house_price_base,delta_affordability_median,affordability_median,affordability_median_base,delta_house_quality,house_quality,house_quality_base,delta_vacancy,house_vacancy,house_vacancy_base,delta_unemployment,unemployment,unemployment_base,pop
BELEM,high_inactive,high,False,0,0.007645546437384687,0.38075725514067493,0.37311170870329025,8.558490175699035,152.65992035984837,144.10143018414934,0.001881154027176618,0.06157236086949094,0.05969120684231432,-0.0015292182006851895,2.1650877649045563,2.1666169831052415,-0.006814759692826772,0.10609275451672952,0.11290751420955629,0.0001377988043726741,0.03316578929210532,0.033027990487732646,19605.2
BELEM,high_inactive,high,False,1,-0.003493084636969346,0.37191025049891563,0.375403335135885,0.9493441164188141,148.25321250675592,147.3038683903371,-0.0005461847626389155,0.05658563614880844,0.057131820911447355,0.0024235961392573557,2.183710515615759,2.1812869194765017,0.0010067770836209161,0.11475516868680562,0.1137483916031847,-0.0003265718056019752,0.026713540938867998,0.027040112744469973,19859.2
BELEM,high_inactive,high,False,2,0.0028846754870730518,0.3766881604519729,0.37380348496489985,-0.4924937891401271,152.61805060473117,153.1105443938713,0.0023841938224664766,0.061957810149468856,0.05957361632700238,0.006783413244194403,2.1765066483394535,2.169723235095259,0.0009270243490879931,0.10765591107176586,0.10672888672267787,0.01058644351166687,0.03470793166885556,0.02412148815718869,19938.666666666668
BELEM,high_inactive,high,False,3,-0.009170603069907246,0.3678373712526675,0.37700797432257477,6.513736710255671,161.05958410416864,154.54584739391296,-0.0014544751706112927,0.058891452830741785,0.06034592800135308,0.00039288086066280314,2.1733927952616208,2.172999914400958,-0.006088310714388159,0.09830292962189167,0.10439124033627983,-0.00319098538545853,0.02631247949079231,0.02950346487625084,19661.066666666666
BELEM,high_inactive,high,False,4,0.006499165326517675,0.3789723920008079,0.3724732266742902,-1.7839843679479372,147.3681215614598,149.15210592940772,-0.0006054414775701067,0.057489317005088504,0.05809475848265861,-0.0009675705211535934,2.1731015349935534,2.174069105514707,0.00010999198393069065,0.1126397460559997,0.11252975407206901,0.0054822201833404915,0.028675611593718304,0.023193391410377812,20072.05
BELEM,high_inactive,high,False,5,-0.0034112895381630537,0.3755589862824188,0.37897027582058185,3.2796033960783006,145.26314280695615,141.98353941087785,-0.0012980474467204975,0.057402879675820834,0.05870092712254133,0.001904321253022534,2.181389196459492,2.1794848752064695,-0.006148919964183486,0.11405568025349891,0.1202046002176824,-0.010296709545081422,0.0227484364687091,0.03304514601379052,19917.666666666668
BELEM,high_inactive,high,False,6,-0.011043428207743455,0.36911934551260017,0.3801627737203436,5.182179140820608,146.81853635223507,141.63635721141446,-0.0003587038806567508,0.05635593161092685,0.0567146354915836,0.007430466494590338,2.163165383566808,2.1557349170722175,-0.006857187186008418,0.11094348027049258,0.117800667456501,0.00014175496648253724,0.027013282513486427,0.02687152754700389,19985.816666666666
BELEM,high_inactive,high,False,7,-0.009790272040249959,0.37298493298627816,0.3827752050265281,1.9001332976068568,150.0139654011203,148.11383210351343,-0.0009086275137175706,0.05883991626116729,0.05974854377488486,0.005050564706326366,2.1784578500761445,2.173407285369818,-0.0009453357998802508,0.11196265880612959,0.11290799460600984,-0.00903151733586081,0.02438713173828679,0.0334186490741476,19773.633333333335
BELEM,high_inactive,high,False,8,-0.006692882020996382,0.37563947376314155,0.38233235578413793,-6.021986629391591,146.16704731565545,152.18903394504704,-0.004368350815639653,0.05649075642835774,0.060859107243997394,0.0010658434586736654,2.1667721413522845,2.165706297893611,0.004442637612036879,0.1115586813304564,0.10711604371841953,-0.01775861980537991,0.023195423216941086,0.040954043022320995,20197.866666666665
BELEM,high_inactive,high,False,9,0.01231698297392686,0.3769297834047379,0.364612800430811,3.7941136026860818,151.72259132263352,147.92847771994744,0.005399106107957789,0.06405147976107735,0.05865237365311956,0.004938555085197915,2.181450039515995,2.176511484430797,-0.0026922304124010615,0.10824554306721527,0.11093777347961634,0.013524204125055388,0.03648356211345192,0.02295935798839653,19794.683333333334
CUIABA,high_inactive,high,False,0,-0.0041016029865780235,0.37382273191889076,0.3779243349054688,3.3719370259119046,187.04593946453926,183.67400243862735,0.00015732801406972974,0.0676673253716777,0.06750999735760797,-0.005232594159054305,2.4926365792457608,2.497869173404815,-0.001486599217639134,0.10896896212269831,0.11045556134033745,-0.0005536014064268305,0.03353072059489976,0.03408432200132659,10391.583333333334
CUIABA,high_inactive,high,False,1,0.0008369431952343076,0.3812961045103423,0.380459161315108,3.4958867750509057,182.7199449026095,179.2240581275586,0.00996074960157433,0.06986145560041535,0.059900705998841015,-0.0015404748344445274,2.5136082969158267,2.515148771750271,0.004041574739872059,0.11512144567593798,0.11107987093606592,-0.0012147004310238962,0.03327977808139873,0.03449447851242263,10447.716666666667
CUIABA,high_inactive,high,False,2,0.001403876784623448,0.37524344252789216,0.3738395657432687,-0.11578451963347902,183.52347812535803,183.6392626449915,-0.004019396592044519,0.05971552974635386,0.06373492633839838,0.01573207290285694,2.508355599813803,2.492623526910946,-0.00023914682314937763,0.10762751418581923,0.1078666610089686,0.0009292585900080308,0.033882763608467745,0.032953505018459714,10803.05
CUIABA,high_inactive,high,False,3,-0.0029827383941051777,0.37266043981217556,0.37564317820628074,-7.1320146531934085,175.79795802787538,182.9299726810688,-0.0060019909890329445,0.06167166166551475,0.0676736526545477,-0.0020259736028021003,2.514412659573009,2.5164386331758113,0.0031570440087620166,0.11670473239375843,0.11354768838499642,-1.4294621853032374e-05,0.03382656901967435,0.033840863641527386,10460.75
CUIABA,high_inactive,high,False,4,-0.0017287999792121589,0.3734412490503662,0.37517004902957835,13.234663659591405,183.76987336308002,170.53520970348862,0.0015187524852678866,0.05510715168567379,0.0535883992004059,0.007754330960935363,2.5105991259798754,2.50284479501894,-0.00838306279178093,0.10913182280979841,0.11751488560157934,-0.0002454491631829897,0.03271737926179456,0.03296282842497755,10874.05
CUIABA,high_inactive,high,False,5,0.004236357268103841,0.37978754106073304,0.3755511837926292,-2.074289841613137,181.6958625761002,183.77015241771335,0.0053123445079397424,0.061490799753638914,0.05617845524569917,-0.01677541382075498,2.4933075453270335,2.5100829591477885,0.004747939252198699,0.11214638654789881,0.10739844729570011,0.0007332854870913882,0.033801476999086845,0.03306819151199546,10478.2
CUIABA,high_inactive,high,False,6,-0.0036938320550843895,0.3723604049291767,0.3760542369842611,-10.4203598831144,180.40393184807377,190.82429173118817,-0.00823472525642946,0.06051411460027785,0.06874883985670731,-0.0041666590627604805,2.503337844305448,2.5075045033682084,0.004407782407569921,0.11315216444065827,0.10874438203308835,-0.0027672713052208434,0.032244599999103854,0.0350118713043247,10738.433333333332
CUIABA,high_inactive,high,False,7,0.0005555787717796967,0.3750514021401853,0.3744958233684056,-3.3154207357621885,175.47512409943218,178.79054483519437,0.0016433971549868545,0.06202889741412253,0.06038550025913567,-0.001785642724675185,2.4940845748200955,2.4958702175447707,0.002356368266082612,0.11215296639586883,0.10979659812978622,0.0005663287126153674,0.033940799778113866,0.0333744710654985,10528.866666666667
CUIABA,high_inactive,high,False,8,-0.004511251786455006,0.3720934726572167,0.3766047244436717,8.479935923809649,186.27673388408473,177.7967979602751,0.00038619906157782297,0.055863984946878505,0.05547778588530068,-0.002287415320537889,2.5019009269778487,2.5041883422983866,-0.008795962828743259,0.1043083569216252,0.11310431975036846,-0.001073855439398759,0.03223304389980717,0.03330689933920593,10886.35
CUIABA,high_inactive,high,False,9,-0.0036784121216971166,0.3772867132108857,0.3809651253325828,5.8352871540379,183.92940294112958,178.09411578709168,0.0004802167647851713,0.06485276012091538,0.06437254335613021,-0.007190202535771295,2.4924219433919705,2.499612145927742,-0.005829130741986238,0.1098164882569894,0.11564561899897564,-0.0005234196086969442,0.034589155059385646,0.03511257466808259,10649.416666666666
GOIANIA,high_inactive,high,False,0,0.0012128832135193668,0.4495740185130331,0.4483611352995137,-1.060027284214442,171.85028290285427,172.91031018706872,-0.0017992608935557403,0.07578782739806131,0.07758708829161705,0.002049189344039526,2.5672482022220398,2.5651990128780002,-0.0002767533280204626,0.12229341237010564,0.12257016569812611,0.00030294037240117394,0.036012623619142745,0.03570968324674157,24109.55
GOIANIA,high_inactive,high,False,1,-0.0021746726164471597,0.43868378227809013,0.4408584548945373,3.623552026068012,182.18111475308277,178.55756272701475,-0.0018027589958001383,0.06956943288779176,0.0713721918835919,0.0049515257503571775,2.5793313990812967,2.5743798733309395,-0.004232433663883664,0.11242259009136792,0.11665502375525158,0.00017212984077117494,0.03464443905647978,0.0344723092157086,24547.916666666668
GOIANIA,high_inactive,high,False,2,0.0007236561898819049,0.4364415187398342,0.4357178625499523,-5.188573805520178,167.47216249532528,172.66073630084546,0.00022586196217841414,0.07229810815466321,0.0720722461924848,-0.004122145137853472,2.566629804894113,2.5707519500319664,0.005534612159567895,0.1242653453160385,0.1187307331564706,0.001071484610413835,0.03440262165022312,0.033331137039809285,24404.05
GOIANIA,high_inactive,high,False,3,0.0022140712673365814,0.44905361754113593,0.44683954627379935,-3.2828529714256263,174.15087467120196,177.4337276426276,0.00031400483272753243,0.07378672426130045,0.07347271942857292,-0.011643775320444139,2.5628929124032833,2.5745366877237275,-0.00027163017490738905,0.11739395679728677,0.11766558697219416,0.0003038739552546979,0.035593827181585054,0.035289953226330356,24253.916666666668
GOIANIA,high_inactive,high,False,4,-0.00037273693207484637,0.4460120508448151,0.44638478777688995,-9.671393615492377,176.77862337377854,186.45001698927092,-0.005216864602058627,0.07347511790406533,0.07869198250612396,0.007067578957759668,2.580170404973758,2.5731028260159983,0.0070491234850300205,0.11983056793244182,0.1127814444474118,0.0011513372025702337,0.03438149098342814,0.033230153780857904,24288.15
GOIANIA,high_inactive,high,False,5,0.002590139865406016,0.4513573974640728,0.44876725759866676,-2.7813746740835654,180.41229604628901,183.19367072037258,0.00030164747574912276,0.07500851786366022,0.0747068703879111,-0.0036398358302429656,2.5715218315870123,2.5751616674172553,0.006490481379242977,0.11758543379713474,0.11109495241789176,0.00014336747670561784,0.03450458717707105,0.03436121970036543,24226.433333333334
GOIANIA,high_inactive,high,False,6,0.007531189026577734,0.4445175977026004,0.4369864086760227,1.8553706195883422,176.14630137415796,174.29093075456962,0.0007687416737300751,0.07216825423092832,0.07139951255719824,0.0037279203170896835,2.565756730192798,2.5620288098757085,-0.001125645635658673,0.11882664277528714,0.11995228841094581,0.0006208519683102501,0.03477305820974321,0.03415220624143296,24363.316666666666
GOIANIA,high_inactive,high,False,7,0.00034759548440110866,0.459107713381462,0.4587601178970609,-5.378480374452863,174.95949929490826,180.33797966936112,-0.0003495935057922922,0.07272895680841247,0.07307855031420477,2.3555842903810742e-05,2.573417978388721,2.5733944225458174,0.004236222866020337,0.1199580525440224,0.11572182967800207,0.0007701611381411011,0.036122141478552736,0.035351980340411635,24330.233333333334
GOIANIA,high_inactive,high,False,8,0.007936108250218954,0.4575622734671851,0.44962616521696613,-3.761176688694775,177.5376801035981,181.29885679229287,0.0022189587283547724,0.07799285810512044,0.07577389937676567,-0.005692633269697378,2.5767685047194027,2.5824611379891,0.0008986363964333943,0.11757836254807329,0.11667972615163989,0.0005431655995872114,0.035444624484065844,0.03490145888447863,24239.616666666665
GOIANIA,high_inactive,high,False,9,0.0033108460096740178,0.4514244838271328,0.4481136378174588,0.5221161947993949,181.17485994658998,180.65274375179058,-0.0024745325279921793,0.07310990800996707,0.07558444053795925,0.003751342447976036,2.575245867994185,2.571494525546209,-0.0007745331637182135,0.1146275286206569,0.1154020617843751,0.0005351031701826825,0.03608978714335904,0.035554683973176356,24200.166666666668
MACAPA,high_inactive,high,False,0,-0.002616217765487039,0.3906826783005144,0.39329889606600144,-0.7784547215553914,166.5183133462286,167.296768067784,-0.015503871734904695,0.05829376001193316,0.07379763174683786,-0.014892661760283143,2.3487048582091123,2.3635975199693955,-0.0006238712832122711,0.10652865966258004,0.10715253094579232,-0.08014080014316027,0.1580181632783409,0.23815896342150117,6240.216666666666
MACAPA,high_inactive,high,False,1,-0.006218265308510995,0.3916828779305034,0.3979011432390144,1.970164070855276,167.72486509704976,165.75470102619448,0.0036969183818488516,0.06251598436861279,0.05881906598676394,0.02104577428181642,2.367564212837071,2.3465184385552544,0.0023145563376969075,0.10609753395613392,0.10378297761843701,0.01831460247426725,0.21182302913653392,0.19350842666226667,6254.733333333334
MACAPA,high_inactive,high,False,2,0.002586898126501702,0.39236986923222245,0.38978297110572074,-3.429257416491623,162.07329121446017,165.5025486309518,-0.013905527903813691,0.054623978261970976,0.06852950616578467,-0.012993336776382591,2.350306544711711,2.3632998814880937,0.0009334021597638131,0.11015817296534676,0.10922477080558295,-0.061345860896953985,0.1774380704663593,0.23878393136331327,6202.1
MACAPA,high_inactive,high,False,3,-0.015688705360549005,0.3860728195184272,0.4017615248789762,2.9323802532294962,165.5550027967153,162.62262254348582,0.012511324186553256,0.07424588722796881,0.06173456304141555,0.024964505867480558,2.3547987750247614,2.329834269157281,0.003237335576318487,0.10569543097628409,0.1024580953999656,0.07814902945016872,0.26233376437746697,0.18418473492729825,6162.033333333334
