level,outcome,mechanism,beta,se,t,p,stars,r2,r2_adj,n,n_cities
ACP,delta_gini,delta_affordability_median,0.3532456424422642,0.0650982604146832,5.426345346128299,5.751961835440494e-08,***,0.07416654822673385,0.05496723701484574,1330,27
Capital,delta_regional_gini,delta_median_affordability,0.3554140068827923,0.06453444559497509,5.5073535319944895,3.642682607183475e-08,***,0.07616664455296229,0.05700880999300062,1330,27
Periphery,delta_gini_periphery,delta_median_affordability_periphery,0.5453138972991425,0.10240016705711506,5.3253223404898,1.0077416997828351e-07,***,0.08260033234588349,0.06350592109858866,1080,22
