policy_config,gap_gini,gap_rent,gap_price
low_inactive,-0.0008697646494257937,-0.00046355919945371445,-0.05698657500002815
high_active,-0.0007793363043015954,-2.5222465530277894e-05,-0.37905782632525137
medium_active,-0.0007074720086273315,-5.713271394861243e-05,-0.6026763993117717
low_active,-0.00046890787834002876,0.00017433135321530077,-0.4619467919855867
high_inactive,0.00024749124838320985,-0.00017319997337230116,-0.2756745534829867
