processing_acps,avg_population
SAO PAULO,190620.12222222224
RIO DE JANEIRO,110670.93999999999
BELO HORIZONTE,48908.534999999996
BRASILIA,39864.79166666667
RECIFE,35125.805
FORTALEZA,34204.63833333333
PORTO ALEGRE,33950.955
CURITIBA,32107.92166666667
SALVADOR,32080.440000000002
MANAUS,25281.481666666667
GOIANIA,24331.543333333335
BELEM,19886.198333333334
VITORIA,17280.04
SAO LUIS,14683.353333333333
FLORIANOPOLIS,12940.15
NATAL,12036.515
MACEIO,11088.396666666667
TERESINA,10974.618333333334
CUIABA,10660.966666666665
CAMPO GRANDE,10238.446666666667
JOAO PESSOA,9854.173333333334
ARACAJU,9374.08
BOA VISTA,6480.36
MACAPA,6249.018333333333
PORTO VELHO,5649.098333333333
RIO BRANCO,3929.2316666666666
PALMAS,3586.8033333333333
