processing_acps,delta_regional_gini,delta_gini_periphery,gap_gini,gap_rent,gap_price
SALVADOR,0.0067459333333332785,-9.743756576088003e-05,-0.006843370899094159,-0.0003738395823377636,-0.5045277195838049
PORTO VELHO,-0.0004833666666666761,-0.005679466666666638,-0.005196099999999962,0.0023384009999999848,-0.6460653333333342
BELO HORIZONTE,-0.0017104999999999941,-0.0051068681152780125,-0.003396368115278018,0.00035594385542376964,-0.5268451422713591
RIO DE JANEIRO,0.001780866666666668,-0.00043300510504818,-0.0022138717717148483,6.2757459834392e-05,0.31265472333071037
CUIABA,-0.0001821333333333232,-0.001996033333333334,-0.0018139000000000109,0.0010205416666666522,0.360349000000004
VITORIA,-0.0008709,-0.002677680419151754,-0.001806780419151754,-0.0005014482322457548,-1.671307100543156
SAO LUIS,-0.000273499999999998,-0.002080185368440724,-0.001806685368440726,-0.0007361086874889127,-0.23810582341370526
MACAPA,-0.0011416000000000022,-0.002865500000000012,-0.00172390000000001,-0.0029587986666666497,1.246675333333338
FORTALEZA,-0.001022533333333336,-0.0024090308148098307,-0.001386497481476495,0.0015348425838699192,-0.7018555959101385
MACEIO,0.001561899999999988,0.000609526396901537,-0.0009523736030984511,0.0008424309574346678,-2.676651552569474
NATAL,0.0026234000000000092,0.001836688308008792,-0.0007867116919912173,-0.0010914286810330283,-0.09267446859744627
JOAO PESSOA,0.002484466666666658,0.0018063934882226532,-0.0006780731784440044,0.00045692550117492866,-0.5294075882552659
FLORIANOPOLIS,-0.002099933333333322,-0.002714276112117692,-0.0006143427787843704,-0.0010239646464987602,2.2676507268491037
BRASILIA,-0.00015130000000000005,-8.573875613193099e-05,6.556124386806881e-05,0.00019243285894040708,-0.9401072546499091
RECIFE,0.0008056666666666554,0.001082153761375032,0.00027648709470837673,0.0004341456919239918,0.04200221328948702
SAO PAULO,-0.0016665000000000063,-0.001256718165917139,0.0004097818340828677,-0.0007889488824054938,0.2597644644605236
GOIANIA,-0.00046673333333332393,0.0003156150083839821,0.000782348341717306,0.0006240463842489229,1.1090901241850484
ARACAJU,0.001861333333333336,0.0032652036482800823,0.001403870314946746,-0.001213318538289158,-0.00831682049570599
BELEM,-0.0014673333333333138,-5.101622509883691e-05,0.001416317108234477,-0.0008797026924681331,0.13154303240720236
PORTO ALEGRE,0.002189266666666688,0.004064546646890982,0.001875279980224294,-0.0014458575425852303,-1.2236520611338135
TERESINA,0.002066933333333318,0.006227099999999965,0.004160166666666646,0.0005869823333333429,-3.112785666666669
CURITIBA,0.0004581666666666461,0.008314327084539186,0.00785616041787254,-0.00010507624986138619,-0.4273197758237256
