cod_ibge,ano,recursos_fgts,recursos_sbpe
110012,2016,39339511.440000005,78679022.88000001
110012,2017,46402182.04,92804364.08
110012,2018,54004500.12000005,108009000.2400001
110012,2019,55539954.52000013,111079909.04000026
110012,2020,50273462.84000011,100546925.68000022
110012,2021,55309615.76,110619231.52
110012,2022,47135845.04000001,94271690.08000001
110012,2023,57256155.120000005,114512310.24000001
110012,2024,85293066.44000003,170586132.88000005
110012,2025,19883068.72,39766137.44
110013,2009,89952.0,179904.0
110013,2010,538076.0,1076152.0
110013,2011,746320.8,1492641.6
110013,2012,2633024.24,5266048.48
110013,2013,2779212.24,5558424.48
110013,2014,4233722.48,8467444.96
110013,2015,4400294.839999999,8800589.679999998
110013,2016,1852076.24,3704152.48
110013,2017,2412563.3999999994,4825126.799999999
110013,2018,4584079.56,9168159.12
110013,2019,2629761.64,5259523.28
110013,2020,2257614.4799999995,4515228.959999999
110013,2021,1170715.0,2341430.0
110013,2022,1576144.4,3152288.8
110013,2023,2586612.9600000004,5173225.920000001
110013,2024,6223856.8,12447713.6
110013,2025,1131315.72,2262631.44
110014,2009,147972.0,295944.0
110014,2010,320848.0,641696.0
110014,2011,78748.0,157496.0
110014,2013,289760.76,579521.52
110014,2014,284967.88,569935.76
110014,2015,587140.52,1174281.04
110014,2016,13585.04,27170.08
110014,2018,0.0,0.0
110014,2019,0.0,0.0
110014,2022,14425.68,28851.36
110014,2023,4648.0,9296.0
110014,2024,120496.2,240992.4
110014,2025,220550.56,441101.12
110015,2009,873656.0,1747312.0
110015,2010,1069308.0,2138616.0
110015,2011,221880.8,443761.6
110015,2012,854232.6400000001,1708465.2800000003
110015,2013,2413201.08,4826402.16
110015,2014,4911774.959999999,9823549.919999998
110015,2015,2144790.76,4289581.52
110015,2016,2073904.36,4147808.72
110015,2017,6176406.6,12352813.2
110015,2018,3820595.2,7641190.4
110015,2019,1862299.08,3724598.16
110015,2020,1015797.48,2031594.96
110015,2021,1033423.48,2066846.96
110015,2022,167903.24,335806.48
110015,2023,277711.16000000003,555422.3200000001
110015,2024,1386612.48,2773224.96
110015,2025,393883.32,787766.64
110018,2009,440764.0,881528.0
110018,2010,1129256.0,2258512.0
110018,2011,349334.4,698668.8
110018,2012,2520869.72,5041739.44
110018,2013,1076406.52,2152813.04
110018,2014,1405165.4799999995,2810330.959999999
110018,2015,1680187.7999999998,3360375.5999999996
110018,2016,503914.4,1007828.8
110018,2017,265849.64,531699.28
110018,2018,623375.36,1246750.72
110018,2019,190274.04,380548.08
110018,2020,542500.8,1085001.6
110018,2021,373431.8,746863.6
110018,2022,353581.48,707162.96
110018,2023,452051.76,904103.52
110018,2024,1352395.52,2704791.04
110018,2025,51116.6,102233.2
110020,2009,10345190.04,20690380.08
110020,2010,12370844.0,24741688.0
110020,2011,19623448.0,39246896.0
110020,2012,40862572.75999998,81725145.51999997
110020,2013,108959497.52000004,217918995.04000008
110020,2014,77742933.92000002,155485867.84000003
110020,2015,29955773.08000001,59911546.16000002
110020,2016,6434138.44,12868276.88
110020,2017,9562335.920000002,19124671.840000004
110020,2018,8491736.16,16983472.32
110020,2019,13828730.400000006,27657460.800000012
110020,2020,24740487.16000001,49480974.32000002
110020,2021,5834760.399999999,11669520.799999999
110020,2022,4141437.28,8282874.56
110020,2023,8212727.640000001,16425455.280000001
110020,2024,11781149.560000002,23562299.120000005
110020,2025,2719765.4400000004,5439530.880000001
110025,2009,134780.0,269560.0
110025,2010,211032.0,422064.0
110025,2011,30504.0,61008.0
110025,2012,240836.0,481672.0
110025,2013,339362.8,678725.6
110025,2014,2192952.8,4385905.6
110025,2015,3027412.64,6054825.28
110025,2016,2040631.8,4081263.6
110025,2017,1602940.4,3205880.8
110025,2018,2102419.28,4204838.56
110025,2019,2420587.2,4841174.4
110025,2020,4330605.64,8661211.28
110025,2021,3566070.24,7132140.48
110025,2022,3949481.080000001,7898962.160000002
110025,2023,4030838.480000001,8061676.960000002
110025,2024,6266144.399999999,12532288.799999999
110025,2025,1444039.0799999998,2888078.1599999997
110026,2014,0.0,0.0
110028,2009,735780.0,1471560.0
110028,2010,5116080.0,10232160.0
110028,2011,2904132.0,5808264.0
110028,2012,11448114.040000005,22896228.08000001
110028,2013,12917624.56,25835249.12
110028,2014,11228031.32,22456062.64
110028,2015,7681175.3599999985,15362350.719999997
110028,2016,3409637.6,6819275.2
110028,2017,4236935.04,8473870.08
110028,2018,7352307.919999998,14704615.839999996
110028,2019,6242700.319999998,12485400.639999997
110028,2020,6690975.399999999,13381950.799999999
110028,2021,4445421.399999999,8890842.799999999
110028,2022,1826343.12,3652686.24
110028,2023,3340926.079999999,6681852.159999998
110028,2024,5360830.32,10721660.64
110028,2025,2376803.48,4753606.96
110029,2009,40140.0,80280.0
110029,2011,20284.8,40569.6
110029,2012,181911.44,363822.88
110029,2013,297755.88,595511.76
110029,2014,294372.52,588745.04
110029,2015,497831.16,995662.32
110029,2016,17413.0,34826.0
110029,2019,157566.24,315132.48
110029,2020,0.0,0.0
110029,2023,280368.2,560736.4
110029,2024,374133.48,748266.96
110030,2009,4065888.0,8131776.0
110030,2010,13987012.0,27974024.0
110030,2011,3908418.4,7816836.8
110030,2012,12639301.080000002,25278602.160000004
110030,2013,26045961.16,52091922.32
110030,2014,26576505.23999999,53153010.47999998
110030,2015,23432350.52,46864701.04
110030,2016,17506675.360000003,35013350.720000006
110030,2017,32581151.760000005,65162303.52000001
110030,2018,52161059.56000006,104322119.12000012
110030,2019,33514798.84000005,67029597.6800001
110030,2020,47569402.44000006,95138804.88000011
110030,2021,40558826.20000001,81117652.40000002
110030,2022,43942981.75999999,87885963.51999998
110030,2023,44522990.440000005,89045980.88000001
110030,2024,65867913.48,131735826.96
110030,2025,11920240.519999998,23840481.039999995
110032,2013,177243.91999999998,354487.83999999997
110032,2014,1248513.44,2497026.88
110032,2015,2422245.3999999994,4844490.799999999
110032,2016,412771.0,825542.0
110032,2017,562980.8,1125961.6
110032,2018,222119.28000000003,444238.56000000006
110032,2019,316612.48,633224.96
110032,2020,990317.36,1980634.72
110032,2021,1079384.12,2158768.24
110032,2022,1625447.0800000003,3250894.1600000006
110032,2023,462400.64,924801.28
110032,2024,2744686.4799999995,5489372.959999999
110032,2025,320484.28,640968.56
110033,2013,531191.52,1062383.04
110033,2014,841632.0,1683264.0
110033,2015,201480.0,402960.0
110033,2018,113804.68,227609.36
110033,2019,243490.08,486980.16
110033,2020,0.0,0.0
110033,2021,160286.36000000002,320572.72000000003
110033,2022,66053.56,132107.12
110033,2023,15256.8,30513.6
110033,2024,133758.56,267517.12
110033,2025,126094.24,252188.48
110034,2012,77084.16,154168.32
110034,2016,147689.0,295378.0
110034,2018,24620.36,49240.72
110034,2019,103952.0,207904.0
110034,2020,83999.95999999999,167999.91999999998
110034,2021,349600.0,699200.0
110034,2022,340137.52,680275.04
110034,2023,423849.0,847698.0
110034,2024,1420396.84,2840793.68
110034,2025,848897.4,1697794.8
110037,2011,0.0,0.0
110037,2012,115149.68,230299.36
110037,2013,204071.92,408143.84
110037,2014,701282.0399999999,1402564.0799999998
110037,2015,621784.5999999999,1243569.1999999997
110037,2016,324263.84,648527.68
110037,2017,289626.96,579253.92
110037,2018,200627.88,401255.76
110037,2019,89067.96,178135.92
110037,2020,159999.92,319999.84
110037,2021,138627.32,277254.64
110037,2022,246493.19999999995,492986.3999999999
110037,2023,410446.92,820893.84
110037,2024,504343.88,1008687.76
110037,2025,281372.24,562744.48
110040,2009,0.0,0.0
110040,2010,34012.0,68024.0
110040,2012,52932.16,105864.32
110040,2013,132227.96,264455.92
110040,2014,157827.92,315655.84
110040,2015,299111.84,598223.68
110040,2016,77587.95999999999,155175.91999999998
110040,2017,201758.4,403516.8
110040,2018,260799.96,521599.92
110040,2019,106137.04,212274.08
110040,2023,0.0,0.0
110040,2024,0.0,0.0
110040,2025,0.0,0.0
110045,2009,132264.0,264528.0
110045,2011,18100.8,36201.6
