date,sbpe,fgts
2000-01-01,0.0061599999999999,
2000-02-01,0.01008,
2000-03-01,0.00936,
2000-04-01,0.00776,
2000-05-01,0.01104,
2000-06-01,0.00928,
2000-07-01,0.0008,
2000-08-01,0.0006399999999999,
2000-09-01,0.00928,
2000-10-01,0.01,
2000-11-01,0.00856,
2000-12-01,0.0064,
2001-01-01,0.0065599999999999,
2001-02-01,0.0074399999999999,
2001-03-01,0.00808,
2001-04-01,0.00648,
2001-05-01,0.00784,
2001-06-01,0.00696,
2001-07-01,0.0004799999999999,
2001-08-01,0.00552,
2001-09-01,0.00888,
2001-10-01,0.0044799999999999,
2001-11-01,0.00544,
2001-12-01,0.0059199999999999,
2002-01-01,0.00696,
2002-02-01,0.00824,
2002-03-01,0.0063199999999999,
2002-04-01,0.0047199999999999,
2002-05-01,0.00944,
2002-06-01,0.00776,
2002-07-01,0.0016,
2002-08-01,0.0059199999999999,
2002-09-01,0.0053599999999999,
2002-10-01,0.0006399999999999,
2002-11-01,0.0008,
2002-12-01,0.0008,
2003-01-01,0.0008,
2003-02-01,0.0008,
2003-03-01,0.0012799999999999,
2003-04-01,0.0033599999999999,
2003-05-01,0.00624,
2003-06-01,0.01232,
2003-07-01,0.00952,
2003-08-01,0.0084,
2003-09-01,0.0048799999999999,
2003-10-01,0.0088,
2003-11-01,0.0084,
2003-12-01,0.00696,
2004-01-01,0.0050399999999999,
2004-02-01,0.00624,
2004-03-01,0.00736,
2004-04-01,0.00816,
2004-05-01,0.0070399999999999,
2004-06-01,0.00544,
2004-07-01,0.0038399999999999,
2004-08-01,0.0055999999999999,
2004-09-01,0.0084799999999999,
2004-10-01,0.0075999999999999,
2004-11-01,0.0055999999999999,
2004-12-01,0.0042399999999999,
2005-01-01,0.00648,0.004867550565343
2005-02-01,0.0064,0.004867550565343
2005-03-01,0.00624,0.004867550565343
2005-04-01,0.00416,0.004867550565343
2005-05-01,0.0072,0.004867550565343
2005-06-01,0.01128,0.004867550565343
2005-07-01,0.00912,0.004867550565343
2005-08-01,0.00976,0.004867550565343
2005-09-01,0.00832,0.004867550565343
2005-10-01,0.00512,0.004867550565343
2005-11-01,0.0067199999999999,0.004867550565343
2005-12-01,0.00824,0.004867550565343
2006-01-01,0.0064,0.004867550565343
2006-02-01,0.00784,0.004867550565343
2006-03-01,0.0076799999999999,0.004867550565343
2006-04-01,0.00944,0.004867550565343
2006-05-01,0.0103199999999999,0.004867550565343
2006-06-01,0.0128,0.004867550565343
2006-07-01,0.0096,0.004867550565343
2006-08-01,0.01072,0.004867550565343
2006-09-01,0.00944,0.004867550565343
2006-10-01,0.0084799999999999,0.004867550565343
2006-11-01,0.00864,0.004867550565343
2006-12-01,0.00728,0.004867550565343
2007-01-01,0.0075999999999999,0.004867550565343
2007-02-01,0.0075999999999999,0.004867550565343
2007-03-01,0.00816,0.004867550565343
2007-04-01,0.00912,0.004867550565343
2007-05-01,0.00888,0.004867550565343
2007-06-01,0.00888,0.004867550565343
2007-07-01,0.0092,0.004867550565343
2007-08-01,0.00736,0.004867550565343
2007-09-01,0.00968,0.004867550565343
2007-10-01,0.00872,0.004867550565343
2007-11-01,0.00808,0.004867550565343
2007-12-01,0.0051999999999999,0.004867550565343
2008-01-01,0.0067999999999999,0.0048604692107299
2008-02-01,0.0072,0.0048604692107299
