cod_ibge,ano,qtd_uh_financiadas,vlr_subsidio
110010,2021,84,1438415.0
110010,2022,116,951240.84
110010,2023,132,1247260.2799999998
110010,2024,136,1765538.4800000002
110010,2025,28,545603.44
110011,2009,128,1502140.0
110011,2010,648,11178024.0
110011,2011,168,1124136.0
110011,2012,108,1901843.6
110011,2013,124,2682118.4799999995
110011,2014,200,3783593.36
110011,2015,232,3344818.759999999
110011,2016,256,3537193.96
110011,2017,368,6343075.359999999
110011,2018,524,9390589.4
110011,2019,640,13541237.52
110011,2020,864,20791404.24
110011,2021,664,16835232.360000003
110011,2022,472,10561374.92
110011,2023,460,10336010.04
110011,2024,596,16097004.479999997
110011,2025,124,2952337.6800000006
110012,2009,936,15479235.64
110012,2010,1488,30190020.0
110012,2011,1536,17135192.0
110012,2012,1756,40800173.08000001
110012,2013,1500,39782237.20000002
110012,2014,1784,47136094.680000015
110012,2015,1992,49104367.280000016
110012,2016,1696,39339511.440000005
110012,2017,1900,46402182.04
110012,2018,2128,54004500.12000005
110012,2019,2424,55539954.52000013
110012,2020,2268,50273462.84000011
110012,2021,2292,55309615.76
110012,2022,2128,47135845.04000001
110012,2023,2560,57256155.120000005
110012,2024,3312,85293066.44000003
110012,2025,944,19883068.72
110013,2009,8,89952.0
110013,2010,32,538076.0
110013,2011,112,746320.8
110013,2012,132,2633024.24
110013,2013,136,2779212.24
110013,2014,216,4233722.48
110013,2015,248,4400294.839999999
110013,2016,128,1852076.24
110013,2017,132,2412563.3999999994
110013,2018,240,4584079.56
110013,2019,136,2629761.64
110013,2020,112,2257614.4799999995
110013,2021,72,1170715.0
110013,2022,104,1576144.4
110013,2023,172,2586612.9600000004
110013,2024,236,6223856.8
110013,2025,40,1131315.72
110014,2009,12,147972.0
110014,2010,20,320848.0
110014,2011,28,78748.0
110014,2013,16,289760.76
110014,2014,16,284967.88
110014,2015,36,587140.52
110014,2016,20,13585.04
110014,2018,4,0.0
110014,2019,8,0.0
110014,2022,4,14425.68
110014,2023,12,4648.0
110014,2024,20,120496.2
110014,2025,8,220550.56
110015,2009,92,873656.0
110015,2010,84,1069308.0
110015,2011,48,221880.8
110015,2012,48,854232.6400000001
110015,2013,124,2413201.08
110015,2014,228,4911774.959999999
110015,2015,132,2144790.76
110015,2016,144,2073904.36
110015,2017,292,6176406.6
110015,2018,172,3820595.2
110015,2019,104,1862299.08
110015,2020,40,1015797.48
110015,2021,44,1033423.48
110015,2022,24,167903.24
110015,2023,40,277711.16000000003
110015,2024,88,1386612.48
110015,2025,40,393883.32
110018,2009,64,440764.0
110018,2010,96,1129256.0
110018,2011,96,349334.4
110018,2012,164,2520869.72
110018,2013,68,1076406.52
110018,2014,84,1405165.4799999995
110018,2015,104,1680187.7999999998
110018,2016,48,503914.4
110018,2017,40,265849.64
110018,2018,44,623375.36
110018,2019,32,190274.04
110018,2020,56,542500.8
110018,2021,36,373431.8
110018,2022,76,353581.48
110018,2023,188,452051.76
110018,2024,264,1352395.52
110018,2025,64,51116.6
110020,2009,1400,10345190.04
110020,2010,1232,12370844.0
110020,2011,3092,19623448.0
110020,2012,2556,40862572.75999998
110020,2013,5036,108959497.52000004
110020,2014,3892,77742933.92000002
110020,2015,2544,29955773.08000001
110020,2016,1556,6434138.44
110020,2017,1504,9562335.920000002
110020,2018,1280,8491736.16
110020,2019,1496,13828730.400000006
110020,2020,1816,24740487.16000001
110020,2021,544,5834760.399999999
110020,2022,892,4141437.28
110020,2023,1444,8212727.640000001
110020,2024,1904,11781149.560000002
110020,2025,344,2719765.4400000004
110025,2009,16,134780.0
110025,2010,20,211032.0
110025,2011,12,30504.0
110025,2012,12,240836.0
110025,2013,20,339362.8
110025,2014,104,2192952.8
110025,2015,148,3027412.64
110025,2016,136,2040631.8
110025,2017,76,1602940.4
110025,2018,116,2102419.28
110025,2019,116,2420587.2
110025,2020,204,4330605.64
110025,2021,144,3566070.24
110025,2022,164,3949481.080000001
110025,2023,220,4030838.480000001
110025,2024,288,6266144.399999999
110025,2025,64,1444039.0799999998
110026,2014,4,0.0
110028,2009,72,735780.0
110028,2010,320,5116080.0
110028,2011,448,2904132.0
110028,2012,640,11448114.040000005
110028,2013,596,12917624.56
110028,2014,532,11228031.32
110028,2015,456,7681175.3599999985
110028,2016,288,3409637.6
110028,2017,332,4236935.04
110028,2018,372,7352307.919999998
110028,2019,324,6242700.319999998
110028,2020,300,6690975.399999999
110028,2021,176,4445421.399999999
110028,2022,164,1826343.12
110028,2023,336,3340926.079999999
110028,2024,524,5360830.32
110028,2025,140,2376803.48
110029,2009,4,40140.0
110029,2011,20,20284.8
110029,2012,12,181911.44
110029,2013,12,297755.88
110029,2014,20,294372.52
110029,2015,24,497831.16
110029,2016,4,17413.0
110029,2019,8,157566.24
110029,2020,4,0.0
110029,2023,8,280368.2
110029,2024,16,374133.48
110030,2009,356,4065888.0
110030,2010,832,13987012.0
110030,2011,540,3908418.4
110030,2012,688,12639301.080000002
110030,2013,1228,26045961.16
110030,2014,1336,26576505.23999999
110030,2015,1260,23432350.52
110030,2016,1216,17506675.360000003
110030,2017,1532,32581151.760000005
110030,2018,2356,52161059.56000006
110030,2019,1600,33514798.84000005
110030,2020,2096,47569402.44000006
110030,2021,1804,40558826.20000001
110030,2022,2316,43942981.75999999
110030,2023,2684,44522990.440000005
110030,2024,3528,65867913.48
110030,2025,796,11920240.519999998
110032,2013,12,177243.91999999998
110032,2014,48,1248513.44
110032,2015,116,2422245.3999999994
110032,2016,24,412771.0
110032,2017,40,562980.8
110032,2018,48,222119.28000000003
110032,2019,20,316612.48
110032,2020,60,990317.36
110032,2021,48,1079384.12
110032,2022,88,1625447.0800000003
110032,2023,92,462400.64
110032,2024,132,2744686.4799999995
110032,2025,28,320484.28
110033,2013,24,531191.52
110033,2014,36,841632.0
110033,2015,12,201480.0
110033,2018,12,113804.68
110033,2019,16,243490.08
110033,2020,8,0.0
110033,2021,8,160286.36000000002
110033,2022,4,66053.56
110033,2023,8,15256.8
110033,2024,12,133758.56
110033,2025,16,126094.24
110034,2012,4,77084.16
110034,2016,12,147689.0
110034,2018,4,24620.36
110034,2019,12,103952.0
110034,2020,8,83999.95999999999
110034,2021,12,349600.0
110034,2022,16,340137.52
110034,2023,32,423849.0
110034,2024,80,1420396.84
110034,2025,20,848897.4
110037,2011,8,0.0
110037,2012,12,115149.68
110037,2013,8,204071.92
110037,2014,32,701282.0399999999
110037,2015,28,621784.5999999999
110037,2016,16,324263.84
110037,2017,16,289626.96
110037,2018,12,200627.88
110037,2019,4,89067.96
110037,2020,8,159999.92
110037,2021,8,138627.32
110037,2022,16,246493.19999999995
110037,2023,28,410446.92
110037,2024,44,504343.88
110037,2025,8,281372.24
110040,2009,4,0.0
110040,2010,4,34012.0
110040,2012,8,52932.16
110040,2013,8,132227.96
110040,2014,8,157827.92
110040,2015,16,299111.84
110040,2016,20,77587.95999999999
110040,2017,8,201758.4
110040,2018,16,260799.96
110040,2019,12,106137.04
110040,2023,4,0.0
110040,2024,4,0.0
110040,2025,4,0.0
110045,2009,8,132264.0
110045,2011,4,18100.8
110045,2012,12,105864.32
110045,2013,28,443306.88
110045,2014,32,716598.1599999999
110045,2015,40,709106.36
110045,2016,52,719163.9199999999
110045,2017,72,1247885.32
110045,2018,64,1103160.7599999998
110045,2019,36,802115.44
110045,2020,68,1608139.4799999995
110045,2021,24,523874.6
110045,2022,60,1067094.6800000002
110045,2023,96,1527766.44
110045,2024,140,1504771.4799999995
110045,2025,20,140404.12
110050,2012,4,14934.84
110050,2016,4,0.0
110050,2024,4,0.0
110060,2010,4,46544.0
110060,2011,4,0.0
110060,2014,8,132227.96
110060,2017,4,0.0
110060,2019,4,113523.96
110060,2020,8,167999.91999999998
110060,2021,4,75699.64
110060,2022,8,102058.72
110080,2009,4,14752.0
110080,2010,12,62440.0
110080,2012,20,179739.56
110080,2013,20,265899.16000000003
110080,2014,24,418165.32000000007
110080,2015,8,127999.92
110080,2016,12,152783.92
110080,2017,4,24901.16
110080,2019,4,82502.48
110080,2020,4,25973.72
110080,2021,4,104840.36
110080,2022,32,193241.6
110080,2023,12,324064.88
110080,2024,16,157761.24
110092,2009,4,0.0
110092,2010,4,49304.0
110092,2012,4,84932.16
110092,2013,4,97807.96
110092,2014,12,191648.28000000003
110092,2015,12,220963.92
110092,2016,8,145574.52000000002
110092,2020,8,187139.92
110092,2022,4,2128.0
110092,2023,8,0.0
110092,2024,16,0.0
110094,2025,4,5356.0
110100,2018,4,126179.96
110100,2019,4,0.0
110100,2024,8,341936.56
110120,2017,4,0.0
110120,2019,4,108752.0
110120,2022,4,91054.44
110120,2024,8,64971.72
110130,2014,8,199491.92
110130,2015,12,289492.43999999994
110130,2017,4,78980.48
110130,2020,4,89559.96
110130,2024,20,235065.28000000003
110130,2025,4,185002.0
110140,2009,4,42940.0
110140,2010,8,109356.0
110140,2011,4,36000.0
110140,2012,8,79288.04000000001
110140,2013,8,122269.36
110140,2015,4,68228.0
110140,2016,4,68440.0
110140,2017,4,0.0
110140,2018,12,254073.76
110140,2020,4,93895.96
110140,2023,8,0.0
110140,2024,4,219825.04
110145,2023,4,110067.92
110145,2024,8,68367.84
110147,2010,4,0.0
110147,2011,4,13312.8
110147,2012,8,174288.56
110147,2013,4,63999.96
110147,2014,12,279425.87999999995
110147,2015,4,97807.96
110147,2016,4,66663.96
110147,2019,4,0.0
110147,2020,4,0.0
110147,2021,4,16499.4
110148,2014,12,198051.92
110148,2015,4,87355.95999999999
110148,2016,4,77500.44
110148,2019,4,0.0
110148,2020,8,129626.52
110149,2015,4,75083.95999999999
110149,2016,4,0.0
110149,2018,4,24084.84
110149,2023,16,2718.6
110149,2024,32,610961.9199999999
110149,2025,4,62926.6
110150,2024,4,0.0
110160,2009,12,193896.0
110160,2010,16,179980.0
110160,2011,12,76000.0
110160,2012,8,143664.32
110160,2013,4,102035.96
110160,2014,4,97807.96
110160,2015,24,461706.7200000001
110160,2016,16,205448.68
110160,2017,12,257585.36
110160,2018,8,0.0
110160,2023,4,156484.24
110170,2009,20,223500.0
110170,2010,12,200960.0
110170,2011,36,133904.8
110170,2012,24,414572.6
110170,2013,16,250223.92
110170,2014,36,581274.4800000001
110170,2015,28,468368.12
110170,2016,8,21701.08
110170,2017,12,170200.96000000002
110170,2018,8,98182.24
110170,2019,8,167653.56000000003
110170,2020,4,89699.95999999999
110170,2021,16,338443.04000000004
110170,2022,16,118399.28
110170,2023,40,1005643.64
110170,2024,56,1936903.04
110170,2025,20,446371.52
110175,2013,4,79063.95999999999
110175,2020,4,83999.96
110180,2009,4,42012.0
110180,2010,8,40140.0
110180,2011,4,36000.0
110180,2012,4,72451.96
110180,2013,24,449386.04
110180,2014,16,310399.72
110180,2015,16,270853.64
110180,2016,12,174843.91999999998
110180,2018,4,19242.36
110180,2021,4,65615.64
110180,2024,4,0.0
120001,2009,8,68544.0
120001,2010,8,55016.0
120001,2011,16,15508.0
120001,2012,4,0.0
120001,2013,4,48326.16
120001,2016,4,63999.96000000001
120001,2017,8,0.0
120001,2019,12,52968.88
120001,2021,4,91409.12
120005,2010,4,40140.0
120005,2013,8,169362.91999999998
120005,2014,4,97367.96
120005,2015,4,102035.96
120010,2009,8,80280.0
120010,2010,8,80280.0
120010,2012,4,72824.16
120010,2013,32,122166.2
120010,2014,72,259160.2
120010,2015,12,77259.95999999999
120010,2017,4,0.0
120013,2009,8,38208.0
120013,2010,8,44288.0
120013,2012,4,68723.0
120013,2013,12,218609.4
120013,2014,48,703037.12
120013,2015,24,246309.76
120013,2017,20,123010.8
120013,2018,4,0.0
120013,2019,16,158385.28
120013,2023,4,0.0
120017,2009,12,75772.0
120017,2011,8,0.0
120017,2014,4,0.0
120020,2009,292,1693163.2
120020,2010,96,1223200.0
120020,2011,72,129362.4
120020,2012,56,393437.6
120020,2013,84,931851.2
120020,2014,104,641078.6
120020,2015,104,386614.88000000006
120020,2016,28,235781.28
120020,2017,20,159845.44
120020,2018,16,258799.16
120020,2019,4,74887.8
120020,2020,12,180060.76
120020,2021,4,0.0
120020,2022,16,0.0
120020,2023,24,4524.0
120020,2024,52,1000.0
120020,2025,4,0.0
120025,2010,8,136948.0
120025,2011,20,44164.0
120025,2012,8,119731.28
120025,2013,60,446341.88
120025,2014,68,283878.0
120025,2015,8,0.0
120025,2017,4,23427.56
120030,2009,4,12228.0
120030,2010,4,35940.0
120030,2011,8,19280.0
120030,2012,16,281376.12
120030,2013,224,4956633.919999999
120030,2014,220,5010016.639999999
120030,2015,156,2816215.76
120030,2016,36,633266.12
120030,2017,12,183084.36
120030,2018,4,83999.95999999999
120030,2019,8,30653.16
120030,2020,4,90959.96
120030,2021,4,103577.6
120030,2022,4,0.0
120030,2023,16,155442.44
120030,2024,32,95046.16
120033,2009,8,57160.0
120033,2010,4,55180.0
120033,2011,4,0.0
120033,2012,8,52932.16
120033,2013,4,0.0
120033,2024,4,0.0
120034,2009,8,145556.0
120034,2010,32,328360.0
120034,2011,24,66632.0
120034,2012,20,268485.60000000003
120034,2013,92,1511856.0399999998
120034,2014,40,641483.32
120034,2015,4,63999.96
120034,2016,4,0.0
120034,2019,4,0.0
120034,2020,4,0.0
120038,2009,4,40140.0
120038,2010,8,48140.0
120038,2012,4,0.0
120038,2013,8,59765.72
120038,2014,8,63999.96
120038,2017,4,0.0
120038,2024,4,0.0
120039,2013,8,28274.640000000007
120040,2009,804,8892753.36
120040,2010,1712,27472852.0
120040,2011,1180,6149016.0
120040,2012,440,4273246.600000001
120040,2013,540,4380562.079999999
120040,2014,444,2557418.76
120040,2015,720,2894641.84
120040,2016,548,1525916.28
120040,2017,624,2143029.72
120040,2018,572,5561511.919999999
120040,2019,264,1668427.52
120040,2020,164,1367711.0799999998
120040,2021,348,2388706.8800000004
120040,2022,176,336616.08
120040,2023,564,1353564.0399999998
120040,2024,548,2572365.64
120040,2025,240,1946581.96
120042,2009,16,109904.0
120042,2011,8,8000.0
120042,2012,24,252802.8
120042,2014,20,158409.56
120042,2015,12,200319.56
120045,2009,20,195920.0
120045,2010,8,80280.0
120045,2012,20,182796.48
120045,2013,12,127999.92
120045,2014,28,220830.24
120045,2015,28,172089.36
120045,2022,4,0.0
120045,2023,8,0.0
120045,2024,4,0.0
120050,2009,48,277244.0
120050,2010,28,242240.0
120050,2011,16,0.0
120050,2012,60,831172.0000000001
120050,2013,100,1580230.4399999997
120050,2014,88,1431980.96
120050,2015,184,2916552.08
120050,2016,92,1160767.1599999997
120050,2017,92,1574783.0400000005
120050,2018,52,582522.9600000001
120050,2019,60,1012352.56
120050,2020,32,408757.32
120050,2021,8,38043.96000000001
120050,2022,4,0.0
120050,2023,4,3340.0
120050,2024,4,0.0
120060,2009,20,113032.0
120060,2010,28,414420.0
120060,2011,68,379824.0
120060,2012,92,1809898.72
120060,2013,120,2433552.48
120060,2014,28,381690.2400000001
120060,2015,24,398474.92
120060,2016,8,92791.96
120060,2017,8,84428.76000000001
120060,2018,4,20074.44
120060,2023,8,81032.4
120060,2024,8,4238.32
120070,2013,8,191867.36
120070,2014,4,15474.92
120080,2011,4,0.0
120080,2012,4,52932.16
130002,2011,8,0.0
130002,2012,8,30740.88
130002,2025,4,109078.76
130030,2013,4,135839.96000000002
130030,2014,32,618341.36
130030,2015,24,481319.8000000001
130030,2016,20,273056.68
130030,2017,12,89810.4
130030,2018,12,169261.68
130030,2019,4,0.0
130030,2024,4,0.0
130060,2010,4,35940.0
130060,2012,8,0.0
130060,2013,4,17789.84
130060,2014,4,18176.44
130060,2015,4,18176.44
130070,2017,4,0.0
130080,2013,16,162382.68
130080,2014,56,689211.7599999999
130080,2015,164,2436139.639999999
130080,2016,108,1399189.5599999998
130080,2017,44,685504.2400000001
130080,2018,16,393497.16
130110,2009,4,0.0
130110,2010,4,34420.0
130110,2012,8,48017.92
130110,2014,20,112945.16
130110,2015,24,102834.8
130110,2016,20,37996.44
130110,2017,4,18651.28
130110,2018,4,21528.08
130110,2019,4,22087.96
130110,2020,4,0.0
130120,2011,4,0.0
130120,2012,24,250412.80000000005
130120,2013,40,555775.68
130120,2014,92,986821.12
130120,2015,24,402307.76
130120,2016,20,50087.92
130120,2017,16,54838.63999999999
130120,2018,12,200410.0
130120,2022,4,60262.84
130120,2024,16,78639.0
130165,2010,8,124256.0
130165,2011,4,32000.0
130165,2013,24,190616.48
130165,2014,20,139409.04
130165,2015,16,179170.68
130165,2017,4,79283.2
130165,2024,4,0.0
130170,2009,4,52140.0
130170,2013,4,47368.16
130170,2014,8,0.0
130170,2015,12,111008.0
130170,2016,16,63999.96
130170,2017,24,0.0
130170,2018,8,0.0
130170,2020,4,0.0
130170,2022,4,0.0
130170,2023,4,0.0
130170,2024,12,0.0
130170,2025,4,60619.12
130185,2013,300,4686387.080000002
130185,2014,224,2741758.68
130185,2015,424,4420903.399999997
130185,2016,148,1313961.4400000002
130185,2017,236,962794.0799999998
130185,2018,432,2668319.840000001
130185,2019,448,3120342.88
130185,2020,512,6255330.519999999
130185,2021,752,6948170.239999999
130185,2022,424,4841098.079999999
130185,2023,376,4137729.520000001
130185,2024,348,382873.96
130185,2025,128,69998.12
130190,2009,56,360908.0
130190,2010,64,612712.0
130190,2011,56,88000.0
130190,2012,80,790631.6400000001
130190,2013,152,1892963.88
130190,2014,116,1144254.12
130190,2015,76,431190.56000000006
130190,2016,48,377333.84
130190,2017,40,288991.28
130190,2018,20,76000.0
130190,2020,8,27489.92
130190,2022,4,0.0
130190,2023,16,165174.0
130190,2024,32,1316.0
130190,2025,8,55707.92
130220,2011,4,0.0
130240,2014,8,82170.31999999999
130240,2015,60,219797.88
130240,2016,52,104754.52000000002
130240,2017,4,47801.04
130240,2018,4,106868.0
130240,2019,4,0.0
130250,2009,76,699956.0
130250,2010,56,936248.0
130250,2011,68,253820.0
130250,2012,80,1100632.52
130250,2013,156,1566381.5199999996
130250,2014,156,1543286.9199999997
130250,2015,88,354058.96
130250,2016,92,654645.28
130250,2017,60,449334.32000000007
130250,2018,84,723120.1599999999
130250,2019,52,446621.32
130250,2020,4,87530.96
130250,2021,4,83011.95999999999
130250,2022,12,9075.92
130250,2023,32,0.0
130250,2024,44,1556.0
130250,2025,4,0.0
130260,2009,1544,9934712.0
130260,2010,5628,88150163.0
130260,2011,6116,39263589.16
130260,2012,5740,82139538.39999999
130260,2013,6276,86556976.35999995
130260,2014,5116,37211800.88
130260,2015,4076,22741561.600000005
130260,2016,4380,24813099.92000001
130260,2017,4112,22303400.24
130260,2018,8348,160239393.67999998
130260,2019,9572,172505467.08000022
130260,2020,9536,171155016.28000018
130260,2021,10620,230776645.48
130260,2022,8508,144859338.75999996
130260,2023,13796,275398540.68
130260,2024,15480,320646397.79999995
130260,2025,5636,131114630.4
130270,2014,24,42374.48
130270,2015,12,104983.08
130270,2016,16,24546.36
130270,2020,4,0.0
130270,2023,4,0.0
130270,2024,4,0.0
130290,2011,12,104712.0
130290,2013,4,0.0
130290,2014,8,71608.0
130290,2015,4,0.0
130290,2016,4,0.0
130290,2018,4,0.0
130310,2012,4,77548.16
130310,2017,32,373506.28
130310,2018,8,94908.0
130320,2018,4,57532.32
130340,2009,88,719344.0
130340,2010,52,666996.0
130340,2011,1192,17360272.0
130340,2012,372,9001298.68
130340,2013,616,16483040.760000002
130340,2014,292,5944705.28
130340,2015,168,3835074.0
130340,2016,252,4522493.88
130340,2017,164,2967678.72
130340,2018,268,4207564.279999999
130340,2019,116,1381704.0
130340,2020,120,2294516.2800000003
130340,2021,44,754734.44
130340,2022,20,115046.08
130340,2023,40,102677.2
130340,2024,28,0.0
130340,2025,8,146775.52
130353,2009,4,48140.0
130353,2013,24,125005.4
130353,2014,36,76823.56
130353,2015,20,0.0
130353,2016,24,0.0
130353,2017,16,112330.47999999998
130353,2018,8,0.0
130353,2019,8,0.0
130353,2021,4,97556.32
130353,2023,4,0.0
130356,2009,4,21868.0
130356,2010,12,71964.0
130356,2013,16,0.0
130356,2014,28,278024.68
130356,2015,8,0.0
130356,2016,20,183495.12
130356,2017,12,295127.16000000003
130356,2018,24,82311.96
130356,2019,8,172499.91999999998
130356,2020,12,48500.16
130356,2021,24,191210.48
130356,2022,24,0.0
130356,2023,24,0.0
130356,2024,12,0.0
130356,2025,4,0.0
130380,2016,4,0.0
130390,2015,8,29250.48
130390,2016,12,35296.52
130395,2020,4,107415.96
130395,2023,4,0.0
130395,2024,4,0.0
130406,2009,20,140544.0
130406,2010,24,212172.0
130406,2012,12,31404.96
130406,2013,44,110495.8
130406,2014,156,642905.96
130406,2015,28,91416.63999999998
130406,2016,16,32428.64
130406,2019,4,0.0
130406,2023,4,0.0
130410,2011,4,0.0
130420,2010,4,0.0
130420,2011,76,16000.0
130420,2012,60,409935.92
130420,2013,16,80903.95999999999
130420,2014,44,472540.4
130420,2015,56,115156.28
130420,2016,36,91638.84
130420,2017,28,270715.6
130420,2018,16,0.0
130420,2019,32,47828.4
130420,2020,4,0.0
130420,2021,4,0.0
130420,2022,12,14764.2
130420,2023,24,13960.0
130420,2024,40,185101.52
130420,2025,8,0.0
130426,2011,4,0.0
130430,2011,4,0.0
140010,2009,700,8110059.8
140010,2010,1324,20070244.0
140010,2011,844,5682298.4
140010,2012,652,9858595.720000004
140010,2013,852,12260581.759999998
140010,2014,800,11272697.28
140010,2015,1416,17910132.36
140010,2016,1480,17376519.6
140010,2017,1588,35512580.72000001
140010,2018,2044,56650023.480000034
140010,2019,1688,42949047.08000006
140010,2020,1560,40742739.64000002
140010,2021,1452,42405230.24
140010,2022,1264,25331566.84
140010,2023,1376,22984159.08
140010,2024,1556,41479999.63999999
140010,2025,528,15210307.08
140015,2023,4,0.0
140017,2009,8,48140.0
140017,2010,8,80280.0
140017,2011,8,0.0
140017,2012,4,88932.16
140017,2013,4,77563.95999999999
140017,2014,8,71159.96
140017,2015,20,320855.88
140017,2016,116,1394409.2799999998
140017,2017,68,1376994.7999999998
140017,2018,116,1936059.8
140017,2019,56,926955.76
140017,2020,72,1394238.28
140017,2021,44,700564.4
140017,2022,112,1831276.96
140017,2023,116,1301995.7200000002
140017,2024,160,2296704.4400000004
140017,2025,68,1386338.4
140020,2009,4,13988.0
140028,2009,4,34012.0
140028,2010,4,39276.0
140028,2013,4,49670.0
140028,2015,4,49711.84
140030,2009,20,193652.0
140030,2010,24,195976.0
140030,2011,20,8000.0
140030,2012,8,39296.32
140030,2013,4,45010.8
140030,2014,8,63999.96
140030,2015,4,46571.16
140030,2016,4,0.0
140030,2021,4,113158.88
140030,2022,4,40901.16
140030,2025,4,60727.44
140047,2013,20,419856.72
140047,2014,28,441699.88000000006
140047,2015,64,1416167.08
140047,2016,64,1158039.36
140047,2017,12,257540.56
140047,2018,16,507679.84
140047,2019,8,115623.6
140047,2021,16,347207.72000000003
140047,2022,8,93584.24
140047,2024,12,97621.36
140047,2025,8,220335.2
140060,2010,4,40140.0
140060,2015,4,63209.880000000005
140060,2016,8,0.0
150010,2009,36,239528.0
150010,2010,64,770908.0
150010,2011,24,203684.0
150010,2012,16,82358.56000000001
150010,2013,180,3540752.76
150010,2014,248,5729169.84
150010,2015,156,3679266.04
150010,2016,32,368581.16
150010,2017,56,394729.12
150010,2018,56,432130.4
150010,2019,84,650980.24
150010,2020,60,308284.24
150010,2021,12,4448.0
150010,2022,4,0.0
150010,2023,16,98086.2
150010,2024,4,0.0
150010,2025,8,144825.76
150013,2011,4,0.0
150013,2017,12,323846.43999999994
150013,2018,12,269915.19999999995
150013,2019,4,79896.48
150013,2022,12,329823.4
150013,2023,4,62943.48
150034,2013,4,0.0
150034,2014,4,0.0
150034,2015,4,63999.96
150040,2011,8,0.0
150060,2009,484,6109732.0
150060,2010,512,9074264.0
150060,2011,368,2803720.8
150060,2012,96,1663642.76
150060,2013,72,1165495.6
150060,2014,220,4100937.559999999
150060,2015,264,2960786.12
150060,2016,244,853916.28
150060,2017,264,1226538.68
150060,2018,204,1821706.48
150060,2019,244,2035963.32
150060,2020,88,1063977.16
150060,2021,48,381146.2
150060,2022,60,79622.20000000001
150060,2023,96,348413.64
150060,2024,168,446995.92
150060,2025,28,124938.84
150070,2012,4,47150.32
150070,2014,4,63999.96
150080,2009,2108,22634222.56
150080,2010,4296,60255419.6
150080,2011,4736,30006582.56
150080,2012,4656,75443001.64000002
150080,2013,7744,148006773.64000008
150080,2014,7812,143842162.7999999
