cod_ibge,ano,qtd_uh_financiadas,vlr_subsidio
110001,2009,8,113624.0
110001,2010,44,518480.0
110001,2011,36,141744.0
110001,2012,104,2130577.6
110001,2013,132,2761290.76
110001,2014,168,3699850.759999999
110001,2015,172,3266013.24
110001,2016,100,1208302.76
110001,2017,60,972233.24
110001,2018,68,1086215.04
110001,2019,36,558528.56
110001,2020,76,1536872.8799999997
110001,2021,8,294020.72
110001,2022,32,547381.16
110001,2023,96,1880825.36
110001,2024,140,2081538.96
110001,2025,36,841861.2799999999
110002,2009,256,3078053.2
110002,2010,376,5551724.0
110002,2011,460,2146734.4
110002,2012,432,7331491.8
110002,2013,692,13496269.88
110002,2014,696,15506276.279999996
110002,2015,932,21795940.040000003
110002,2016,764,14727965.880000005
110002,2017,872,18123856.28
110002,2018,764,18781328.4
110002,2019,536,11037489.28
110002,2020,592,13539900.679999996
110002,2021,360,8914537.84
110002,2022,436,5980532.2
110002,2023,532,8355632.800000001
110002,2024,912,16175629.6
110002,2025,328,7022127.16
110003,2024,4,36754.2
110004,2009,460,6040891.4
110004,2010,788,12762648.0
110004,2011,500,3014522.4
110004,2012,488,9117123.720000004
110004,2013,644,12012124.000000002
110004,2014,1120,20887627.16
110004,2015,736,13664245.840000002
110004,2016,488,6085002.999999999
110004,2017,576,6554173.479999999
110004,2018,516,6600651.920000001
110004,2019,304,5311035.44
110004,2020,324,6631196.72
110004,2021,416,8695099.24
110004,2022,432,7068973.92
110004,2023,772,11132710.72
110004,2024,1408,27208488.84
110004,2025,444,8156801.040000001
110005,2009,8,105048.0
110005,2010,4,67956.0
110005,2011,4,32000.0
110005,2012,24,395528.76
110005,2013,76,1105170.5599999998
110005,2014,120,2020972.16
110005,2015,168,3270339.8
110005,2016,104,1381914.5999999996
110005,2017,84,1180866.7599999998
110005,2018,52,821330.84
110005,2019,48,460450.6399999999
110005,2020,80,806153.76
110005,2021,44,768332.96
110005,2022,48,365769.8
110005,2023,56,299707.08
110005,2024,136,1592941.96
110005,2025,44,932302.28
110006,2009,20,228072.0
110006,2010,16,112280.0
110006,2011,20,72464.0
110006,2012,56,981765.32
110006,2013,80,1292795.6
110006,2014,40,556743.7999999999
110006,2015,44,482843.9600000001
110006,2016,68,795910.3999999999
110006,2017,36,464611.1199999999
110006,2018,16,129228.68
110006,2019,12,261964.0
110006,2020,28,422703.84
110006,2021,12,191932.2
110006,2022,20,200270.56
110006,2023,32,148634.44
110006,2024,72,1113289.44
110006,2025,20,124237.92
110007,2025,4,0.0
110008,2014,4,97807.96
110008,2025,4,1024.0
110009,2009,36,305324.0
110009,2010,172,2799520.0
110009,2011,320,2897688.0
110009,2012,224,4457404.800000001
110009,2013,276,6192050.6
110009,2014,384,8466087.879999999
110009,2015,284,6697164.279999998
110009,2016,160,2899992.9599999995
110009,2017,96,1735515.4
110009,2018,56,1073311.2
110009,2019,76,1185943.24
110009,2020,96,1716427.84
110009,2021,40,739823.7200000001
110009,2022,76,973619.72
110009,2023,112,1454053.84
110009,2024,120,1347880.56
110009,2025,16,747019.84
110010,2009,28,183020.0
110010,2010,8,80280.0
110010,2011,16,0.0
110010,2012,52,914917.6
110010,2013,68,1354706.6799999997
110010,2014,40,501383.4
110010,2015,140,2605526.76
110010,2016,172,2374949.72
110010,2017,156,2617422.24
110010,2018,180,3738873.32
110010,2019,136,2526208.48
110010,2020,192,3465968.159999999
