Amazônia Inter - (SEMIURBANO) | 1324 | Setor Grafico | Dias úteis | Moovit, última atualização 20 de setembro de 2026
Estação	Partida #1	Partida #2	Partida #3
W7 Norte | CLNW 09/10	06:07	06:48	07:33
W7 Norte | SQNW 109/110	06:07	06:48	07:33
W7 Norte | SQNW 107/108	06:09	06:49	07:34
EPAA | SQNW 302 / SLU	06:13	06:54	07:39
EPAA | Posto de Combustiveis	06:14	06:55	07:40
EPAA | DER-DF	06:15	06:55	07:40
EPAA - Sargento - Brasília DF 70297-400 Brasil	06:16	06:56	07:41
Via N1 | Memorial JK / Praça do Cruzeiro	06:16	06:57	07:42
Via N1 | Setor Militar Urbano / SQSW 500	06:18	06:58	07:43
N1 APOS A SAIDA DO QG EM FRENTE A CATEDRAL DOS MILITARES PLANO PILOTO DISTRITO FEDERAL	06:18	06:59	07:44
Via S1 | Catedral Militar Rainha da Paz	06:19	07:00	07:45
Via S1 | INMET / SQSW 500	06:20	07:00	07:45
Via S1 | Praça do Cruzeiro / Memórial JK	06:21	07:01	07:46
Via S1 | CLDF / TRE-DF / Clube FM	06:22	07:02	07:47
EPIG | CLDF / TJDFT / Clube FM	06:22	07:03	07:48
EPIG | Avidus School / Banco do Brasil / AGU	06:23	07:03	07:48
EPIG | Pavilhão Parque da Cidade / Oscarito	06:24	07:04	07:49
EPIG | SQSW 101 / Praça das Fontes	06:25	07:06	07:51
EPIG | SQSW 102 / Estacionamento 4	06:26	07:06	07:51
EPIG | SQSW 103/104 (Estacionamento 5)	06:27	07:07	07:52
EPIG | CLSW 105/106 (IML / Polícia Civil)	06:28	07:08	07:53
EPIG | Octogonal	06:30	07:10	07:55
436223694	06:33	07:13	07:58
EPIA | NOVACAP / Polícia Rodoviária Federal	06:33	07:13	07:58
EPIA - Guará Brasília - DF 70297-400 Brasil	06:34	07:14	07:59
# table ends here on the page; the PDF continues to TAS | Estação Metrô / DESEMBARQUE (ParkShopping, SMAS)
