
2010-01-01;4320008;8.698;1314;35.434;0.5080;214.594;0.1604;0.72698;0.027;333.160935;57.652703;283.868947;14.904865;1
2010-01-01;4310801;1.869;199;0.940;0.4973;172.811;0.1888;0.78173;0.005;50.772538;8.731269;41.633777;5.260541;0
2010-01-01;4314902;58.086;14108;1948.757;0.4856;269.147;0.2129;0.80575;0.138;2957.922640;618.998734;2267.188841;85.567190;3
2010-01-01;4307609;2.844;429;117.751;0.4914;272.462;0.2027;0.75819;0.274;80.676374;18.822686;52.545925;7.890811;0
2010-01-01;4312476;0.980;58;0.000;0.5342;143.320;0.3095;0.74317;0.000;0.564014;2.544792;0.574727;2.630270;0
2010-01-01;4319901;7.409;758;141.792;0.4886;220.777;0.1569;0.70835;0.187;135.137296;33.257800;102.203531;11.397838;0
2010-01-01;4313375;3.921;230;15.144;0.4681;193.145;0.1830;0.70654;0.066;24.530444;10.091417;18.762573;5.260541;0
2010-01-01;4303905;4.536;602;58.295;0.4842;188.482;0.1822;0.74635;0.097;118.521052;26.413187;99.215158;9.644324;1
2010-01-01;4304689;4.340;118;9.953;0.4826;106.563;0.1711;0.65593;0.084;12.265097;5.177336;9.005275;3.507027;0
2010-01-01;4314803;3.730;314;49.282;0.4534;206.910;0.1848;0.70251;0.157;52.068461;13.776978;37.079525;7.014054;1
2010-01-01;4323002;47.828;2388;343.741;0.4960;212.620;0.1366;0.71799;0.144;307.410531;104.775232;235.722619;23.749651;2
2010-01-01;4309308;19.634;959;99.898;0.5032;243.084;0.1680;0.72866;0.104;123.617142;42.076821;101.637744;13.151351;1
2010-01-01;4300604;14.405;1961;186.551;0.4920;180.956;0.1222;0.69704;0.095;195.164771;86.040297;156.588129;23.749651;0
2010-01-01;4313409;12.202;2394;525.520;0.5058;224.947;0.2199;0.74707;0.220;462.227669;105.038487;342.380506;23.749651;1
2010-01-01;4311627;0.761;51;0.000;0.4106;451.883;0.1389;0.71248;0.000;10.996403;2.237662;11.025797;2.630270;0
2010-01-01;4300877;0.946;47;0.000;0.5938;76.715;0.1290;0.67932;0.000;7.442307;2.062159;6.031360;2.630270;1
2010-01-01;4306767;10.538;343;11.843;0.5240;171.836;0.2252;0.71537;0.035;12.313067;15.049374;8.793876;7.014054;1
2010-01-01;4309209;22.440;2557;471.003;0.4966;218.298;0.1565;0.73578;0.184;428.299095;112.190230;327.433644;23.749651;3
2010-01-01;4304606;16.961;3232;739.771;0.4961;243.203;0.1786;0.75129;0.229;650.085543;141.806344;504.280041;23.749651;6
2010-01-01;4306403;2.140;274;50.879;0.4758;334.163;0.2111;0.74362;0.186;35.491393;12.021949;23.391207;6.137297;0
2010-01-01;4318705;12.460;2145;716.939;0.4985;224.195;0.1722;0.73651;0.334;432.620040;94.113431;297.887640;23.749651;1
2010-01-01;4307708;3.750;805;272.562;0.5089;179.538;0.1869;0.75469;0.339;119.430481;35.319959;67.965670;11.397838;0
