month,class_range,count
2010-01-01,60-64,60
2010-01-01,75-79,3
2010-01-01,45-49,38
2010-01-01,70-74,7
2010-01-01,40-44,74
2010-01-01,35-39,74
2010-01-01,65-69,4
2010-01-01,25-29,73
2010-01-01,30-34,108
2010-01-01,20-24,98
2010-01-01,15-19,27
2010-01-01,50-54,52
2010-01-01,55-59,62
2010-02-01,55-59,64
2010-02-01,40-44,81
2010-02-01,20-24,98
2010-02-01,65-69,5
2010-02-01,35-39,72
2010-02-01,50-54,54
2010-02-01,70-74,8
2010-02-01,75-79,3
2010-02-01,45-49,37
2010-02-01,25-29,71
2010-02-01,60-64,64
2010-02-01,30-34,106
2010-02-01,15-19,23
2010-03-01,50-54,51
2010-03-01,45-49,40
2010-03-01,20-24,95
2010-03-01,15-19,20
2010-03-01,55-59,69
2010-03-01,25-29,73
2010-03-01,30-34,108
2010-03-01,70-74,8
2010-03-01,75-79,3
2010-03-01,35-39,76
2010-03-01,65-69,8
2010-03-01,40-44,80
2010-03-01,60-64,60
2010-04-01,50-54,51
2010-04-01,45-49,41
2010-04-01,25-29,82
2010-04-01,55-59,68
2010-04-01,35-39,77
2010-04-01,15-19,19
2010-04-01,65-69,7
2010-04-01,60-64,63
2010-04-01,75-79,4
2010-04-01,30-34,107
2010-04-01,40-44,82
2010-04-01,20-24,89
2010-04-01,70-74,9
2010-05-01,35-39,81
2010-05-01,40-44,82
2010-05-01,55-59,65
2010-05-01,15-19,18
2010-05-01,70-74,9
2010-05-01,50-54,50
2010-05-01,45-49,43
2010-05-01,25-29,82
2010-05-01,60-64,66
2010-05-01,30-34,108
2010-05-01,75-79,4
2010-05-01,20-24,90
2010-05-01,65-69,8
2010-06-01,65-69,9
2010-06-01,15-19,15
2010-06-01,25-29,82
2010-06-01,30-34,111
2010-06-01,20-24,88
2010-06-01,55-59,68
2010-06-01,35-39,83
2010-06-01,50-54,49
2010-06-01,60-64,67
2010-06-01,40-44,82
2010-06-01,70-74,10
2010-06-01,45-49,43
2010-06-01,75-79,3
2010-07-01,50-54,50
2010-07-01,25-29,83
2010-07-01,15-19,15
2010-07-01,60-64,67
2010-07-01,55-59,69
2010-07-01,65-69,11
2010-07-01,45-49,45
2010-07-01,20-24,86
2010-07-01,35-39,82
2010-07-01,75-79,4
2010-07-01,70-74,10
2010-07-01,30-34,114
2010-07-01,40-44,80
2010-08-01,60-64,64
2010-08-01,25-29,86
2010-08-01,30-34,112
2010-08-01,75-79,4
2010-08-01,40-44,82
2010-08-01,20-24,85
2010-08-01,55-59,70
2010-08-01,45-49,45
2010-08-01,50-54,48
2010-08-01,35-39,86
2010-08-01,15-19,14
2010-08-01,65-69,14
2010-08-01,70-74,10
2010-09-01,65-69,15
2010-09-01,60-64,64
2010-09-01,75-79,4
2010-09-01,55-59,70
2010-09-01,35-39,85
2010-09-01,40-44,83
2010-09-01,70-74,10
2010-09-01,20-24,83
2010-09-01,25-29,87
2010-09-01,50-54,49
2010-09-01,45-49,45
2010-09-01,15-19,17
2010-09-01,30-34,113
2010-10-01,50-54,49
2010-10-01,20-24,82
2010-10-01,60-64,62
2010-10-01,75-79,4
2010-10-01,55-59,71
2010-10-01,40-44,83
2010-10-01,45-49,45
2010-10-01,70-74,10
2010-10-01,15-19,17
2010-10-01,30-34,114
2010-10-01,25-29,87
2010-10-01,35-39,85
2010-10-01,65-69,17
2010-11-01,40-44,84
2010-11-01,55-59,70
2010-11-01,70-74,10
2010-11-01,45-49,47
2010-11-01,25-29,88
2010-11-01,15-19,17
2010-11-01,50-54,49
2010-11-01,60-64,62
2010-11-01,35-39,82
2010-11-01,75-79,4
2010-11-01,30-34,117
2010-11-01,20-24,79
2010-11-01,65-69,17
2010-12-01,75-79,4
2010-12-01,15-19,16
2010-12-01,65-69,18
2010-12-01,55-59,69
2010-12-01,70-74,10
2010-12-01,30-34,116
2010-12-01,50-54,51
2010-12-01,35-39,86
2010-12-01,20-24,80
2010-12-01,45-49,49
2010-12-01,60-64,62
2010-12-01,25-29,86
2010-12-01,40-44,79
2011-01-01,45-49,55
2011-01-01,20-24,78
2011-01-01,70-74,10
2011-01-01,60-64,63
2011-01-01,25-29,90
2011-01-01,55-59,65
2011-01-01,40-44,78
2011-01-01,30-34,116
2011-01-01,65-69,18
2011-01-01,50-54,52
2011-01-01,15-19,15
2011-01-01,35-39,82
2011-01-01,75-79,4
2011-02-01,65-69,18
2011-02-01,30-34,117
2011-02-01,25-29,90
2011-02-01,45-49,54
2011-02-01,15-19,13
2011-02-01,55-59,65
2011-02-01,35-39,82
2011-02-01,70-74,9
2011-02-01,60-64,61
2011-02-01,20-24,77
2011-02-01,75-79,5
2011-02-01,50-54,53
2011-02-01,40-44,82
2011-03-01,70-74,10
2011-03-01,35-39,82
2011-03-01,75-79,5
2011-03-01,60-64,62
2011-03-01,50-54,56
2011-03-01,30-34,115
2011-03-01,65-69,18
2011-03-01,40-44,81
2011-03-01,25-29,91
2011-03-01,45-49,53
2011-03-01,15-19,13
2011-03-01,20-24,77
2011-03-01,55-59,64
2011-04-01,45-49,55
2011-04-01,65-69,17
2011-04-01,30-34,115
2011-04-01,50-54,53
2011-04-01,55-59,65
2011-04-01,60-64,63
2011-04-01,70-74,10
2011-04-01,35-39,85
2011-04-01,40-44,81
2011-04-01,75-79,3
2011-04-01,25-29,91
2011-04-01,20-24,78
2011-04-01,15-19,12
2011-05-01,35-39,85
2011-05-01,70-74,10
2011-05-01,55-59,68
2011-05-01,75-79,3
2011-05-01,60-64,62
2011-05-01,30-34,115
2011-05-01,50-54,50
2011-05-01,20-24,79
2011-05-01,40-44,80
2011-05-01,65-69,18
2011-05-01,25-29,90
2011-05-01,15-19,12
2011-05-01,45-49,58
2011-06-01,15-19,11
2011-06-01,60-64,59
2011-06-01,45-49,57
2011-06-01,70-74,9
2011-06-01,40-44,80
2011-06-01,75-79,4
2011-06-01,35-39,85
2011-06-01,50-54,50
2011-06-01,20-24,74
2011-06-01,65-69,21
2011-06-01,55-59,69
2011-06-01,25-29,93
2011-06-01,30-34,118
2011-07-01,65-69,22
2011-07-01,40-44,82
2011-07-01,20-24,72
2011-07-01,70-74,9
2011-07-01,55-59,65
2011-07-01,25-29,93
2011-07-01,75-79,4
2011-07-01,45-49,59
2011-07-01,60-64,62
2011-07-01,50-54,49
2011-07-01,35-39,83
2011-07-01,30-34,119
2011-07-01,15-19,11
2011-08-01,65-69,22
2011-08-01,35-39,83
2011-08-01,40-44,81
2011-08-01,60-64,62
2011-08-01,70-74,9
2011-08-01,45-49,58
2011-08-01,20-24,72
2011-08-01,30-34,122
2011-08-01,25-29,92
2011-08-01,15-19,11
2011-08-01,50-54,50
2011-08-01,55-59,66
2011-08-01,75-79,4
2011-09-01,20-24,71
2011-09-01,50-54,53
2011-09-01,45-49,58
2011-09-01,65-69,25
2011-09-01,75-79,4
2011-09-01,55-59,65
2011-09-01,35-39,83
2011-09-01,25-29,95
2011-09-01,60-64,60
2011-09-01,30-34,120
2011-09-01,70-74,10
2011-09-01,15-19,10
2011-09-01,40-44,80
2011-10-01,20-24,70
2011-10-01,65-69,27
2011-10-01,75-79,5
2011-10-01,50-54,52
2011-10-01,40-44,78
2011-10-01,70-74,9
2011-10-01,45-49,60
2011-10-01,25-29,91
2011-10-01,55-59,66
2011-10-01,35-39,84
2011-10-01,15-19,10
2011-10-01,30-34,123
2011-10-01,60-64,61
2011-11-01,60-64,65
2011-11-01,20-24,71
2011-11-01,75-79,5
2011-11-01,65-69,27
2011-11-01,50-54,51
2011-11-01,70-74,9
2011-11-01,40-44,85
2011-11-01,15-19,7
2011-11-01,25-29,91
2011-11-01,45-49,61
2011-11-01,55-59,63
2011-11-01,30-34,119
2011-11-01,35-39,82
2011-12-01,50-54,52
2011-12-01,25-29,90
2011-12-01,55-59,61
2011-12-01,30-34,119
2011-12-01,75-79,5
2011-12-01,45-49,61
2011-12-01,20-24,74
2011-12-01,15-19,4
2011-12-01,40-44,85
2011-12-01,70-74,9
2011-12-01,60-64,64
2011-12-01,35-39,84
2011-12-01,65-69,28
