"code_weighting","estabs10","estabs21"
"1501402005006",475,630
"1501402005005",151,85
"1501402005008",560,600
"1501402005007",368,411
"1501402005009",330,484
"1501402005031",109,205
"1501402005030",279,923
"1501402005033",147,332
"1501402005032",237,455
"1501402005035",178,220
"1501402005034",310,414
"1501402005037",124,124
"1501402005036",276,389
"1501402005039",325,295
"1501402005038",222,253
"1501402005020",327,229
"1501402005022",288,246
"1501402005021",568,484
"1501402005024",193,174
"1501402005023",177,206
"1501402005026",720,704
"1501402005025",280,307
"1501402005028",77,179
"1501402005027",241,180
"1501402005029",259,367
"1504703003001",162,133
"1504703003002",583,507
"1506187003001",649,521
"1501402005040",297,311
"1506187003002",380,280
"1501402005042",116,191
"1501402005041",468,576
"1501402005044",99,129
"1501402005043",303,280
"1505502003001",157,398
"1505502003003",827,978
"1505502003002",447,456
"1505502003004",794,965
"1507300003001",NA,6
"1507300003003",123,103
"1507300003002",NA,1
"1507300003004",301,296
"1504802003001",397,522
"1504802003002",180,183
"1506138003001",209,374
"1506138003003",1064,1303
"1506138003002",816,1128
"1501709003002",407,313
"1501709003001",63,93
"1501709003004",422,425
"1501709003003",132,222
"1502939003002",482,555
"1502939003001",205,309
"1506500003002",397,476
"1506500003001",330,435
"1500602003001",282,588
"1500602003003",237,370
"1500602003005",1440,1647
"1500602003004",494,734
"1506708003002",423,551
"1506708003001",302,296
"1508407003001",453,596
"1505106003001",440,333
"1505106003002",190,195
"1501782003001",478,536
"1501782003002",23,8
"1501303003002",588,711
"1501303003001",469,557
"1501303003003",253,719
"1503606003002",764,1207
"1503606003001",207,420
"1503606003004",445,620
"1503606003003",1093,1170
"1504208005001",2224,3600
"1504208005003",100,49
"1504208005002",2127,2810
"1504208005004",252,141
"1508209003002",199,240
"1508209003001",144,135
"1507607003001",511,528
"1507607003002",154,122
"1502301003001",272,292
"1502301003002",199,206
"1503457003002",115,145
"1503457003001",98,117
"1504422003001",223,259
"1504422003003",271,395
"1504422003002",325,534
"1502202003001",448,581
"1502202003002",547,683
"1502707003001",472,548
"1502707003002",496,421
"1501501002001",399,565
"1501501002002",262,422
"1505304003001",386,273
"1507755001001",101,105
"1505304003002",467,476
"1503309002001",414,511
"1503309002002",NA,5
"1508308003001",6,10
"1500800005001",267,404
"1500800005003",566,769
"1500800005002",547,610
"1500800005005",283,318
"1500800005004",1145,1292
"1500800005007",414,462
"1500800005006",1020,1162
"1500800005009",312,473
"1500800005008",632,777
"1500800005010",158,218
"1500800005012",132,135
"1500800005011",237,357
"1500800005013",110,219
"1506807005002",2782,3208
"1506807005001",910,1057
"1506807005004",676,694
"1506807005003",771,718
"1506807005006",151,328
"1506807005005",485,650
"1506807005008",32,102
"1506807005007",218,586
"1506807005009",1,28
"1500107003001",204,225
"1500107003003",10,6
"1500107003002",50,59
"1500107003005",706,806
"1500107003004",308,421
"1506807005011",22,2
"1506807005010",1,219
"1500404003001",310,267
"1500404003002",183,190
"1508084003001",259,394
"1508084003002",488,556
"1508100003002",477,504
"1508100003001",171,158
"1508100003004",759,752
"1508100003003",259,231
"1505809003001",198,273
"1505809003002",164,254
"1503903003002",39,35
"1503903003001",436,373
"1502400003001",213,225
"1502400003003",29,29
"1502400003002",620,696
"1502400003005",394,447
"1502400003004",204,254
"1502400003007",1683,2101
"1502400003006",316,452
"1502400003008",288,459
"1502103003001",63,96
"1502103003003",602,728
"1502103003002",42,41
"1502103003004",14,20
"1507102001001",90,107
"1505536003002",159,332
"1505536003001",562,621
"1505536003004",147,178
"1505536003003",175,705
"1505536003006",732,1096
"1505536003005",921,1268
"1505536003007",521,1703
"1508001003002",513,807
"1508001003001",207,330
"1507953003001",279,506
"1507953003002",415,597
"1500909003001",108,144
"1500909003002",98,89
"1503705003002",204,274
"1503705003001",187,265
"1503804003002",340,427
"1503804003001",219,274
"1506195003002",207,192
"1506195003001",101,161
"1500206003001",10,24
"1500206003002",249,313
"1500131001001",90,97
"1500305001001",147,77
"1500347001001",276,357
"1500503001001",665,492
"1500701001001",110,137
"1500859001001",297,394
"1500958001001",112,170
"1501006001001",96,90
"1501105001001",64,70
"1501204001001",181,225
"1501253001001",113,132
"1501451001001",123,202
"1501576001001",260,258
"1501600001001",52,81
"1501725001001",175,278
"1501758001001",106,103
"1501907001001",86,125
"1501956001001",89,121
"1502004001001",51,138
"1502152001001",486,1676
"1502509001001",66,60
"1502608001001",41,40
"1502756001001",196,274
"1502764001001",154,233
"1502772001001",357,399
"1502806001001",67,98
"1502855001001",34,76
"1502905001001",204,251
"1502954003001",368,454
"1503002001001",58,61
"1503044001001",213,249
"1503077001001",105,158
"1503093001001",441,524
"1503101001001",173,186
"1503408001001",69,91
"1503507001001",166,209
"1503754001001",83,268
"1504000001001",71,80
"1504059001001",415,488
"1504109001001",34,36
"1504307001001",101,111
"1504406001001",190,209
"1504455001001",277,286
"1504505001001",47,73
"1504604001001",245,168
"1504901001001",100,133
"1504950001001",82,145
"1504976001001",132,152
"1505007001001",94,134
"1505031001001",871,1452
"1505205001001",146,130
"1505403001001",186,161
"1505437001001",507,533
"1505494001001",83,84
"1505551001001",95,122
"1505601001001",59,65
"1505635001001",187,262
"1505650001001",179,226
"1505700001001",81,101
"1505908001001",186,235
"1506005001001",152,195
"1506104001001",63,74
"1506112001001",41,48
"1506161001001",595,567
"1506203003001",497,713
"1506302001001",175,223
"1506351001001",136,199
"1506401001001",23,50
"1506559001001",130,144
"1506583001001",247,469
"1506609001001",255,365
"1506906001001",18,33
"1507003001001",277,331
"1507151001001",302,346
"1507201001001",163,164
"1507409001001",137,184
"1507458001001",423,509
"1507466001001",24,28
"1507474001001",126,118
"1507508001001",30,36
"1507706001001",132,140
"1507805001001",119,189
"1507904001001",256,301
"1507961001001",56,93
"1507979001001",247,243
"1508035001001",93,125
"1508050001001",170,291
"1508126003001",397,367
"1508308003002",322,312
"1508357001001",140,239
"1508407003002",1161,1549
"1500602003002",87,42
"1600303005011",285,235
"1600303005010",2858,2651
"1600303005013",755,771
"1600303005012",327,259
"1600303005015",177,175
"1600303005014",217,203
"1600303005017",178,208
"1600303005016",151,231
"1600303005019",307,351
"1600303005018",211,139
"1600303005002",295,308
"1600303005001",260,346
"1600303005004",227,301
"1600303005003",442,481
"1600303005006",175,133
"1600303005005",104,95
"1600303005008",459,440
"1600303005007",194,173
"1600303005009",914,788
"1600600003002",677,569
"1600600003001",406,284
"1600600003003",593,487
"1600253001001",34,33
"1600055001001",50,42
"1600105001001",100,58
"1600154001001",98,117
"1600204001001",106,101
"1600212001001",36,34
"1600238001001",77,72
"1600279003001",623,412
"1600402001001",136,105
"1600501001001",460,325
"1600535001001",149,202
"1600550001001",15,21
"1600709001001",92,121
"1600808001001",137,148
"1716109003002",1645,1490
"1716109003001",673,715
"1718204003002",1279,1933
"1718204003001",416,488
"1702109003001",253,343
"1702109003003",277,489
"1702109003002",1343,1333
"1702109003005",349,491
"1702109003004",1699,1973
"1702109003007",386,877
"1702109003006",781,982
"1705508003001",566,654
"1705508003002",309,486
"1713601001001",132,212
"1709500003001",224,332
"1709500003003",1850,1830
"1709500003002",650,802
"1709500003004",697,895
"1720655001001",127,140
"1721000005002",613,1006
"1721000005001",987,1768
"1721000005004",1104,2150
"1721000005003",2313,3301
"1721000005006",152,261
"1721000005005",2250,3496
"1721000005008",85,236
"1721000005007",286,398
"1721000005009",558,700
"1721000005010",445,873
"1700251001001",51,84
"1700301001001",69,82
"1700350001001",216,223
"1700400001001",178,226
"1700707001001",529,489
"1701002001001",225,242
"1701051001001",60,51
"1701101001001",92,147
"1701309001001",104,100
"1701903001001",131,122
"1702000001001",422,499
