sector;concurb_name;participation
Agriculture;RONDONOPOLIS;0,06963312078366139
Agriculture;SALVADOR;0,0022679696192374347
Agriculture;SANTA CRUZ DO SUL;0,01775306654961348
Agriculture;SANTA MARIA;0,010724759111855886
Agriculture;SANTAREM;0,0225748502994012
Agriculture;SAO BENTO DO SUL - RIO NEGRINHO;0,020696443297597827
Agriculture;SAO CARLOS;0,03870536311354822
Agriculture;SAO JOAO DEL REI;0,030869402285928424
Agriculture;SAO JOSE DO RIO PRETO;0,018185900314324203
Agriculture;SAO JOSE DOS CAMPOS;0,014687112466570186
Agriculture;SAO LUIS;0,002300873571821169
Agriculture;SAO MATEUS;0,16037643368297225
Agriculture;SAO PAULO;0,0014989440687878145
Agriculture;SAO ROQUE - MAIRINQUE;0,029277044049164057
Agriculture;SERTAOZINHO;0,019149939955395438
Agriculture;SETE LAGOAS;0,02431291523431238
Agriculture;SINOP;0,041389882473173226
Agriculture;SOBRAL;0,0018640830322417324
Agriculture;SOROCABA;0,005152976009717583
Agriculture;TAQUARA - PAROBE - IGREJINHA;0,002324945295404814
Agriculture;TATUI;0,06625479335321688
Agriculture;TEIXEIRA DE FREITAS;0,13503744992161645
Agriculture;TEOFILO OTONI;0,04624178824332395
Agriculture;TERESINA;0,006627356404072574
Agriculture;TERESOPOLIS;0,032389162561576354
Agriculture;TOLEDO;0,029673215818980754
Agriculture;TRAMANDAI - OSORIO;0,00811369000786782
Agriculture;TRES LAGOAS;0,1235428772671245
Agriculture;TRES RIOS - PARAIBA DO SUL;0,035810652275926794
Agriculture;TUBARAO - LAGUNA;0,011014726649182972
Agriculture;UBA;0,01158860453887011
Agriculture;UBERABA;0,05045316111987671
Agriculture;UBERLANDIA;0,02949887906441425
Agriculture;UMUARAMA;0,031824195207996474
Agriculture;VARGINHA;0,03290804628705527
Agriculture;VITORIA;0,0039189906209522625
Agriculture;VITORIA DA CONQUISTA;0,02547702992399412
Agriculture;VITORIA DE SANTO ANTAO;0,024986550301871004
Agriculture;VOLTA REDONDA - BARRA MANSA;0,0058182718494676905
Business;ABAETETUBA;0,015698826398414877
Business;ACAILANDIA;0,03667840375586855
Business;ALAGOINHAS;0,035259643560551474
Business;AMERICANA - SANTA BARBARA D'OESTE;0,10384867101568603
Business;ANAPOLIS;0,04611245693695448
Business;ANGRA DOS REIS;0,08186367390565029
Business;APUCARANA;0,04573134681329077
Business;ARACAJU;0,11596060789503879
Business;ARACATUBA;0,0922801801219486
Business;ARAGUAINA;0,04645486555697823
Business;ARAGUARI;0,029680475661043166
Business;ARAPIRACA;0,02529321392438266
Business;ARAPONGAS;0,0391343018084791
Business;ARARAQUARA;0,0998327383478543
Business;ARARAS;0,048947938961002864
Business;ARARUAMA;0,07509920634920635
Business;ATIBAIA;0,05749596990865126
Business;BACABAL;0,03189555445380929
Business;BAGE;0,03378406148534791
Business;BAIXADA SANTISTA;0,1514518851997749
Business;BARBACENA;0,03970909090909091
Business;BARREIRAS;0,09365387728670876
Business;BARRETOS;0,03598412972227014
Business;BAURU;0,17279339827300183
Business;BELEM;0,11853606101744274
Business;BELO HORIZONTE;0,17965241590337877
Business;BENTO GONCALVES;0,059945418614134695
Business;BIRIGUI;0,031169746714336068
Business;BLUMENAU;0,08969846365512497
Business;BOA VISTA;0,09230109984287958
Business;BOTUCATU;0,06531687330388974
Business;BRAGANCA;0,01461100569259962
Business;BRAGANCA PAULISTA;0,07679189705958349
