"";"areap";"domicilio01_V019";"domicilio01_V020";"domicilio01_V021";"domicilio01_V022";"domicilio01_V023";"domicilio01_V017";"domicilio01_V018";"domicilio01_V119";"domicilio01_V158";"domicilio01_V197";"domicilio01_V026";"domicilio01_V027";"domicilio01_V028";"domicilio01_V029";"domicilio01_V030";"domicilio01_V031";"domicilio01_V032";"domicilio01_V033";"fcu";"DPP0";"DPP1";"DPP2";"DPP3";"DPP4";"DPP5";"reg"
"7322";"3552403005005";435;3;92;1;4;3868;289;2262;0;166;1499;607;102;39;8;0;1;0;0;0;0;2262;166;1499;757;"3"
"7323";"3552403005006";0;1;1;0;0;4166;10;1937;0;588;1229;307;60;38;11;7;0;0;0;0;0;1937;588;1229;423;"3"
"7324";"3552403005007";10;0;5;0;1;5274;15;3847;1;7;1259;150;25;2;0;0;0;0;0;0;0;3848;7;1259;177;"3"
"7325";"3552403005008";9;3;54;0;3;5978;17;4584;1;3;1247;142;14;3;0;0;0;0;0;0;0;4585;3;1247;159;"3"
"7326";"3552403005009";4;6;326;1;1;4544;65;3635;9;168;962;122;10;1;1;2;0;0;2;283;87;3644;168;962;136;"3"
"7327";"3552403005010";11;8;77;3;5;5923;39;4043;80;631;1134;142;19;0;3;0;0;0;2;48;443;4123;631;1134;164;"3"
"7328";"3552403005011";29;9;581;4;2;3728;49;3318;1;4;901;143;15;4;2;0;0;0;0;0;0;3319;4;901;164;"3"
"7329";"3552403005012";20;61;84;3;0;3879;63;2661;22;183;1072;140;11;1;2;1;0;0;1;76;3;2683;183;1072;155;"3"
"7330";"3552403005013";1;0;36;0;2;4258;3;1244;1020;309;1362;333;26;3;0;1;0;0;0;0;0;2264;309;1362;363;"3"
"7331";"3552403005014";7;9;260;1;0;4086;7;3186;225;4;877;61;7;2;0;0;0;0;0;0;0;3411;4;877;70;"3"
"7332";"3552403005015";8;6;170;1;2;4421;242;3236;252;5;1153;175;20;0;1;0;0;0;2;76;121;3488;5;1153;196;"3"
"7333";"3552502005001";1158;488;780;32;23;40375;2375;28394;292;2233;10907;2386;600;165;52;7;3;1;6;139;414;28686;2233;10907;3214;"3"
"7334";"3552502005002";923;552;593;93;18;19449;1086;17170;49;984;3746;556;75;19;2;0;2;0;6;195;436;17219;984;3746;654;"3"
"7335";"3552502005003";2057;233;421;21;12;1612;2400;5133;8;0;1165;200;58;19;6;4;1;1;5;110;143;5141;0;1165;289;"3"
"7336";"3552551001001";298;26;0;0;4;741;21;842;0;0;209;26;4;2;0;0;0;0;0;0;0;842;0;209;32;"3"
"7337";"3552601001001";34;2;2;0;1;3493;214;2668;0;0;851;169;33;12;3;0;0;0;0;0;0;2668;0;851;217;"3"
"7338";"3552700001001";393;2;84;6;2;4023;68;3290;0;0;997;212;36;7;6;2;1;1;1;0;67;3290;0;997;265;"3"
"7339";"3552809005001";81;4;81;6;0;5402;459;2638;59;907;1582;544;157;40;20;4;2;1;0;0;0;2697;907;1582;768;"3"
"7340";"3552809005002";44;4;29;5;2;5058;332;2587;111;767;1539;332;78;27;5;2;0;0;0;0;0;2698;767;1539;444;"3"
"7341";"3552809005003";45;6;46;9;1;6715;113;2060;2;2601;1751;432;45;13;2;0;0;0;0;0;0;2062;2601;1751;492;"3"
"7342";"3552809005004";28;24;225;16;1;6662;147;2834;40;2731;1172;226;43;6;2;0;2;0;0;0;0;2874;2731;1172;279;"3"
"7343";"3552809005005";150;9;127;14;2;5026;94;3327;31;401;1207;273;60;5;1;0;0;0;1;0;197;3358;401;1207;339;"3"
