codemun,ano,qtde_vinc_ativos
110001,2010,1025
110001,2011,1055
110001,2012,891
110001,2013,1198
110001,2014,921
110001,2015,932
110001,2016,1058
110001,2017,1048
110001,2018,1052
110001,2019,1049
110001,2020,940
110001,2021,940
110001,2022,940
110001,2023,940
110001,2024,940
110001,2025,940
110001,2026,940
110001,2027,940
110001,2028,940
110001,2029,940
110001,2030,940
110001,2031,940
110001,2032,940
110001,2033,940
110001,2034,940
110001,2035,940
110001,2036,940
110001,2037,940
110001,2038,940
110001,2039,940
110001,2040,940
110002,2010,3520
110002,2011,3697
110002,2012,3621
110002,2013,3823
110002,2014,3768
110002,2015,3972
110002,2016,3767
110002,2017,3972
110002,2018,3971
110002,2019,4121
110002,2020,3915
110002,2021,3915
110002,2022,3915
110002,2023,3915
110002,2024,3915
110002,2025,3915
110002,2026,3915
110002,2027,3915
110002,2028,3915
110002,2029,3915
110002,2030,3915
110002,2031,3915
110002,2032,3915
110002,2033,3915
110002,2034,3915
110002,2035,3915
110002,2036,3915
110002,2037,3915
110002,2038,3915
110002,2039,3915
110002,2040,3915
110003,2010,281
110003,2011,298
110003,2012,318
110003,2013,306
110003,2014,301
110003,2015,295
110003,2016,314
110003,2017,345
110003,2018,342
110003,2019,360
110003,2020,323
110003,2021,323
110003,2022,323
110003,2023,323
110003,2024,323
110003,2025,323
110003,2026,323
110003,2027,323
110003,2028,323
110003,2029,323
110003,2030,323
110003,2031,323
110003,2032,323
110003,2033,323
110003,2034,323
110003,2035,323
110003,2036,323
110003,2037,323
110003,2038,323
110003,2039,323
110003,2040,323
110004,2010,3292
110004,2011,3402
110004,2012,3357
110004,2013,3565
110004,2014,4057
110004,2015,3955
110004,2016,3873
110004,2017,4225
110004,2018,4313
110004,2019,4264
110004,2020,4059
110004,2021,4059
110004,2022,4059
110004,2023,4059
110004,2024,4059
110004,2025,4059
110004,2026,4059
110004,2027,4059
110004,2028,4059
110004,2029,4059
110004,2030,4059
110004,2031,4059
110004,2032,4059
110004,2033,4059
110004,2034,4059
110004,2035,4059
110004,2036,4059
110004,2037,4059
110004,2038,4059
110004,2039,4059
110004,2040,4059
110005,2010,961
110005,2011,576
110005,2012,624
110005,2013,647
110005,2014,697
110005,2015,677
110005,2016,609
110005,2017,664
110005,2018,652
110005,2019,652
110005,2020,679
110005,2021,679
110005,2022,679
110005,2023,679
110005,2024,679
110005,2025,679
110005,2026,679
110005,2027,679
110005,2028,679
110005,2029,679
110005,2030,679
110005,2031,679
110005,2032,679
110005,2033,679
110005,2034,679
110005,2035,679
110005,2036,679
110005,2037,679
110005,2038,679
110005,2039,679
110005,2040,679
110006,2010,588
110006,2011,609
110006,2012,591
110006,2013,638
110006,2014,641
110006,2015,656
110006,2016,646
110006,2017,670
110006,2018,588
110006,2019,642
110006,2020,659
110006,2021,659
110006,2022,659
110006,2023,659
110006,2024,659
110006,2025,659
110006,2026,659
110006,2027,659
110006,2028,659
110006,2029,659
110006,2030,659
110006,2031,659
110006,2032,659
110006,2033,659
110006,2034,659
110006,2035,659
110006,2036,659
110006,2037,659
110006,2038,659
110006,2039,659
110006,2040,659
110007,2010,344
110007,2011,408
110007,2012,407
110007,2013,407
110007,2014,405
110007,2015,412
110007,2016,387
110007,2017,389
110007,2018,380
110007,2019,533
110007,2020,380
110007,2021,380
110007,2022,380
110007,2023,380
110007,2024,380
110007,2025,380
110007,2026,380
110007,2027,380
110007,2028,380
110007,2029,380
110007,2030,380
110007,2031,380
110007,2032,380
110007,2033,380
110007,2034,380
110007,2035,380
110007,2036,380
110007,2037,380
110007,2038,380
110007,2039,380
110007,2040,380
110008,2010,571
110008,2011,382
110008,2012,522
110008,2013,586
110008,2014,597
110008,2015,707
110008,2016,567
110008,2017,567
110008,2018,562
110008,2019,570
110008,2020,496
110008,2021,496
110008,2022,496
110008,2023,496
110008,2024,496
110008,2025,496
110008,2026,496
110008,2027,496
110008,2028,496
110008,2029,496
110008,2030,496
110008,2031,496
110008,2032,496
110008,2033,496
110008,2034,496
110008,2035,496
110008,2036,496
110008,2037,496
110008,2038,496
110008,2039,496
110008,2040,496
110009,2010,931
110009,2011,992
110009,2012,1101
110009,2013,969
110009,2014,1027
110009,2015,1016
110009,2016,1053
110009,2017,1071
110009,2018,1113
110009,2019,1208
110009,2020,1142
110009,2021,1142
110009,2022,1142
110009,2023,1142
110009,2024,1142
110009,2025,1142
110009,2026,1142
110009,2027,1142
110009,2028,1142
110009,2029,1142
110009,2030,1142
110009,2031,1142
110009,2032,1142
110009,2033,1142
110009,2034,1142
110009,2035,1142
110009,2036,1142
110009,2037,1142
110009,2038,1142
110009,2039,1142
110009,2040,1142
110010,2010,1560
110010,2011,1486
110010,2012,1614
110010,2013,1621
110010,2014,1540
110010,2015,1580
110010,2016,1451
110010,2017,1509
110010,2018,1475
110010,2019,1472
110010,2020,1441
110010,2021,1441
110010,2022,1441
110010,2023,1441
110010,2024,1441
110010,2025,1441
110010,2026,1441
110010,2027,1441
110010,2028,1441
110010,2029,1441
110010,2030,1441
110010,2031,1441
110010,2032,1441
110010,2033,1441
110010,2034,1441
110010,2035,1441
110010,2036,1441
110010,2037,1441
110010,2038,1441
110010,2039,1441
110010,2040,1441
110011,2010,1831
110011,2011,2023
110011,2012,1564
110011,2013,1636
110011,2014,1983
110011,2015,1787
110011,2016,1557
110011,2017,1738
110011,2018,1880
110011,2019,1857
110011,2020,1951
110011,2021,1951
110011,2022,1951
110011,2023,1951
110011,2024,1951
110011,2025,1951
110011,2026,1951
110011,2027,1951
110011,2028,1951
110011,2029,1951
110011,2030,1951
110011,2031,1951
110011,2032,1951
110011,2033,1951
110011,2034,1951
110011,2035,1951
110011,2036,1951
110011,2037,1951
110011,2038,1951
110011,2039,1951
110011,2040,1951
110012,2010,4271
110012,2011,4264
110012,2012,4204
110012,2013,4497
110012,2014,4509
110012,2015,4677
110012,2016,4474
110012,2017,4969
110012,2018,5026
110012,2019,5484
110012,2020,5379
110012,2021,5379
110012,2022,5379
110012,2023,5379
110012,2024,5379
110012,2025,5379
110012,2026,5379
110012,2027,5379
110012,2028,5379
110012,2029,5379
110012,2030,5379
110012,2031,5379
110012,2032,5379
110012,2033,5379
110012,2034,5379
110012,2035,5379
110012,2036,5379
110012,2037,5379
110012,2038,5379
110012,2039,5379
110012,2040,5379
110013,2010,1225
110013,2011,1208
110013,2012,1174
110013,2013,1249
110013,2014,1200
110013,2015,1248
110013,2016,1285
110013,2017,1399
110013,2018,1449
110013,2019,1445
110013,2020,1280
110013,2021,1280
110013,2022,1280
110013,2023,1280
110013,2024,1280
110013,2025,1280
110013,2026,1280
110013,2027,1280
110013,2028,1280
110013,2029,1280
110013,2030,1280
110013,2031,1280
110013,2032,1280
110013,2033,1280
110013,2034,1280
110013,2035,1280
110013,2036,1280
110013,2037,1280
110013,2038,1280
110013,2039,1280
110013,2040,1280
110014,2010,673
110014,2011,687
110014,2012,741
110014,2013,759
110014,2014,769
110014,2015,726
110014,2016,701
110014,2017,700
110014,2018,661
110014,2019,670
110014,2020,601
110014,2021,601
110014,2022,601
110014,2023,601
110014,2024,601
110014,2025,601
110014,2026,601
110014,2027,601
110014,2028,601
110014,2029,601
110014,2030,601
110014,2031,601
110014,2032,601
110014,2033,601
110014,2034,601
110014,2035,601
110014,2036,601
110014,2037,601
110014,2038,601
110014,2039,601
110014,2040,601
110015,2010,664
110015,2011,1684
110015,2012,1752
110015,2013,1692
110015,2014,1716
110015,2015,1715
110015,2016,1606
110015,2017,1628
110015,2018,1628
110015,2019,1743
110015,2020,1628
110015,2021,1628
110015,2022,1628
110015,2023,1628
110015,2024,1628
110015,2025,1628
110015,2026,1628
110015,2027,1628
110015,2028,1628
110015,2029,1628
110015,2030,1628
110015,2031,1628
110015,2032,1628
110015,2033,1628
