ano,pib_precos_correntes,rec_liq_pib,desp_primaria_pib,pessoal_pib,prev_pib,discricionaria_pib,tx_divida,interest,divida,mortgage
2010,3885847,20.205661223343288,18.201177543342,0.0433379608248575,8.251522459854828,0.05615859001001421,11.304085331046544,0.09833333333333334,51.77,0.07866666666666668
2011,4376382,18.856544232373274,16.756841078858546,0.04145878868426934,8.174633212537403,0.044363289978942094,12.451520447292829,0.116875,51.27,0.09350000000000001
2012,4814760,18.711108791808275,16.945954012453722,0.03912853058352234,8.443209405222092,0.04589891548879397,10.714192948167511,0.08770833333333333,53.67,0.07016666666666667
2013,5331619,18.70141654404844,17.34799753723662,0.03847853970972982,8.643268253880807,0.048568753123828294,10.615774995296956,0.08208333333333334,51.54,0.06566666666666668
2014,5778953,17.702387130877476,18.108730691943045,0.03848022974603704,8.894768877217613,0.05365938840121727,11.087898174812016,0.10875,56.28,0.08700000000000001
2015,5995787,17.419221681260762,19.42900332516226,0.03977776796723933,9.22465724602006,0.062265692824182664,13.196018522356212,0.13375,65.5,0.10700000000000001
2016,6269328,17.37267466479908,19.945129398368326,0.04113229255440136,10.233667595924482,0.05598232547003709,13.083291543297214,0.141875,69.84,0.1135
2017,6585479,17.543413403694203,19.43031466982874,0.04313142580363707,10.534408527636382,0.04582763561828651,9.942015949215133,0.10395833333333333,73.72,0.08316666666666667
2018,7004141,17.593528430453883,19.309959929996324,0.0425492430477813,10.372015449788082,0.04683020175430114,8.268482945876144,0.06583333333333333,75.27,0.05266666666666667
2019,7389131,18.2332279445073,19.519776345100563,0.0423713300086952,10.486747055392875,0.04795896288838168,7.754635432239687,0.06083333333333333,74.44,0.048666666666666664
2020,7609597,15.826042946056766,25.59337776744372,0.04222948175178397,14.47414039540462,0.06896289196860705,5.858691853830611,0.030208333333333334,86.94,0.02416666666666667
2021,9012142,17.521948109964292,17.91106686212195,0.03654482283749857,10.179324466449868,0.040772601119222235,7.5945211800392265,0.042083333333333334,77.31,0.03366666666666667
2022,10079676.679176,18.414296529423822,17.953880356492263,0.033527068280540855,10.505340015067233,0.040958335133709445,10.841015297483448,0.1225,71.68,0.098
2023,10943344.667905044,17.375155534690066,19.463176959828974,0.0332372504560318,11.250382084390958,0.04889069829834836,11.320454071131248,0.13375,73.83,0.10700000000000001
2024,11744710.041818669,18.37,18.77,0.03127836728352086,11.058612967609497,0.04583550304038417,10.710417321005306,0.10875,76.5,0.08700000000000001
2025,12796284.400122946,18.52385578893665,18.72385578893665,0.03245736785973851,11.078119002962799,0.044000000000000004,13.522238344679515,0.14270833333333333,79.9077951840782,0.11416666666666667
2026,13707926.558591204,18.598490245626614,18.718490245626615,0.03279268321619927,11.23922192400669,0.042,14.56767934904423,0.13416666666666666,85.57009648934165,0.10733333333333334
2027,14690903.471297527,19.21117269843153,18.71117269843153,0.03300130081589296,11.311042616842233,0.040999999999999995,12.3,0.11041666666666666,89.15543129566096,0.08833333333333333
2028,15826428.394705888,19.69248933685025,18.69248933685025,0.032575045088045436,11.334984828045709,0.040999999999999995,11.1,0.10041666666666665,90.92589037545123,0.08033333333333333
2029,17040204.706350043,19.831429315422614,18.581429315422614,0.03185903893894414,11.295525421528202,0.040999999999999995,11,0.1,92.45793214855513,0.08000000000000002
2030,18299222.301545136,20.07963710205158,18.57963710205158,0.031278555369021584,11.351781565149425,0.040999999999999995,11,0.1,93.93212479245292,0.08000000000000002
2031,19607626.37806341,20.395382902830864,18.645382902830864,0.030843769763917398,11.461005926439123,0.040999999999999995,11,0.1,95.39211571917647,0.08000000000000002
2032,21002436.548010454,20.711916061550973,18.711916061550973,0.030365024738616842,11.575413587689287,0.040999999999999995,11,0.1,96.65658234442228,0.08000000000000002
2033,22487931.576174587,21.02979836133474,18.77979836133474,0.02989953243216675,11.689845118118066,0.040999999999999995,11,0.1,97.72185492459131,0.08000000000000002
2034,24071390.622203097,21.347421366060725,18.847421366060725,0.02942353890672479,11.805067475388245,0.040999999999999995,11,0.1,98.57179826884868,0.08000000000000002
2035,25747784.51747016,21.67283265648708,18.92283265648708,0.02898341327216571,11.924491329270507,0.040999999999999995,11,0.1,99.24487992249227,0.08000000000000002
2036,27519394.234049372,21.75708549039588,19.00708549039588,0.028575927384400023,12.049492751955878,0.040999999999999995,11,0.1,99.99095537650899,0.08000000000000002
2037,29398275.394418586,21.70342337145481,18.95342337145481,0.02810015801217844,12.143407570236967,0.04,11,0.1,100.78647065304567,0.08000000000000002
2038,31398698.367765434,21.567027682689332,18.817027682689332,0.027450602587731,12.171967423916234,0.039,11,0.1,101.60642546762931,0.08000000000000002
2039,33523931.123447664,21.486616826552783,18.736616826552783,0.026609024452715974,12.275714381281185,0.038,11,0.1,102.46677197063306,0.08000000000000002
2040,35754574.45844003,21.452988545319716,18.702988545319716,0.025664116153527733,12.336576929966943,0.038,11,0.1,103.44886148702163,0.08000000000000002
2041,38243381.77332338,21.443022852545724,18.693022852545724,0.02492163227637084,12.400859624908637,0.038,11,0.1,104.13623631319298,0.08000000000000002
2042,40882162.97712647,21.412685199827624,18.662685199827624,0.024310992950785426,12.431585904749081,0.038,11,0.1,104.89427328686375,0.08000000000000002
2043,43687580.391918086,21.351529515492143,18.601529515492143,0.02359368809724865,12.442160705767275,0.038,11,0.1,105.71121086186625,0.08000000000000002
2044,46669636.26299558,21.31621992503139,18.56621992503139,0.022982041279711866,12.468015797060202,0.038,11,0.1,106.59379170268012,0.08000000000000002
