month,class_range,count
2011-04-01,30-34,2564
2011-04-01,20-24,1532
2011-04-01,45-49,1194
2011-04-01,15-19,134
2011-05-01,30-34,2547
2011-05-01,25-29,1943
2011-05-01,50-54,1354
2011-05-01,35-39,1814
2011-05-01,40-44,1872
2011-05-01,70-74,146
2011-05-01,75-79,98
2011-05-01,15-19,124
2011-05-01,20-24,1511
2011-05-01,65-69,454
2011-05-01,45-49,1215
2011-05-01,55-59,1237
2011-05-01,60-64,1192
2011-06-01,20-24,1484
2011-06-01,25-29,1955
2011-06-01,30-34,2546
2011-06-01,50-54,1381
2011-06-01,35-39,1834
2011-06-01,40-44,1892
2011-06-01,70-74,150
2011-06-01,75-79,98
2011-06-01,55-59,1240
2011-06-01,45-49,1215
2011-06-01,15-19,111
2011-06-01,60-64,1179
2011-06-01,65-69,462
2011-07-01,30-34,2544
2011-07-01,50-54,1383
2011-07-01,40-44,1905
2011-07-01,65-69,488
2011-07-01,45-49,1226
2011-07-01,60-64,1176
2011-07-01,35-39,1845
2011-07-01,70-74,154
2011-07-01,15-19,101
2011-07-01,25-29,1947
2011-07-01,20-24,1480
2011-07-01,55-59,1251
2011-07-01,75-79,98
2011-08-01,25-29,1946
2011-08-01,50-54,1388
2011-08-01,30-34,2552
2011-08-01,65-69,495
2011-08-01,75-79,101
2011-08-01,60-64,1187
2011-08-01,20-24,1461
2011-08-01,15-19,86
2011-08-01,40-44,1936
2011-08-01,70-74,153
2011-08-01,55-59,1256
2011-08-01,45-49,1231
2011-08-01,35-39,1846
2011-09-01,20-24,1407
2011-09-01,30-34,2546
2011-09-01,70-74,155
2011-09-01,65-69,508
2011-09-01,55-59,1270
2011-09-01,60-64,1190
2011-09-01,40-44,1935
2011-09-01,45-49,1258
2011-09-01,25-29,1955
2011-09-01,35-39,1867
2011-09-01,75-79,97
2011-09-01,50-54,1375
2011-09-01,15-19,83
2011-10-01,25-29,1946
2011-10-01,55-59,1285
2011-10-01,60-64,1169
2011-10-01,70-74,156
2011-10-01,40-44,1937
2011-10-01,75-79,99
2011-10-01,15-19,79
2011-10-01,50-54,1376
2011-10-01,65-69,537
2011-10-01,20-24,1380
2011-10-01,35-39,1883
2011-10-01,45-49,1276
2011-10-01,30-34,2546
2011-11-01,30-34,2563
2011-11-01,75-79,101
2011-11-01,45-49,1279
2011-11-01,60-64,1177
2011-11-01,65-69,551
2011-11-01,70-74,159
2011-11-01,55-59,1283
2011-11-01,25-29,1936
2011-11-01,50-54,1381
2011-11-01,40-44,1944
2011-11-01,20-24,1350
2011-11-01,15-19,68
2011-11-01,35-39,1893
2011-12-01,40-44,1957
2011-12-01,60-64,1185
2011-12-01,35-39,1901
2011-12-01,75-79,101
2011-12-01,70-74,161
2011-12-01,15-19,56
2011-12-01,50-54,1369
2011-12-01,45-49,1295
2011-12-01,25-29,1972
2011-12-01,55-59,1292
2011-12-01,20-24,1324
2011-12-01,65-69,568
2011-12-01,30-34,2525
2012-01-01,75-79,103
2012-01-01,45-49,1305
2012-01-01,20-24,1292
2012-01-01,25-29,1971
2012-01-01,60-64,1193
2012-01-01,35-39,1891
2012-01-01,70-74,168
2012-01-01,40-44,1979
2012-01-01,15-19,63
2012-01-01,65-69,582
2012-01-01,30-34,2529
2012-01-01,50-54,1370
2012-01-01,55-59,1274
2012-02-01,60-64,1200
2012-02-01,15-19,74
2012-02-01,40-44,1948
2012-02-01,45-49,1319
2012-02-01,55-59,1285
2012-02-01,30-34,2538
2012-02-01,25-29,1974
2012-02-01,75-79,99
2012-02-01,20-24,1262
2012-02-01,70-74,169
2012-02-01,35-39,1907
2012-02-01,50-54,1349
2012-02-01,65-69,600
2012-03-01,70-74,175
2012-03-01,55-59,1289
2012-03-01,50-54,1343
2012-03-01,60-64,1204
2012-03-01,30-34,2549
2012-03-01,65-69,613
2012-03-01,25-29,1977
2012-03-01,15-19,78
2012-03-01,45-49,1337
2012-03-01,35-39,1913
2012-03-01,20-24,1217
2012-03-01,75-79,97
2012-03-01,40-44,1944
2012-04-01,25-29,1969
2012-04-01,15-19,80
2012-04-01,30-34,2557
2012-04-01,35-39,1931
2012-04-01,55-59,1299
2012-04-01,20-24,1176
2012-04-01,65-69,630
2012-04-01,60-64,1203
2012-04-01,45-49,1355
2012-04-01,70-74,180
2012-04-01,75-79,95
2012-04-01,50-54,1340
2012-04-01,40-44,1937
2012-05-01,65-69,648
2012-05-01,20-24,1151
2012-05-01,45-49,1369
2012-05-01,35-39,1941
2012-05-01,75-79,99
2012-05-01,25-29,1950
2012-05-01,50-54,1345
2012-05-01,60-64,1212
2012-05-01,30-34,2551
2012-05-01,40-44,1943
2012-05-01,15-19,85
2012-05-01,55-59,1296
2012-05-01,70-74,176
2012-06-01,40-44,1949
2012-06-01,65-69,668
2012-06-01,20-24,1109
2012-06-01,45-49,1373
2012-06-01,15-19,89
2012-06-01,70-74,178
2012-06-01,30-34,2542
2012-06-01,60-64,1219
2012-06-01,25-29,1948
2012-06-01,50-54,1337
2012-06-01,35-39,1953
2012-06-01,55-59,1313
2012-06-01,75-79,101
2012-07-01,55-59,1319
2012-07-01,50-54,1344
2012-07-01,15-19,94
2012-07-01,40-44,1956
2012-07-01,65-69,688
2012-07-01,70-74,175
2012-07-01,45-49,1382
2012-07-01,25-29,1949
2012-07-01,30-34,2536
2012-07-01,35-39,1960
2012-07-01,60-64,1222
2012-07-01,75-79,103
2012-07-01,20-24,1066
2012-08-01,20-24,1014
2012-08-01,50-54,1350
2012-08-01,25-29,1957
2012-08-01,70-74,183
2012-08-01,55-59,1313
2012-08-01,35-39,1967
2012-08-01,65-69,704
2012-08-01,15-19,97
2012-08-01,30-34,2538
2012-08-01,75-79,102
2012-08-01,60-64,1232
2012-08-01,40-44,1951
2012-08-01,45-49,1397
2012-09-01,70-74,183
2012-09-01,40-44,1927
2012-09-01,15-19,102
2012-09-01,50-54,1352
2012-09-01,20-24,975
2012-09-01,65-69,716
2012-09-01,30-34,2554
2012-09-01,25-29,1956
2012-09-01,55-59,1311
2012-09-01,35-39,1985
2012-09-01,60-64,1249
2012-09-01,75-79,103
2012-09-01,45-49,1406
2012-10-01,35-39,1995
2012-10-01,65-69,741
2012-10-01,50-54,1341
2012-10-01,25-29,1965
2012-10-01,70-74,183
2012-10-01,30-34,2550
2012-10-01,40-44,1921
2012-10-01,45-49,1431
2012-10-01,15-19,104
2012-10-01,60-64,1242
2012-10-01,20-24,937
2012-10-01,75-79,99
2012-10-01,55-59,1320
2012-11-01,55-59,1333
2012-11-01,15-19,107
2012-11-01,75-79,96
2012-11-01,60-64,1251
2012-11-01,45-49,1449
2012-11-01,40-44,1922
2012-11-01,20-24,891
2012-11-01,35-39,2007
2012-11-01,65-69,746
2012-11-01,25-29,1980
2012-11-01,30-34,2549
2012-11-01,50-54,1326
2012-11-01,70-74,189
2012-12-01,35-39,2020
2012-12-01,20-24,832
2012-12-01,40-44,1917
2012-12-01,60-64,1246
2012-12-01,65-69,772
2012-12-01,15-19,110
2012-12-01,50-54,1322
2012-12-01,70-74,190
2012-12-01,55-59,1350
2012-12-01,75-79,102
2012-12-01,25-29,1992
2012-12-01,30-34,2547
2012-12-01,45-49,1459
2013-01-01,25-29,1969
2013-01-01,40-44,1912
2013-01-01,35-39,2028
2013-01-01,70-74,192
2013-01-01,45-49,1480
2013-01-01,65-69,791
2013-01-01,30-34,2545
2013-01-01,20-24,817
2013-01-01,75-79,97
2013-01-01,60-64,1245
2013-01-01,50-54,1317
2013-01-01,15-19,110
2013-01-01,55-59,1364
2013-02-01,30-34,2539
2013-02-01,25-29,1950
2013-02-01,20-24,802
2013-02-01,75-79,99
2013-02-01,40-44,1937
2013-02-01,35-39,2037
2013-02-01,15-19,110
2013-02-01,65-69,791
2013-02-01,45-49,1459
2013-02-01,70-74,195
2013-02-01,50-54,1320
2013-02-01,60-64,1272
2013-02-01,55-59,1369
2013-03-01,20-24,784
2013-03-01,70-74,201
2013-03-01,15-19,112
2013-03-01,25-29,1928
2013-03-01,55-59,1376
2013-03-01,30-34,2530
2013-03-01,50-54,1322
2013-03-01,60-64,1273
2013-03-01,35-39,2046
2013-03-01,75-79,95
2013-03-01,65-69,814
2013-03-01,40-44,1976
2013-03-01,45-49,1436
2013-04-01,30-34,2512
2013-04-01,20-24,782
2013-04-01,40-44,1982
2013-04-01,75-79,92
2013-04-01,65-69,836
2013-04-01,60-64,1276
2013-04-01,45-49,1442
2013-04-01,35-39,2075
2013-04-01,70-74,204
2013-04-01,15-19,116
2013-04-01,50-54,1304
2013-04-01,25-29,1902
2013-04-01,55-59,1382
2013-05-01,75-79,90
2013-05-01,35-39,2087
2013-05-01,40-44,1995
2013-05-01,20-24,768
2013-05-01,30-34,2497
2013-05-01,65-69,851
2013-05-01,60-64,1287
2013-05-01,70-74,206
2013-05-01,15-19,123
2013-05-01,50-54,1302
2013-05-01,25-29,1891
2013-05-01,55-59,1360
2013-05-01,45-49,1454
2013-06-01,40-44,1984
2013-06-01,60-64,1304
2013-06-01,70-74,207
2013-06-01,25-29,1868
2013-06-01,15-19,122
2013-06-01,50-54,1299
2013-06-01,65-69,867
2013-06-01,30-34,2511
2013-06-01,55-59,1350
2013-06-01,75-79,93
2013-06-01,35-39,2090
2013-06-01,45-49,1475
2013-06-01,20-24,748
2013-07-01,15-19,120
2013-07-01,75-79,93
2013-07-01,35-39,2111
2013-07-01,50-54,1302
2013-07-01,70-74,208
2013-07-01,45-49,1490
2013-07-01,25-29,1840
2013-07-01,60-64,1309
2013-07-01,55-59,1357
2013-07-01,30-34,2487
2013-07-01,65-69,879
2013-07-01,40-44,1983
2013-07-01,20-24,747
2013-08-01,15-19,125
2013-08-01,60-64,1307
2013-08-01,25-29,1814
2013-08-01,70-74,204
2013-08-01,65-69,907
2013-08-01,20-24,727
2013-08-01,40-44,1987
2013-08-01,30-34,2479
2013-08-01,55-59,1365
2013-08-01,50-54,1292
2013-08-01,75-79,93
2013-08-01,45-49,1508
2013-08-01,35-39,2123
2013-09-01,30-34,2485
2013-09-01,65-69,923
2013-09-01,55-59,1377
2013-09-01,75-79,95
2013-09-01,60-64,1280
2013-09-01,45-49,1531
2013-09-01,15-19,135
2013-09-01,20-24,710
2013-09-01,35-39,2132
2013-09-01,25-29,1786
2013-09-01,70-74,209
2013-09-01,50-54,1290
2013-09-01,40-44,1990
2013-10-01,35-39,2151
2013-10-01,45-49,1551
2013-10-01,55-59,1385
2013-10-01,75-79,95
2013-10-01,50-54,1290
2013-10-01,70-74,212
2013-10-01,40-44,2001
2013-10-01,30-34,2458
2013-10-01,15-19,137
2013-10-01,25-29,1760
2013-10-01,20-24,693
2013-10-01,60-64,1275
2013-10-01,65-69,943
2013-11-01,40-44,2014
2013-11-01,65-69,959
2013-11-01,20-24,670
2013-11-01,35-39,2153
2013-11-01,50-54,1286
2013-11-01,30-34,2450
2013-11-01,75-79,94
2013-11-01,70-74,212
2013-11-01,55-59,1398
2013-11-01,45-49,1565
2013-11-01,60-64,1282
2013-11-01,25-29,1736
2013-11-01,15-19,135
2013-12-01,70-74,212
2013-12-01,30-34,2431
2013-12-01,25-29,1721
2013-12-01,50-54,1294
2013-12-01,55-59,1397
2013-12-01,35-39,2183
2013-12-01,75-79,93
2013-12-01,45-49,1574
2013-12-01,60-64,1269
2013-12-01,20-24,660
2013-12-01,40-44,2002
2013-12-01,65-69,983
2013-12-01,15-19,146
2014-01-01,25-29,1736
2014-01-01,50-54,1275
2014-01-01,45-49,1615
2014-01-01,55-59,1392
2014-01-01,30-34,2381
2014-01-01,65-69,1011
2014-01-01,75-79,93
2014-01-01,35-39,2236
2014-01-01,15-19,150
2014-01-01,60-64,1271
2014-01-01,20-24,647
2014-01-01,40-44,1963
2014-01-01,70-74,210
2014-02-01,50-54,1256
2014-02-01,25-29,1763
2014-02-01,45-49,1663
2014-02-01,20-24,637
2014-02-01,65-69,1028
2014-02-01,15-19,148
2014-02-01,60-64,1282
2014-02-01,40-44,1900
2014-02-01,35-39,2266
2014-02-01,55-59,1398
2014-02-01,75-79,98
2014-02-01,70-74,206
2014-02-01,30-34,2342
2014-03-01,60-64,1277
2014-03-01,50-54,1242
2014-03-01,40-44,1868
2014-03-01,55-59,1399
2014-03-01,25-29,1794
2014-03-01,45-49,1695
2014-03-01,20-24,611
2014-03-01,30-34,2302
2014-03-01,75-79,98
2014-03-01,70-74,204
2014-03-01,65-69,1043
2014-03-01,15-19,152
2014-03-01,35-39,2305
2014-04-01,25-29,1813
2014-04-01,75-79,98
2014-04-01,50-54,1228
2014-04-01,35-39,2347
2014-04-01,70-74,204
2014-04-01,40-44,1835
2014-04-01,60-64,1283
2014-04-01,65-69,1065
2014-04-01,15-19,149
2014-04-01,45-49,1730
2014-04-01,20-24,597
2014-04-01,30-34,2261
2014-04-01,55-59,1390
2014-05-01,45-49,1763
2014-05-01,20-24,583
2014-05-01,70-74,203
2014-05-01,60-64,1286
2014-05-01,65-69,1093
2014-05-01,50-54,1206
2014-05-01,40-44,1800
2014-05-01,55-59,1389
2014-05-01,30-34,2232
2014-05-01,35-39,2382
2014-05-01,25-29,1837
2014-05-01,75-79,97
2014-05-01,15-19,139
2014-06-01,50-54,1166
2014-06-01,65-69,1094
2014-06-01,55-59,1388
2014-06-01,30-34,2194
2014-06-01,35-39,2423
2014-06-01,75-79,95
2014-06-01,15-19,137
2014-06-01,70-74,203
2014-06-01,60-64,1322
2014-06-01,45-49,1793
2014-06-01,40-44,1774
2014-06-01,25-29,1844
2014-06-01,20-24,578
2014-07-01,75-79,93
2014-07-01,60-64,1301
2014-07-01,35-39,2460
2014-07-01,15-19,136
2014-07-01,40-44,1749
2014-07-01,50-54,1141
2014-07-01,45-49,1825
2014-07-01,55-59,1399
2014-07-01,30-34,2153
2014-07-01,70-74,203
2014-07-01,20-24,569
2014-07-01,25-29,1864
2014-07-01,65-69,1126
2014-08-01,25-29,1894
2014-08-01,60-64,1280
2014-08-01,30-34,2070
2014-08-01,45-49,1876
2014-08-01,40-44,1706
2014-08-01,20-24,566
2014-08-01,70-74,202
2014-08-01,55-59,1413
2014-08-01,65-69,1154
2014-08-01,35-39,2514
2014-08-01,75-79,92
2014-08-01,15-19,142
2014-08-01,50-54,1111
2014-09-01,55-59,1421
