month,class_range,count
2016-07-01,35-39,2525
2016-07-01,70-74,496
2016-07-01,25-29,1489
2016-07-01,15-19,121
2016-07-01,75-79,119
2016-07-01,65-69,1211
2016-08-01,65-69,1209
2016-08-01,15-19,120
2016-08-01,20-24,376
2016-08-01,45-49,1978
2016-08-01,60-64,1343
2016-08-01,40-44,1875
2016-08-01,35-39,2521
2016-08-01,75-79,117
2016-08-01,25-29,1482
2016-08-01,55-59,1442
2016-08-01,50-54,1305
2016-08-01,70-74,510
2016-08-01,30-34,1904
2016-09-01,60-64,1329
2016-09-01,55-59,1436
2016-09-01,65-69,1207
2016-09-01,75-79,120
2016-09-01,40-44,1893
2016-09-01,35-39,2518
2016-09-01,30-34,1895
2016-09-01,70-74,528
2016-09-01,50-54,1339
2016-09-01,45-49,1970
2016-09-01,20-24,371
2016-09-01,15-19,128
2016-09-01,25-29,1453
2016-10-01,35-39,2528
2016-10-01,20-24,365
2016-10-01,15-19,141
2016-10-01,30-34,1884
2016-10-01,75-79,125
2016-10-01,60-64,1313
2016-10-01,25-29,1438
2016-10-01,50-54,1358
2016-10-01,55-59,1434
2016-10-01,65-69,1180
2016-10-01,40-44,1895
2016-10-01,45-49,1985
2016-10-01,70-74,554
2016-11-01,60-64,1315
2016-11-01,50-54,1363
2016-11-01,65-69,1187
2016-11-01,15-19,144
2016-11-01,20-24,360
2016-11-01,30-34,1862
2016-11-01,75-79,130
2016-11-01,55-59,1437
2016-11-01,70-74,569
2016-11-01,35-39,2539
2016-11-01,25-29,1412
2016-11-01,40-44,1903
2016-11-01,45-49,1988
2016-12-01,15-19,146
2016-12-01,70-74,595
2016-12-01,60-64,1323
2016-12-01,50-54,1383
2016-12-01,25-29,1392
2016-12-01,45-49,1971
2016-12-01,20-24,357
2016-12-01,55-59,1425
2016-12-01,40-44,1902
2016-12-01,65-69,1198
2016-12-01,75-79,130
2016-12-01,30-34,1893
2016-12-01,35-39,2497
2017-01-01,25-29,1348
2017-01-01,45-49,1995
2017-01-01,40-44,1890
2017-01-01,60-64,1318
2017-01-01,35-39,2492
2017-01-01,70-74,616
2017-01-01,55-59,1426
2017-01-01,75-79,137
2017-01-01,20-24,360
2017-01-01,65-69,1204
2017-01-01,15-19,152
2017-01-01,50-54,1389
2017-01-01,30-34,1890
2017-02-01,40-44,1902
2017-02-01,45-49,1995
2017-02-01,30-34,1892
2017-02-01,20-24,363
2017-02-01,55-59,1425
2017-02-01,35-39,2483
2017-02-01,60-64,1321
2017-02-01,65-69,1211
2017-02-01,25-29,1305
2017-02-01,75-79,137
2017-02-01,15-19,157
2017-02-01,70-74,637
2017-02-01,50-54,1392
2017-03-01,20-24,365
2017-03-01,30-34,1891
2017-03-01,45-49,1993
2017-03-01,65-69,1241
2017-03-01,75-79,142
2017-03-01,70-74,630
2017-03-01,60-64,1318
2017-03-01,50-54,1412
2017-03-01,25-29,1259
2017-03-01,55-59,1424
2017-03-01,15-19,164
2017-03-01,35-39,2487
2017-03-01,40-44,1899
2017-04-01,50-54,1419
2017-04-01,75-79,144
2017-04-01,20-24,377
2017-04-01,55-59,1397
2017-04-01,30-34,1880
2017-04-01,40-44,1913
2017-04-01,15-19,176
2017-04-01,45-49,1986
2017-04-01,65-69,1244
2017-04-01,60-64,1331
2017-04-01,70-74,648
2017-04-01,25-29,1221
2017-04-01,35-39,2494
2017-05-01,35-39,2485
2017-05-01,20-24,386
2017-05-01,40-44,1919
2017-05-01,45-49,1989
2017-05-01,65-69,1236
2017-05-01,55-59,1423
2017-05-01,25-29,1189
2017-05-01,30-34,1877
2017-05-01,70-74,667
2017-05-01,15-19,187
2017-05-01,60-64,1303
2017-05-01,50-54,1431
2017-05-01,75-79,143
2017-06-01,25-29,1157
2017-06-01,45-49,1986
2017-06-01,55-59,1416
2017-06-01,50-54,1441
2017-06-01,70-74,689
2017-06-01,15-19,193
2017-06-01,40-44,1927
2017-06-01,60-64,1319
2017-06-01,65-69,1236
2017-06-01,35-39,2483
2017-06-01,75-79,142
2017-06-01,30-34,1864
2017-06-01,20-24,390
2017-07-01,70-74,713
2017-07-01,25-29,1127
2017-07-01,75-79,141
2017-07-01,15-19,206
2017-07-01,35-39,2480
2017-07-01,60-64,1325
2017-07-01,40-44,1932
2017-07-01,55-59,1418
2017-07-01,50-54,1417
2017-07-01,65-69,1238
2017-07-01,20-24,392
2017-07-01,45-49,1994
2017-07-01,30-34,1869
2017-08-01,20-24,398
2017-08-01,75-79,151
2017-08-01,55-59,1428
2017-08-01,60-64,1348
2017-08-01,25-29,1081
2017-08-01,35-39,2481
2017-08-01,70-74,731
2017-08-01,65-69,1216
2017-08-01,45-49,1953
2017-08-01,15-19,222
2017-08-01,40-44,1945
2017-08-01,50-54,1431
2017-08-01,30-34,1878
2017-09-01,60-64,1382
2017-09-01,45-49,1924
2017-09-01,35-39,2490
2017-09-01,65-69,1200
2017-09-01,50-54,1459
2017-09-01,20-24,401
2017-09-01,70-74,742
2017-09-01,55-59,1396
2017-09-01,25-29,1044
2017-09-01,30-34,1864
2017-09-01,15-19,233
2017-09-01,75-79,151
2017-09-01,40-44,1979
2017-10-01,35-39,2483
2017-10-01,60-64,1387
2017-10-01,25-29,1002
2017-10-01,30-34,1863
2017-10-01,75-79,145
2017-10-01,20-24,405
2017-10-01,65-69,1223
2017-10-01,15-19,243
2017-10-01,45-49,1920
2017-10-01,70-74,740
2017-10-01,55-59,1386
2017-10-01,40-44,1990
2017-10-01,50-54,1486
2017-11-01,40-44,1995
2017-11-01,15-19,247
2017-11-01,25-29,964
2017-11-01,60-64,1401
2017-11-01,55-59,1372
2017-11-01,75-79,150
2017-11-01,45-49,1923
2017-11-01,35-39,2471
2017-11-01,30-34,1870
2017-11-01,65-69,1250
2017-11-01,20-24,404
2017-11-01,70-74,733
2017-11-01,50-54,1499
2017-12-01,30-34,1874
2017-12-01,75-79,150
2017-12-01,55-59,1367
2017-12-01,35-39,2471
2017-12-01,20-24,407
2017-12-01,15-19,252
2017-12-01,70-74,757
2017-12-01,50-54,1510
2017-12-01,25-29,906
2017-12-01,65-69,1224
2017-12-01,40-44,2005
2017-12-01,60-64,1434
2017-12-01,45-49,1927
2018-01-01,40-44,2014
2018-01-01,35-39,2465
2018-01-01,65-69,1221
2018-01-01,30-34,1847
2018-01-01,20-24,400
2018-01-01,50-54,1522
2018-01-01,55-59,1360
2018-01-01,60-64,1444
2018-01-01,45-49,1933
2018-01-01,25-29,898
2018-01-01,15-19,253
2018-01-01,75-79,153
2018-01-01,70-74,775
2018-02-01,35-39,2459
2018-02-01,15-19,258
2018-02-01,65-69,1253
2018-02-01,70-74,769
2018-02-01,30-34,1836
2018-02-01,20-24,395
2018-02-01,75-79,155
2018-02-01,45-49,1935
2018-02-01,60-64,1437
2018-02-01,25-29,888
2018-02-01,55-59,1367
2018-02-01,40-44,2042
2018-02-01,50-54,1492
2018-03-01,45-49,1971
2018-03-01,20-24,400
2018-03-01,70-74,788
2018-03-01,30-34,1816
2018-03-01,65-69,1250
2018-03-01,75-79,158
2018-03-01,60-64,1443
2018-03-01,55-59,1372
2018-03-01,40-44,2049
2018-03-01,25-29,869
2018-03-01,15-19,256
2018-03-01,50-54,1461
2018-03-01,35-39,2454
2018-04-01,50-54,1469
2018-04-01,75-79,161
2018-04-01,30-34,1793
2018-04-01,60-64,1443
2018-04-01,15-19,256
2018-04-01,35-39,2443
2018-04-01,25-29,862
2018-04-01,45-49,1973
2018-04-01,65-69,1248
2018-04-01,20-24,398
2018-04-01,70-74,810
2018-04-01,40-44,2062
2018-04-01,55-59,1374
2018-05-01,40-44,2063
2018-05-01,30-34,1784
2018-05-01,55-59,1367
2018-05-01,25-29,850
2018-05-01,70-74,807
2018-05-01,60-64,1442
2018-05-01,65-69,1276
2018-05-01,75-79,163
2018-05-01,15-19,254
2018-05-01,20-24,392
2018-05-01,35-39,2426
2018-05-01,50-54,1485
2018-05-01,45-49,1988
2018-06-01,20-24,388
2018-06-01,25-29,828
2018-06-01,45-49,1976
2018-06-01,15-19,256
2018-06-01,65-69,1288
2018-06-01,60-64,1435
2018-06-01,30-34,1766
2018-06-01,55-59,1363
2018-06-01,75-79,165
2018-06-01,50-54,1506
2018-06-01,35-39,2430
2018-06-01,40-44,2074
2018-06-01,70-74,825
2018-07-01,55-59,1342
2018-07-01,20-24,382
2018-07-01,25-29,828
2018-07-01,45-49,1978
2018-07-01,75-79,167
2018-07-01,15-19,258
2018-07-01,30-34,1744
2018-07-01,50-54,1541
2018-07-01,40-44,2084
2018-07-01,60-64,1443
2018-07-01,70-74,836
2018-07-01,35-39,2412
2018-07-01,65-69,1287
2018-08-01,60-64,1450
2018-08-01,35-39,2395
2018-08-01,75-79,168
2018-08-01,65-69,1291
2018-08-01,70-74,859
2018-08-01,25-29,815
2018-08-01,20-24,389
2018-08-01,40-44,2098
2018-08-01,50-54,1561
2018-08-01,30-34,1716
2018-08-01,15-19,257
2018-08-01,45-49,1980
2018-08-01,55-59,1327
2018-09-01,45-49,1981
2018-09-01,20-24,391
2018-09-01,55-59,1320
2018-09-01,30-34,1697
2018-09-01,35-39,2385
2018-09-01,60-64,1459
2018-09-01,75-79,175
2018-09-01,15-19,261
2018-09-01,25-29,798
2018-09-01,65-69,1283
2018-09-01,70-74,879
2018-09-01,40-44,2099
2018-09-01,50-54,1579
2018-10-01,35-39,2364
2018-10-01,70-74,909
2018-10-01,40-44,2119
2018-10-01,75-79,173
2018-10-01,30-34,1680
2018-10-01,65-69,1278
2018-10-01,25-29,779
2018-10-01,55-59,1320
2018-10-01,20-24,392
2018-10-01,45-49,1979
2018-10-01,60-64,1465
2018-10-01,15-19,258
2018-10-01,50-54,1596
2018-11-01,35-39,2365
2018-11-01,40-44,2115
2018-11-01,25-29,765
2018-11-01,55-59,1311
2018-11-01,20-24,388
2018-11-01,45-49,1988
2018-11-01,70-74,927
2018-11-01,50-54,1614
2018-11-01,65-69,1278
2018-11-01,15-19,256
2018-11-01,60-64,1473
2018-11-01,75-79,172
2018-11-01,30-34,1658
2018-12-01,35-39,2337
2018-12-01,15-19,261
2018-12-01,20-24,390
2018-12-01,45-49,1967
2018-12-01,55-59,1309
2018-12-01,60-64,1446
2018-12-01,70-74,952
2018-12-01,65-69,1275
2018-12-01,30-34,1653
2018-12-01,25-29,750
2018-12-01,40-44,2183
2018-12-01,50-54,1617
2018-12-01,75-79,172
2019-01-01,75-79,170
2019-01-01,40-44,2226
2019-01-01,30-34,1671
2019-01-01,20-24,386
2019-01-01,25-29,745
2019-01-01,65-69,1277
2019-01-01,15-19,263
2019-01-01,55-59,1288
2019-01-01,45-49,1927
2019-01-01,35-39,2291
2019-01-01,70-74,980
2019-01-01,60-64,1438
2019-01-01,50-54,1659
2019-02-01,15-19,262
2019-02-01,65-69,1283
2019-02-01,75-79,166
2019-02-01,25-29,732
2019-02-01,70-74,999
2019-02-01,50-54,1707
2019-02-01,35-39,2242
2019-02-01,55-59,1261
2019-02-01,30-34,1693
2019-02-01,45-49,1878
2019-02-01,20-24,383
2019-02-01,40-44,2272
2019-02-01,60-64,1444
2019-03-01,75-79,166
2019-03-01,30-34,1727
2019-03-01,55-59,1248
2019-03-01,50-54,1741
2019-03-01,25-29,712
2019-03-01,70-74,1004
2019-03-01,40-44,2312
2019-03-01,60-64,1447
2019-03-01,15-19,265
2019-03-01,65-69,1276
2019-03-01,20-24,385
2019-03-01,45-49,1842
2019-03-01,35-39,2208
2019-04-01,15-19,271
2019-04-01,60-64,1432
2019-04-01,50-54,1742
2019-04-01,75-79,166
2019-04-01,25-29,707
2019-04-01,35-39,2156
2019-04-01,40-44,2356
2019-04-01,55-59,1232
2019-04-01,70-74,1026
2019-04-01,65-69,1286
2019-04-01,20-24,378
2019-04-01,45-49,1843
2019-04-01,30-34,1745
2019-05-01,45-49,1808
2019-05-01,20-24,379
2019-05-01,75-79,164
2019-05-01,70-74,1058
2019-05-01,35-39,2121
2019-05-01,40-44,2387
2019-05-01,50-54,1781
2019-05-01,15-19,271
2019-05-01,60-64,1430
2019-05-01,65-69,1282
2019-05-01,25-29,687
2019-05-01,55-59,1203
2019-05-01,30-34,1770
2019-06-01,30-34,1784
2019-06-01,25-29,674
2019-06-01,65-69,1310
2019-06-01,50-54,1806
2019-06-01,35-39,2079
2019-06-01,20-24,379
2019-06-01,40-44,2424
2019-06-01,75-79,166
2019-06-01,55-59,1177
2019-06-01,70-74,1060
2019-06-01,45-49,1782
2019-06-01,60-64,1426
2019-06-01,15-19,275
2019-07-01,75-79,161
2019-07-01,60-64,1442
2019-07-01,30-34,1803
2019-07-01,35-39,2033
2019-07-01,25-29,669
2019-07-01,45-49,1749
2019-07-01,50-54,1837
2019-07-01,40-44,2464
2019-07-01,55-59,1142
2019-07-01,70-74,1090
2019-07-01,20-24,376
2019-07-01,65-69,1301
2019-07-01,15-19,274
2019-08-01,15-19,280
2019-08-01,45-49,1699
2019-08-01,50-54,1885
2019-08-01,30-34,1816
2019-08-01,55-59,1105
2019-08-01,20-24,380
2019-08-01,25-29,656
2019-08-01,65-69,1299
2019-08-01,35-39,1980
2019-08-01,40-44,2516
2019-08-01,60-64,1456
2019-08-01,75-79,161
2019-08-01,70-74,1113
2019-09-01,50-54,1940
2019-09-01,45-49,1650
2019-09-01,35-39,1950
2019-09-01,15-19,292
2019-09-01,55-59,1082
2019-09-01,40-44,2501
2019-09-01,65-69,1322
2019-09-01,75-79,159
2019-09-01,60-64,1464
2019-09-01,20-24,384
2019-09-01,30-34,1842
2019-09-01,70-74,1114
2019-09-01,25-29,644
2019-10-01,65-69,1328
2019-10-01,15-19,289
2019-10-01,35-39,1890
2019-10-01,55-59,1081
2019-10-01,20-24,381
2019-10-01,50-54,1978
2019-10-01,25-29,640
2019-10-01,60-64,1445
2019-10-01,45-49,1612
2019-10-01,70-74,1131
2019-10-01,30-34,1858
2019-10-01,75-79,159
2019-10-01,40-44,2556
2019-11-01,35-39,1844
2019-11-01,40-44,2601
2019-11-01,55-59,1059
2019-11-01,65-69,1303
2019-11-01,20-24,383
2019-11-01,70-74,1157
2019-11-01,50-54,2010
2019-11-01,45-49,1579
2019-11-01,15-19,290
2019-11-01,60-64,1450
2019-11-01,75-79,155
2019-11-01,25-29,641
2019-11-01,30-34,1873
2019-12-01,25-29,635
2019-12-01,55-59,1039
2019-12-01,30-34,1901
2019-12-01,65-69,1316
2019-12-01,15-19,293
2019-12-01,20-24,380
2019-12-01,35-39,1800
2019-12-01,70-74,1172
2019-12-01,75-79,151
2019-12-01,60-64,1453
2019-12-01,50-54,2013
2019-12-01,45-49,1536
2019-12-01,40-44,2652
2020-01-01,55-59,1053
2020-01-01,20-24,380
2020-01-01,70-74,1178
2020-01-01,30-34,1865
2020-01-01,50-54,2010
2020-01-01,15-19,291
2020-01-01,75-79,169
2020-01-01,65-69,1305
2020-01-01,35-39,1801
2020-01-01,25-29,633
2020-01-01,45-49,1545
2020-01-01,40-44,2646
2020-01-01,60-64,1463
2020-02-01,40-44,2645
2020-02-01,30-34,1825
2020-02-01,70-74,1186
2020-02-01,55-59,1056
2020-02-01,20-24,379
2020-02-01,25-29,630
2020-02-01,50-54,2017
2020-02-01,15-19,285
2020-02-01,65-69,1300
2020-02-01,35-39,1816
2020-02-01,75-79,187
2020-02-01,45-49,1545
2020-02-01,60-64,1471
2020-03-01,30-34,1803
2020-03-01,25-29,629
2020-03-01,65-69,1283
2020-03-01,20-24,382
2020-03-01,45-49,1547
2020-03-01,40-44,2650
2020-03-01,60-64,1477
2020-03-01,55-59,1060
2020-03-01,35-39,1806
2020-03-01,15-19,284
2020-03-01,75-79,204
2020-03-01,70-74,1193
2020-03-01,50-54,2023
2020-04-01,35-39,1808
2020-04-01,30-34,1774
2020-04-01,15-19,279
2020-04-01,65-69,1293
2020-04-01,50-54,2061
2020-04-01,25-29,616
2020-04-01,20-24,384
2020-04-01,40-44,2641
2020-04-01,60-64,1461
2020-04-01,55-59,1046
2020-04-01,45-49,1562
2020-04-01,70-74,1192
2020-04-01,75-79,226
2020-05-01,40-44,2614
2020-05-01,30-34,1746
2020-05-01,70-74,1199
2020-05-01,35-39,1828
2020-05-01,60-64,1472
2020-05-01,75-79,249
2020-05-01,65-69,1288
2020-05-01,15-19,275
2020-05-01,25-29,610
2020-05-01,45-49,1614
2020-05-01,50-54,2022
2020-05-01,55-59,1050
2020-05-01,20-24,378
2020-06-01,75-79,267
2020-06-01,50-54,2010
2020-06-01,35-39,1836
2020-06-01,70-74,1204
2020-06-01,45-49,1617
2020-06-01,65-69,1292
2020-06-01,25-29,597
2020-06-01,15-19,270
2020-06-01,30-34,1714
2020-06-01,55-59,1096
2020-06-01,60-64,1440
2020-06-01,40-44,2619
2020-06-01,20-24,380
2020-07-01,45-49,1625
2020-07-01,75-79,295
2020-07-01,55-59,1107
2020-07-01,50-54,2024
2020-07-01,30-34,1685
2020-07-01,15-19,262
2020-07-01,35-39,1836
2020-07-01,60-64,1436
2020-07-01,65-69,1288
2020-07-01,20-24,384
2020-07-01,25-29,592
2020-07-01,70-74,1208
2020-07-01,40-44,2601
2020-08-01,30-34,1666
2020-08-01,50-54,1996
2020-08-01,55-59,1122
2020-08-01,35-39,1875
2020-08-01,70-74,1230
2020-08-01,60-64,1428
2020-08-01,65-69,1289
2020-08-01,40-44,2556
2020-08-01,75-79,296
2020-08-01,45-49,1666
2020-08-01,15-19,257
2020-08-01,25-29,583
2020-08-01,20-24,384
2020-09-01,50-54,1970
2020-09-01,15-19,254
2020-09-01,55-59,1150
2020-09-01,35-39,1864
2020-09-01,70-74,1232
2020-09-01,45-49,1693
2020-09-01,40-44,2552
2020-09-01,25-29,579
2020-09-01,75-79,324
2020-09-01,65-69,1292
2020-09-01,20-24,393
2020-09-01,60-64,1399
2020-09-01,30-34,1653
2020-10-01,25-29,573
2020-10-01,40-44,2567
2020-10-01,15-19,258
2020-10-01,55-59,1171
2020-10-01,45-49,1685
2020-10-01,75-79,360
2020-10-01,50-54,1935
2020-10-01,35-39,1851
2020-10-01,65-69,1285
2020-10-01,20-24,392
2020-10-01,30-34,1645
2020-10-01,60-64,1411
2020-10-01,70-74,1228
2020-11-01,15-19,253
2020-11-01,60-64,1416
2020-11-01,20-24,392
2020-11-01,45-49,1688
2020-11-01,75-79,361
2020-11-01,65-69,1306
2020-11-01,55-59,1185
2020-11-01,30-34,1620
2020-11-01,40-44,2563
2020-11-01,25-29,569
2020-11-01,70-74,1230
2020-11-01,50-54,1935
2020-11-01,35-39,1850
2020-12-01,40-44,2569
2020-12-01,15-19,249
2020-12-01,60-64,1406
2020-12-01,50-54,1898
2020-12-01,20-24,390
2020-12-01,30-34,1592
2020-12-01,35-39,1837
2020-12-01,75-79,385
2020-12-01,70-74,1203
2020-12-01,25-29,568
2020-12-01,65-69,1344
2020-12-01,55-59,1198
2020-12-01,45-49,1732
2021-01-01,75-79,408
2021-01-01,30-34,1589
2021-01-01,35-39,1833
2021-01-01,60-64,1431
2021-01-01,40-44,2577
2021-01-01,70-74,1170
2021-01-01,45-49,1693
2021-01-01,25-29,567
2021-01-01,55-59,1217
2021-01-01,50-54,1899
2021-01-01,20-24,400
2021-01-01,65-69,1329
2021-01-01,15-19,251
2021-02-01,15-19,250
2021-02-01,50-54,1875
2021-02-01,30-34,1576
2021-02-01,35-39,1839
2021-02-01,65-69,1335
2021-02-01,20-24,399
2021-02-01,60-64,1404
2021-02-01,40-44,2574
2021-02-01,25-29,563
2021-02-01,55-59,1211
2021-02-01,75-79,430
2021-02-01,70-74,1171
2021-02-01,45-49,1739
2021-03-01,65-69,1335
2021-03-01,55-59,1220
2021-03-01,30-34,1560
2021-03-01,40-44,2561
2021-03-01,45-49,1742
2021-03-01,50-54,1883
2021-03-01,35-39,1832
2021-03-01,20-24,400
2021-03-01,25-29,555
2021-03-01,15-19,255
2021-03-01,60-64,1400
2021-03-01,75-79,441
2021-03-01,70-74,1183
2021-04-01,70-74,1171
2021-04-01,50-54,1870
2021-04-01,60-64,1414
2021-04-01,55-59,1235
2021-04-01,40-44,2566
2021-04-01,20-24,408
2021-04-01,45-49,1760
2021-04-01,75-79,470
2021-04-01,25-29,548
2021-04-01,15-19,260
2021-04-01,35-39,1828
2021-04-01,65-69,1293
2021-04-01,30-34,1540
2021-05-01,40-44,2532
2021-05-01,70-74,1182
2021-05-01,15-19,261
2021-05-01,20-24,408
2021-05-01,25-29,550
2021-05-01,60-64,1420
2021-05-01,65-69,1268
2021-05-01,35-39,1836
2021-05-01,50-54,1860
2021-05-01,55-59,1254
2021-05-01,45-49,1804
2021-05-01,75-79,489
2021-05-01,30-34,1510
2021-06-01,20-24,405
2021-06-01,40-44,2521
2021-06-01,70-74,1182
2021-06-01,25-29,541
2021-06-01,55-59,1244
2021-06-01,50-54,1866
2021-06-01,15-19,264
2021-06-01,60-64,1441
2021-06-01,30-34,1489
2021-06-01,45-49,1820
2021-06-01,35-39,1834
2021-06-01,75-79,503
2021-06-01,65-69,1266
2021-07-01,60-64,1446
2021-07-01,75-79,522
2021-07-01,65-69,1299
2021-07-01,40-44,2508
2021-07-01,20-24,409
2021-07-01,30-34,1480
2021-07-01,55-59,1254
2021-07-01,15-19,248
2021-07-01,70-74,1159
2021-07-01,45-49,1835
2021-07-01,35-39,1807
2021-07-01,50-54,1871
2021-07-01,25-29,540
2021-08-01,25-29,528
2021-08-01,55-59,1267
2021-08-01,75-79,539
2021-08-01,20-24,418
2021-08-01,50-54,1893
2021-08-01,40-44,2503
2021-08-01,45-49,1828
2021-08-01,15-19,249
2021-08-01,70-74,1134
2021-08-01,60-64,1442
2021-08-01,30-34,1467
2021-08-01,65-69,1310
2021-08-01,35-39,1807
2021-09-01,35-39,1800
2021-09-01,45-49,1792
2021-09-01,20-24,432
2021-09-01,60-64,1433
2021-09-01,65-69,1302
2021-09-01,15-19,248
2021-09-01,70-74,1135
2021-09-01,30-34,1436
2021-09-01,75-79,556
2021-09-01,40-44,2552
2021-09-01,50-54,1888
2021-09-01,55-59,1296
2021-09-01,25-29,515
2021-10-01,40-44,2557
2021-10-01,30-34,1423
2021-10-01,65-69,1310
2021-10-01,75-79,581
2021-10-01,45-49,1802
2021-10-01,50-54,1837
2021-10-01,60-64,1456
2021-10-01,35-39,1789
2021-10-01,25-29,503
2021-10-01,20-24,444
2021-10-01,55-59,1324
2021-10-01,70-74,1102
2021-10-01,15-19,253
2021-11-01,60-64,1455
2021-11-01,55-59,1330
2021-11-01,50-54,1843
2021-11-01,35-39,1768
2021-11-01,70-74,1109
2021-11-01,15-19,251
2021-11-01,40-44,2555
2021-11-01,25-29,496
2021-11-01,45-49,1817
2021-11-01,75-79,597
2021-11-01,30-34,1394
2021-11-01,20-24,453
2021-11-01,65-69,1310
2021-12-01,70-74,1117
2021-12-01,60-64,1440
2021-12-01,75-79,624
2021-12-01,40-44,2515
2021-12-01,15-19,243
2021-12-01,30-34,1374
2021-12-01,55-59,1344
2021-12-01,35-39,1798
2021-12-01,25-29,492
2021-12-01,45-49,1822
2021-12-01,20-24,455
2021-12-01,65-69,1309
2021-12-01,50-54,1848
2022-01-01,65-69,1302
2022-01-01,40-44,2512
2022-01-01,20-24,464
2022-01-01,15-19,241
2022-01-01,75-79,646
2022-01-01,35-39,1803
2022-01-01,60-64,1442
2022-01-01,70-74,1118
2022-01-01,25-29,492
2022-01-01,45-49,1808
2022-01-01,55-59,1350
2022-01-01,50-54,1876
2022-01-01,30-34,1322
2022-02-01,75-79,671
2022-02-01,45-49,1823
2022-02-01,35-39,1794
2022-02-01,15-19,245
2022-02-01,20-24,478
2022-02-01,40-44,2505
2022-02-01,65-69,1280
2022-02-01,50-54,1873
2022-02-01,70-74,1121
2022-02-01,60-64,1439
2022-02-01,55-59,1359
2022-02-01,25-29,491
2022-02-01,30-34,1296
2022-03-01,70-74,1154
2022-03-01,45-49,1826
2022-03-01,55-59,1377
2022-03-01,35-39,1791
2022-03-01,30-34,1256
2022-03-01,25-29,492
2022-03-01,60-64,1435
2022-03-01,40-44,2497
2022-03-01,15-19,240
2022-03-01,50-54,1877
2022-03-01,65-69,1280
2022-03-01,20-24,487
2022-03-01,75-79,665
2022-04-01,75-79,641
2022-04-01,45-49,1839
2022-04-01,55-59,1427
2022-04-01,30-34,1217
2022-04-01,70-74,1133
2022-04-01,20-24,512
2022-04-01,65-69,1292
2022-04-01,25-29,502
2022-04-01,35-39,1789
2022-04-01,50-54,1868
2022-04-01,60-64,1412
2022-04-01,40-44,2499
2022-04-01,15-19,252
2022-05-01,15-19,246
2022-05-01,20-24,539
2022-05-01,70-74,1110
2022-05-01,25-29,498
2022-05-01,60-64,1440
2022-05-01,75-79,667
2022-05-01,50-54,1864
2022-05-01,30-34,1189
2022-05-01,55-59,1442
2022-05-01,35-39,1780
2022-05-01,65-69,1266
2022-05-01,45-49,1852
2022-05-01,40-44,2491
2022-06-01,50-54,1836
2022-06-01,25-29,509
2022-06-01,65-69,1285
2022-06-01,15-19,246
2022-06-01,55-59,1452
2022-06-01,20-24,558
2022-06-01,30-34,1159
2022-06-01,70-74,1108
2022-06-01,45-49,1863
2022-06-01,75-79,674
2022-06-01,60-64,1432
2022-06-01,40-44,2494
2022-06-01,35-39,1767
2022-07-01,65-69,1289
2022-07-01,35-39,1764
2022-07-01,40-44,2483
2022-07-01,20-24,578
2022-07-01,50-54,1835
2022-07-01,25-29,509
2022-07-01,60-64,1436
2022-07-01,70-74,1112
2022-07-01,30-34,1119
2022-07-01,15-19,237
2022-07-01,75-79,696
2022-07-01,55-59,1459
2022-07-01,45-49,1869
2022-08-01,55-59,1476
2022-08-01,35-39,1770
2022-08-01,20-24,598
2022-08-01,30-34,1072
2022-08-01,40-44,2491
2022-08-01,75-79,689
2022-08-01,50-54,1831
2022-08-01,60-64,1444
2022-08-01,15-19,231
2022-08-01,45-49,1838
2022-08-01,70-74,1113
2022-08-01,25-29,517
2022-08-01,65-69,1310
2022-09-01,25-29,522
2022-09-01,50-54,1807
2022-09-01,45-49,1838
2022-09-01,30-34,1050
2022-09-01,60-64,1413
2022-09-01,70-74,1098
2022-09-01,55-59,1504
2022-09-01,75-79,700
2022-09-01,40-44,2498
2022-09-01,20-24,615
2022-09-01,35-39,1761
2022-09-01,15-19,232
2022-09-01,65-69,1344
2022-10-01,65-69,1351
2022-10-01,55-59,1539
2022-10-01,35-39,1757
2022-10-01,70-74,1104
2022-10-01,60-64,1401
2022-10-01,15-19,237
2022-10-01,25-29,526
2022-10-01,50-54,1803
2022-10-01,45-49,1842
2022-10-01,20-24,628
2022-10-01,30-34,1005
2022-10-01,75-79,699
2022-10-01,40-44,2491
2022-11-01,55-59,1548
2022-11-01,20-24,634
2022-11-01,30-34,969
2022-11-01,15-19,234
2022-11-01,45-49,1841
2022-11-01,25-29,529
2022-11-01,40-44,2481
2022-11-01,60-64,1386
2022-11-01,50-54,1818
2022-11-01,70-74,1133
2022-11-01,35-39,1754
2022-11-01,65-69,1361
2022-11-01,75-79,687
2022-12-01,70-74,1107
2022-12-01,65-69,1361
2022-12-01,60-64,1419
2022-12-01,35-39,1770
2022-12-01,45-49,1841
2022-12-01,20-24,647
2022-12-01,30-34,912
2022-12-01,50-54,1825
2022-12-01,15-19,235
2022-12-01,40-44,2479
2022-12-01,75-79,688
2022-12-01,55-59,1556
2022-12-01,25-29,535
2023-01-01,50-54,1819
2023-01-01,45-49,1852
2023-01-01,70-74,1103
2023-01-01,15-19,252
2023-01-01,55-59,1575
2023-01-01,40-44,2469
2023-01-01,20-24,641
2023-01-01,25-29,535
2023-01-01,65-69,1370
2023-01-01,30-34,906
2023-01-01,75-79,682
2023-01-01,35-39,1750
2023-01-01,60-64,1418
2023-02-01,65-69,1367
2023-02-01,25-29,530
2023-02-01,15-19,263
