COD_MUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1100015,7554.94039879552,7635.81872761787,7688.29639698966,7739.67582874976,7801.80057784855,7851.95066848567,7923.71660300934,7996.70038006689,8082.4654418884,8168.60227342571,8253.60735272942,8331.59300190187,8407.89993991548,8482.51236011732,8543.74101282164,8603.73834303864,8664.32430602733,8712.79064111744,8783.55039935893,8830.53912050664,8865.57087947332,8870.17816588593,8874.28632960384,8877.89537062706,8881.00528895557,8883.61608458939,8878.86700195669,8849.69101171197,8843.93866628516,8814.04605975891,8807.29045153798
1100023,26959.9054062646,28328.0015455484,29629.0225839133,30904.3504273211,31958.3962215962,32928.973915632,33723.146575801,34528.2475903958,35242.5858220104,36018.8222804555,36752.6817153051,37299.7264798589,37849.4219738019,38349.2145725532,38904.5296795393,39409.1578493944,39877.6114085817,40348.9400070837,40823.9244627432,41246.1262417965,41670.7065772423,42061.1012423176,42453.2469898554,42847.1438198558,43242.7917323185,43640.1907272439,43975.9760726725,44193.7069724655,44531.3579199774,44750.4213926868,45089.9379422819
1100031,2109.39310282892,2129.82062077766,2152.734,2162.39774622356,2174.76127553804,2183.83006008519,2185.47430819972,2187.04021640853,2185.89047393716,2187.67575654596,2186.33397480168,2191.18295283078,2195.48073040742,2196.59685929092,2197.13853212237,2197.59024554646,2195.52456137172,2190.29576313214,2190.80908349515,2188.37708310912,2182.90452497486,2179.15087511167,2175.22001805726,2171.11195381164,2166.8266823748,2162.36420374675,2156.91704673598,2145.50093173636,2139.72838565896,2128.07984989746,2121.98191475344
1100049,24153.4694088029,24773.362006809,25319.1287227626,25871.1979252059,26515.3664334477,27212.763679625,27917.4894835514,28676.1010392502,29489.0152988752,30310.4037028854,31141.4934814786,31773.4800339044,32364.2937304888,32961.8208821289,33566.7742692715,34179.3574098805,34712.7074172142,35300.9923464822,35841.341014742,36340.6847072724,36841.2502985099,37209.1406025462,37578.8317206187,37950.3236527275,38323.6163988725,38698.7099590537,39014.8650123876,39226.432614154,39544.5899697642,39757.5877874423,40077.747445329
1100056,4792.06185774523,4906.59565927904,5038.43432221788,5160.61396681584,5264.55497425654,5368.35976186456,5456.90334895758,5536.76439003914,5617.08763550188,5697.37124235832,5778.25885655102,5862.62667722223,5938.1519075185,6013.24329485165,6078.77812215725,6152.60880034537,6212.58033369369,6272.89302023153,6332.73661948353,6392.47091957731,6442.93443595506,6463.36873215743,6483.63014223841,6503.71866619798,6523.63430403617,6543.37705575294,6557.01819240476,6552.75992290001,6565.9863436972,6561.43184858201,6574.24355352458
1100064,6059.33180429691,6186.85428544592,6292.35348944512,6366.72766847698,6420.32443467874,6453.89428571428,6460.22520756595,6456.27774550372,6451.55276628545,6445.66872799371,6438.53368242425,6451.98293706294,6438.65936089946,6442.12391463807,6436.42158380567,6421.75500413269,6418.24694923541,6406.08557966064,6401.88681991526,6388.77957609992,6367.03888871224,6355.09217862884,6342.61750454831,6329.61486647067,6316.0842643959,6302.02569832403,6284.86033420966,6250.29197862084,6232.15388875931,6196.89072906538,6177.77991345667
1100072,2620.89660824742,2674.70901529526,2712.12964835686,2738.13680848445,2757.61866553477,2770.86253706112,2784.16106979472,2801.35260078397,2827.68301002512,2854.51647603813,2877.14967080814,2913.05555446616,2948.19226503939,2978.66505560388,3000.25173357263,3025.70078798826,3042.35222257588,3066.86382774024,3083.197774417,3099.83444413408,3116.15744959512,3117.30818686662,3118.27828009853,3119.06772929083,3119.67653444353,3120.10469555662,3117.62084001209,3106.55335290308,3103.70169567215,3092.37149307285,3089.15203415551
1100080,3675.73049723607,3791.77230536341,3899.70122262637,3985.71795364352,4063.39567047108,4126.97164747081,4150.39468415918,4174.4292870648,4199.73851984906,4226.3463509434,4260.49081265417,4305.19403741675,4349.05971908194,4391.83304916222,4427.28594517283,4468.39315857989,4504.73841091315,4547.50455170721,4583.59105284094,4619.45488071069,4655.15843252894,4670.27687161392,4685.27433255883,4700.15081536369,4714.90632002849,4729.54084655324,4742.14209807216,4741.82051061124,4754.1738717957,4753.67521981019,4765.78069066019
1100098,8648.96355125226,8845.58290412806,9044.33546808223,9244.82070586815,9463.33839602602,9700.47550684931,9893.32713760907,10088.9987724113,10287.9815934623,10489.7917499505,10677.4706830393,10824.7082303719,10972.3826278105,11120.0818890415,11252.1044388132,11400.8675340618,11510.1644252962,11636.3346863557,11746.4631668994,11857.0824404614,11968.1911121943,12040.0412899103,12111.9468984581,12183.9079378375,12255.9244080487,12327.9963090916,12386.023423148,12410.5020452563,12468.3594023905,12492.7167695544,12550.4043697666
1100106,10545.8156143387,10935.6030065887,11327.7155928938,11699.4040137793,12051.2287973516,12361.3594245553,12620.8511017649,12860.1487835338,13101.2108811668,13344.3197195627,13588.8463021903,13832.4291412039,14053.8863425372,14274.6184253852,14494.6944660445,14713.8767397415,14931.8651994513,15127.4065857626,15345.0065700432,15540.3372668622,15736.3569995613,15817.4876755964,15898.5429968213,15979.5229632363,16060.4275748413,16141.2568316362,16213.1124528644,16241.0201869171,16312.5755913756,16340.2688848785,16411.5240725674
1100114,15818.9295375667,16070.6490717324,16351.4550153033,16635.419547412,16923.3235760704,17187.8713787135,17452.5044698069,17719.349298217,17986.9063604719,18254.808783547,18495.1350261816,18702.4597890305,18910.7244674083,19119.8775530173,19330.4630936373,19514.4071103473,19719.384677432,19924.9316474164,20103.6818929767,20309.3721537434,20486.5996980238,20573.6344121889,20660.3645089821,20746.7899884033,20832.9108504526,20918.7270951298,20982.7049984572,20989.5698274842,21052.6072556326,21058.8003166747,21120.8972696442
1100122,35042.3669236756,36275.1661762599,37408.0120198654,38499.2126141882,39483.8194541978,40419.3966119501,41332.3736191366,42190.4344589384,43054.2529931212,43922.3331688862,44932.014721568,45589.4127829738,46318.2086902708,46986.5683797335,47732.5359508307,48484.0914458628,49196.2659201126,49913.7465745735,50636.4771575018,51291.9591041438,51952.1130956151,52422.16605128,52894.2169812444,53368.2658855087,53844.3127640726,54322.3576169363,54727.0450732866,54984.709088238,55391.4673574622,55650.6105244666,56059.4396065647
