COD_MUN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
1100015,3.3231235026027,3.27341453374152,3.23665981578747,3.20085757441883,3.16116770146938,3.12686630833547,3.07858057300226,3.03070001977457,2.97896726847922,2.92818761390973,2.87886241549186,2.83900089629925,2.80043770361957,2.76312005275709,2.73072415994207,2.69917552976142,2.66832117351807,2.64156467749674,2.60846684521469,2.58283211123937,2.56091799486564,2.54669067267194,2.53262055845829,2.51870506088434,2.50494164525109,2.49132783196168,2.47786119503216,2.47118232388652,2.45793201651983,2.45136000578048,2.43832085681356
1100023,3.39489321719698,3.28342258279128,3.18942684431674,3.10591870312029,3.05000286385246,3.00525610829987,2.97057096302766,2.93655215876647,2.91156274735991,2.88260396721353,2.85815878181906,2.83413874514824,2.81061623804012,2.79139484845186,2.7687110186722,2.75019832735821,2.73199412281135,2.71401925256958,2.69621800080618,2.68225431283996,2.66842127560004,2.65359671295782,2.63893595763761,2.62443630951872,2.6100951274995,2.59590982789352,2.58187788287788,2.57491864330139,2.56111210902095,2.55426421568133,2.54067770389578
1100031,3.09662527636025,3.04485736344882,2.99061565432608,2.95551547404326,2.91710178554218,2.88346612453643,2.85393425884648,2.82454796836991,2.79867636230701,2.7690575177212,2.7434052021005,2.71825773028455,2.69389747679655,2.67349922456674,2.65381536701176,2.63424904243716,2.61841753043667,2.60631467954659,2.58735461830239,2.5718602353502,2.55989207776476,2.54567045511051,2.53160597745797,2.5176960545049,2.50393815256772,2.49032979304289,2.47686855091833,2.4701923553633,2.45694735613884,2.45037797818125,2.43734405276538
1100049,3.29762149908664,3.27387134526627,3.26079940996452,3.24748781416666,3.22349684340705,3.19438337918929,3.16062087359208,3.12264208713157,3.08093705670346,3.04061934982498,3.00149381260702,2.96337070725425,2.93045789257109,2.89813479484663,2.86632844813086,2.83501526485658,2.80816471122214,2.77779726523104,2.75210126650754,2.73024575071214,2.70889286306433,2.69384345826952,2.67896034524041,2.66424078290392,2.64968209010117,2.63528164395932,2.62103687831629,2.61397208888687,2.59995615275343,2.5930043983343,2.57921182174742
1100056,3.63893466271009,3.5525242368476,3.45813776378259,3.37486975619417,3.30687020747818,3.24158602849595,3.18429682345746,3.13374360505836,3.08437416758445,3.03641789592057,2.98948185410833,2.94403873046507,2.9042032384124,2.86557505743248,2.8323455230654,2.79604970155657,2.76484151147991,2.7340813791476,2.7041074071065,2.6747403648933,2.64972430958307,2.63500361897428,2.62044558793022,2.60604753524928,2.59180683833535,2.57772093160527,2.56378730494794,2.55687682703703,2.5431670317178,2.53636711986829,2.5228758054009
1100064,3.17477250319223,3.08357027979122,3.00653801979397,2.94638014641003,2.89695640605593,2.85718965692032,2.82615534495879,2.79963172473302,2.77340985157934,2.74764353356903,2.72235898180474,2.69749628444038,2.68385063277924,2.66319000182782,2.6463151579218,2.63308083057019,2.6165088587002,2.60343072108685,2.58708103812108,2.57429448051798,2.56492857754525,2.55067897433667,2.53658682530719,2.52264953505825,2.50886456492132,2.4952294314163,2.48174170476,2.47505237401941,2.46178131571368,2.45519901273048,2.44213944351383
1100072,3.45568763433838,3.36014121484085,3.28811714639189,3.2314674608598,3.18339881787013,3.14306461743031,3.10240671551264,3.05787996755664,3.00415568855596,2.95090256816142,2.90287296651275,2.85583293708402,2.81067150818581,2.77090570639091,2.74003674692019,2.70614993805917,2.68016304604475,2.64765586478062,2.62260178931563,2.59755807773446,2.5730407175163,2.55874604686344,2.54460932837248,2.53062795843636,2.51679939035748,2.50312113280119,2.48959074829956,2.48288026110738,2.46956723021672,2.46296410928031,2.44986323635861
1100080,3.75653220778368,3.65944969331963,3.57555597313408,3.51540178280592,3.46488531803937,3.42793728875504,3.39721907745659,3.36635238822812,3.33482666451895,3.30266353984081,3.26511676980564,3.22294416451568,3.18225108275163,3.14315226591623,3.10994143376084,3.07336429732708,3.04204123524726,3.00696785336179,2.97687988363248,2.94740404476151,2.91848283939486,2.90226904584267,2.88623441023028,2.87037597940484,2.85469086476328,2.83917624049826,2.82382934190097,2.81621794205758,2.801117577757,2.79362795856513,2.77876823538128
1100098,3.38641732346754,3.35028231844052,3.3149367475151,3.2804962870453,3.24132972069148,3.1977813848504,3.15992785492335,3.12264880893333,3.08579478992983,3.04951716511922,3.0185987821252,2.98385871587509,2.94993358306343,2.91690298000097,2.88875740327099,2.85706328072695,2.83403423223996,2.8073616719107,2.78505959923215,2.76305745232932,2.74134994105928,2.72612021916451,2.71105878148955,2.69616285411875,2.68142972376837,2.66685673613919,2.65244129432222,2.64529185687121,2.631107986325,2.62407293823322,2.61011510345536
1100106,4.04435290353543,3.91654671207386,3.79675845913544,3.69141880638833,3.59848781640676,3.52267080864098,3.45602682800849,3.39739459748259,3.34045458827866,3.28506817291969,3.23132656176429,3.17422193540899,3.1240042028171,3.07550077289126,3.02861161391418,2.983306220137,2.9393514750999,2.90095990685556,2.85943181579729,2.82310475291624,2.787557501474,2.77207107091024,2.75675576112622,2.74160875144969,2.72662728286253,2.71180865632524,2.69715023115591,2.68988028444121,2.67545733385439,2.6683037046195,2.65411059980768
